"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"17","2H",2,"LCOR-062",2664.84303026321,10,29,0.344827586206897,747.356366667229,4.41330639764375,4.83333333333333,5,"poor","large","LC-102","transgenic",5,6,"LC-102 2H"
"18","2H",3,"LCOR-217",4374.44569099026,9,29,0.310344827586207,1250.97423329186,6.64855422390407,4.83333333333333,4.5,"poor","large","LC-102","transgenic",10,9,"LC-102 2H"
"19","2H",1,"LCOR-064",1349.31048725747,10,29,0.344827586206897,582.222705890401,3.43815521933418,4.83333333333333,5,"poor","large","LC-102","transgenic",3,3,"LC-102 2H"
"20","2H",3,"LCOR-458",4915.85635953,9,29,0.310344827586207,1250.97423329186,6.64855422390407,4.83333333333333,4.5,"poor","large","LC-102","transgenic",6,17,"LC-102 2H"
"21","2H",2,"LCOR-063",4084.61807047393,10,29,0.344827586206897,747.356366667229,4.41330639764375,4.83333333333333,5,"poor","large","LC-102","transgenic",11,22,"LC-102 2H"
"22","2H",1,"LCOR-058",1808.1211525018,10,29,0.344827586206897,582.222705890401,3.43815521933418,4.83333333333333,5,"poor","large","LC-102","transgenic",2,18,"LC-102 2H"
"23","2H",3,"LCOR-065",4320.70948003785,9,29,0.310344827586207,1250.97423329186,6.64855422390407,4.83333333333333,4.5,"poor","large","LC-102","transgenic",11,25,"LC-102 2H"
"24","2H",2,"LCOR-060",2835.60846133044,10,29,0.344827586206897,747.356366667229,4.41330639764375,4.83333333333333,5,"poor","large","LC-102","transgenic",2,14,"LC-102 2H"
"25","2H",3,"LCOR-449",6570.54318571412,9,29,0.310344827586207,1250.97423329186,6.64855422390407,4.83333333333333,4.5,"poor","large","LC-102","transgenic",10,15,"LC-102 2H"
"26","2H",3,"LCOR-461",7278.90806389835,9,29,0.310344827586207,1250.97423329186,6.64855422390407,4.83333333333333,4.5,"poor","small","LC-102","transgenic",13,45,"LC-102 2H"
"27","2H",1,"LCOR-460",1748.24944530768,10,29,0.344827586206897,582.222705890401,3.43815521933418,4.83333333333333,5,"poor","small","LC-102","transgenic",12,49,"LC-102 2H"
"28","CT3",2,"LCOR-348",3769.76104712006,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",8,24,"CT717 3"
"29","CT3",2,"LCOR-337",3673.90820389137,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",10,28,"CT717 3"
"30","CT3",3,"LCOR-350",4135.48441956516,11,34,0.323529411764706,1194.97796314644,9.0688525186354,5.66666666666667,5.5,"WT","large","Control","control",4,21,"CT717 3"
"31","CT3",1,"LCOR-492",982.017368286609,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","small","Control","control",7,46,"CT717 3"
"32","CT3",2,"LCOR-208",2317.72269940529,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","small","Control","control",5,50,"CT717 3"
"33","CT3",3,"LCOR-495",5609.43910562901,11,34,0.323529411764706,1194.97796314644,9.0688525186354,5.66666666666667,5.5,"WT","large","Control","control",13,21,"CT717 3"
