"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"19","4A",1,"LCOR-230",4022.54504591408,7,19,0.368421052631579,987.126932692282,1.59148748413,3.16666666666667,3.5,"elite","large","LC-102","transgenic",12,20,"LC-102 4A"
"20","4A",1,"LCOR-238",2298.6007363342,7,19,0.368421052631579,987.126932692282,1.59148748413,3.16666666666667,3.5,"elite","large","LC-102","transgenic",11,8,"LC-102 4A"
"21","4A",2,"LCOR-012",4408.84957325509,6,19,0.315789473684211,217.325692568136,0.300327090596211,3.16666666666667,3,"elite","large","LC-102","transgenic",6,21,"LC-102 4A"
"22","4A",2,"LCOR-234",4786.03413014604,6,19,0.315789473684211,217.325692568136,0.300327090596211,3.16666666666667,3,"elite","small","LC-102","transgenic",12,45,"LC-102 4A"
"23","4A",3,"LCOR-003",7837.43257237562,6,19,0.315789473684211,5505.52636355748,7.60820635346445,3.16666666666667,3,"elite","large","LC-102","transgenic",7,6,"LC-102 4A"
"24","4A",2,"LCOR-010",4664.76119858005,6,19,0.315789473684211,217.325692568136,0.300327090596211,3.16666666666667,3,"elite","large","LC-102","transgenic",5,10,"LC-102 4A"
"25","4A",1,"LCOR-228",2182.62729661679,7,19,0.368421052631579,987.126932692282,1.59148748413,3.16666666666667,3.5,"elite","large","LC-102","transgenic",8,3,"LC-102 4A"
"26","4A",2,"LCOR-534",4673.56378209666,6,19,0.315789473684211,217.325692568136,0.300327090596211,3.16666666666667,3,"elite","large","LC-102","transgenic",13,20,"LC-102 4A"
"27","5A",2,"LCOR-577",4627.90031217761,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",2,6,"LC-102 5A"
"28","5A",2,"LCOR-242",4807.07206110043,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",3,20,"LC-102 5A"
"29","5A",3,"LCOR-155",5928.50966064289,11,34,0.323529411764706,7065.11247464863,13.5862322115469,5.66666666666667,5.5,"elite","small","LC-102","transgenic",14,46,"LC-102 5A"
"30","5A",2,"LCOR-161",5699.8520696313,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",10,11,"LC-102 5A"
"31","5A",2,"LCOR-162",5242.18300340365,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",2,20,"LC-102 5A"
"32","5A",1,"LCOR-167",2588.395270875,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","large","LC-102","transgenic",14,8,"LC-102 5A"
"33","5A",3,"LCOR-243",6317.42459987564,11,34,0.323529411764706,7065.11247464863,13.5862322115469,5.66666666666667,5.5,"elite","large","LC-102","transgenic",12,18,"LC-102 5A"
"34","5A",2,"LCOR-247",4528.07656538222,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",2,16,"LC-102 5A"
"35","5A",2,"LCOR-584",3605.00337663371,11,34,0.323529411764706,742.750049930796,1.42831054561516,5.66666666666667,5.5,"elite","large","LC-102","transgenic",9,21,"LC-102 5A"
"36","5A",1,"LCOR-249",2978.80298344364,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","large","LC-102","transgenic",4,4,"LC-102 5A"
"37","5A",1,"LCOR-578",1219.5827351986,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","small","LC-102","transgenic",8,49,"LC-102 5A"
"38","5A",1,"LCOR-580",1024.76777138924,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","small","LC-102","transgenic",5,53,"LC-102 5A"
"39","5A",1,"LCOR-165",1745.47554737827,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","large","LC-102","transgenic",4,22,"LC-102 5A"
"40","5A",1,"LCOR-251",3167.11856034,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","large","LC-102","transgenic",10,6,"LC-102 5A"
"41","5A",3,"LCOR-581",26478.8361452616,11,34,0.323529411764706,7065.11247464863,13.5862322115469,5.66666666666667,5.5,"elite","large","LC-102","transgenic",2,9,"LC-102 5A"
"42","5A",3,"LCOR-575",18331.2513005626,11,34,0.323529411764706,7065.11247464863,13.5862322115469,5.66666666666667,5.5,"elite","large","LC-102","transgenic",8,5,"LC-102 5A"
