,event_short,strata,ID,V,n_strata,N,w_strata,sd,n_neymans,n_equal,n_prop,tier,block,construct,construct2,row,column,event
19,4A,2,LCOR-234,4786.03413,6,19,0.315789474,217.3256926,0.300327091,3.166666667,3,elite,small,LC-102,transgenic,12,45,LC-102 4A
20,4A,3,LCOR-003,7837.432572,6,19,0.315789474,5505.526364,7.608206353,3.166666667,3,elite,large,LC-102,transgenic,7,6,LC-102 4A
21,4A,2,LCOR-010,4664.761199,6,19,0.315789474,217.3256926,0.300327091,3.166666667,3,elite,large,LC-102,transgenic,5,10,LC-102 4A
22,4A,1,LCOR-228,2182.627297,7,19,0.368421053,987.1269327,1.591487484,3.166666667,3.5,elite,large,LC-102,transgenic,8,3,LC-102 4A
23,4A,2,LCOR-534,4673.563782,6,19,0.315789474,217.3256926,0.300327091,3.166666667,3,elite,large,LC-102,transgenic,13,20,LC-102 4A
24,5A,2,LCOR-577,4627.900312,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,2,6,LC-102 5A
25,5A,2,LCOR-242,4807.072061,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,3,20,LC-102 5A
26,5A,3,LCOR-155,5928.509661,11,34,0.323529412,7065.112475,13.58623221,5.666666667,5.5,elite,small,LC-102,transgenic,14,46,LC-102 5A
27,5A,2,LCOR-162,5242.183003,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,2,20,LC-102 5A
28,5A,1,LCOR-167,2588.395271,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,large,LC-102,transgenic,14,8,LC-102 5A
29,5A,3,LCOR-243,6317.4246,11,34,0.323529412,7065.112475,13.58623221,5.666666667,5.5,elite,large,LC-102,transgenic,12,18,LC-102 5A
30,5A,2,LCOR-247,4528.076565,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,2,16,LC-102 5A
31,5A,2,LCOR-584,3605.003377,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,9,21,LC-102 5A
32,5A,1,LCOR-249,2978.802983,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,large,LC-102,transgenic,4,4,LC-102 5A
33,5A,1,LCOR-578,1219.582735,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,small,LC-102,transgenic,8,49,LC-102 5A
34,5A,1,LCOR-580,1024.767771,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,small,LC-102,transgenic,5,53,LC-102 5A
35,5A,1,LCOR-165,1745.475547,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,large,LC-102,transgenic,4,22,LC-102 5A
36,5A,3,LCOR-581,26478.83615,11,34,0.323529412,7065.112475,13.58623221,5.666666667,5.5,elite,large,LC-102,transgenic,2,9,LC-102 5A
37,5A,3,LCOR-575,18331.2513,11,34,0.323529412,7065.112475,13.58623221,5.666666667,5.5,elite,large,LC-102,transgenic,8,5,LC-102 5A
38,5A,1,LCOR-245,264.3854557,12,34,0.352941176,943.6946605,1.979702866,5.666666667,6,elite,large,LC-102,transgenic,3,22,LC-102 5A
39,8-9D,3,LCOR-420,7756.559044,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,large,Escape,control,7,10,LC-102 8-9D
40,8-9D,3,LCOR-282,5199.141829,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,large,Escape,control,4,5,LC-102 8-9D
41,8-9D,1,LCOR-417,1482.393982,10,29,0.344827586,927.6773425,4.321491724,4.833333333,5,control,small,Escape,control,14,50,LC-102 8-9D
42,8-9D,3,LCOR-293,7796.705494,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,large,Escape,control,2,26,LC-102 8-9D
43,8-9D,1,LCOR-085,3094.819549,10,29,0.344827586,927.6773425,4.321491724,4.833333333,5,control,large,Escape,control,5,18,LC-102 8-9D
44,8-9D,2,LCOR-291,3706.354532,10,29,0.344827586,493.0757881,2.296944035,4.833333333,5,control,large,Escape,control,9,23,LC-102 8-9D
45,8-9D,1,LCOR-294,862.9904456,10,29,0.344827586,927.6773425,4.321491724,4.833333333,5,control,large,Escape,control,13,3,LC-102 8-9D
46,8-9D,3,LCOR-094,7105.351312,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,large,Escape,control,12,7,LC-102 8-9D
47,8-9D,1,LCOR-413,1589.18279,10,29,0.344827586,927.6773425,4.321491724,4.833333333,5,control,small,Escape,control,15,51,LC-102 8-9D
48,8-9D,1,LCOR-086,876.6928895,10,29,0.344827586,927.6773425,4.321491724,4.833333333,5,control,large,Escape,control,3,28,LC-102 8-9D
49,8-9D,3,LCOR-419,5725.702307,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,small,Escape,control,6,47,LC-102 8-9D
50,8-9D,2,LCOR-087,4542.216924,10,29,0.344827586,493.0757881,2.296944035,4.833333333,5,control,large,Escape,control,2,4,LC-102 8-9D
51,8-9D,2,LCOR-292,4535.172443,10,29,0.344827586,493.0757881,2.296944035,4.833333333,5,control,large,Escape,control,6,10,LC-102 8-9D
52,8-9D,3,LCOR-411,8330.236189,9,29,0.310344828,1874.418763,7.858612385,4.833333333,4.5,control,large,Escape,control,7,17,LC-102 8-9D
53,16-20,2,LCOR-311,2358.767608,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,small,Escape,control,NA,NA,NA
54,16-20,1,LCOR-319,1591.635432,11,33,0.333333333,609.2151784,2.3433975,5.5,5.5,control,large,Escape,control,NA,NA,NA
55,4A,1,LCOR-002,913.7310269,7,19,0.368421053,987.1269327,1.591487484,3.166666667,3.5,elite,large,LC-102,transgenic,NA,NA,NA
56,5A,3,LCOR-157,7724.654576,11,34,0.323529412,7065.112475,13.58623221,5.666666667,5.5,elite,large,LC-102,transgenic,NA,NA,NA
57,5A,2,LCOR-156,4086.030045,11,34,0.323529412,742.7500499,1.428310546,5.666666667,5.5,elite,large,LC-102,transgenic,NA,NA,NA
