"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"102","LCOR-263",33.4,32.93333333,37.8,42.2,25.9,19,21.9,30.4476190471429,10,10
"103","LCOR-018",38.5,31.53333333,36.63333333,46.76666667,22.4,18.4,29.4,31.9476190471429,11,10
"104","LCOR-286",28.43333333,24.96666667,40.63333333,45.9,25.1,17.8,36,31.2619047614286,12,10
"105","LCOR-133",31.53333333,29.8,38.56666667,40.96666667,16.1,29.1,23.3,29.90952381,13,10
"106","LCOR-039",35.76666667,30.33333333,36.66666667,41.36666667,28.1,27.5,28.5,32.6047619057143,14,10
"107","LCOR-203",35.46666667,20.56666667,37.5,38.53333333,23.7,21.2,21,28.2809523814286,15,10
"108","LCOR-164",33.06666667,27.3,42.73333333,43.4,28.2,22.6,26.5,31.9714285714286,2,11
"109","LCOR-529",29.06666667,26.03333333,35.63333333,47.23333333,31.9,24.9,25.9,31.5238095228571,3,11
"110","LCOR-386",34,30.86666667,37.4,42,28.3,25.4,28.7,32.3809523814286,4,11
"111","LCOR-028",32,23.93333333,40.06666667,44.2,28,24.4,21.1,30.5285714285714,5,11
"112","LCOR-527",31.5,24.96666667,32.13333333,47.3,27.5,19.2,27.5,30.0142857142857,6,11
"114","LCOR-150",34.8,31.26666667,41.66666667,44.46666667,29,26.9,25.1,33.3142857157143,8,11
"115","LCOR-233",31.83333333,32.03333333,42.26666667,42.93333333,30.5,24.8,30.3,33.5238095228571,9,11
"116","LCOR-161",32.1,31,41.9,46.46666667,27.6,19.4,38.6,33.8666666671429,10,11
"117","LCOR-019",33.73333333,30.6,43.8,44.76666667,28.1,18,33.5,33.2142857142857,11,11
"118","LCOR-360",32.6,27,41.46666667,41.93333333,29.9,22,22.1,31,12,11
"119","LCOR-289",31.1,24.23333333,41.56666667,42.86666667,24.2,23.5,33.7,31.5952380957143,13,11
"120","LCOR-040",31.03333333,27.9,40.06666667,42.7,18.7,29.9,31.9,31.7428571428571,14,11
"122","LCOR-180",35.6,33.1,44.2,44.26666667,21.4,25,22.7,32.3238095242857,2,12
"123","LCOR-403",36.96666667,28.03333333,35.03333333,47.1,23.7,21.2,24.7,30.9619047614286,3,12
"124","LCOR-364",33.76666667,27.26666667,37.1,45.33333333,25.6,28.2,23.7,31.5666666671429,4,12
"125","LCOR-277",32.16666667,26.73333333,30.5,46.8,24,17.5,33.5,30.1714285714286,5,12
"127","LCOR-111",33.96666667,27.2,39.4,42.03333333,26.7,19.7,23.4,30.3428571428571,7,12
"128","LCOR-303",31.5,28.9,40.96666667,45.83333333,30.7,26.6,21,32.2142857142857,8,12
"129","LCOR-588",31.56666667,30.16666667,39.6,43.46666667,31.2,29.5,35.4,34.4142857157143,9,12
"130","LCOR-561",29.66666667,33.43333333,40.36666667,43.56666667,33.5,30.6,31.4,34.6476190485714,10,12
"131","LCOR-035",30.9,28.06666667,34.86666667,44.13333333,28.8,16.9,29.7,30.4809523814286,11,12
"132","LCOR-241",31.3,26.7,37.8,43.93333333,25.2,29.6,32.4,32.4190476185714,12,12
"133","LCOR-218",25.9,26.76666667,39.53333333,46.23333333,27.3,23.5,39.4,32.6619047614286,13,12
"134","LCOR-002",30.16666667,24.9,36.46666667,43.8,26.4,24.4,43.6,32.81904762,14,12
"135","LCOR-026",32.26666667,31.26666667,34.9,45.06666667,25.9,29.1,23.3,31.6857142871429,15,12
"136","LCOR-066",31.26666667,30.7,35.8,40.93333333,28.2,19.8,25.5,30.3142857142857,2,13
"137","LCOR-423",33.56666667,30.4,40.2,46.63333333,27.9,30.6,33,34.6142857142857,3,13
