row,column,ID,mass1,mass2,mass3,mass_avg,area1,area2,area3,area_avg,SLA,LMA,
6,46,LCOR-032,0.96,1.53,1.25,1.246666667,64.26,80.42,105.26,83.31333333,66.82887701,0.014963591,
14,9,LCOR-511,0.97,1.05,0.99,1.003333333,63.78,53.02,70.83,62.54333333,62.33554817,0.016042211,
6,49,LCOR-029,0.97,0.99,0.79,0.916666667,69.03,64.33,51.74,61.7,67.30909091,0.014856834,
5,8,LCOR-078,0.98,0.84,0.97,0.93,60.24,61.57,51.78,57.86333333,62.21863799,0.016072354,
13,13,LCOR-030,0.98,0.89,1.13,1,71.24,57.57,63.19,64,64,0.015625,
12,7,LCOR-094,0.99,1.01,0.97,0.99,59.77,64.42,59.82,61.33666667,61.95622896,0.016140427,
7,17,LCOR-411,0.99,1.02,0.98,0.996666667,55.21,68.41,65.87,63.16333333,63.37458194,0.015779197,
10,5,LCOR-092,1,1,0.93,0.976666667,71.28,77.92,65.63,71.61,73.32081911,0.013638691,
7,13,LCOR-338,1,0.73,0.8,0.843333333,46.97,49.23,64.82,53.67333333,63.64426877,0.015712334,
1,25,LCOR-214,1,0.88,0.98,0.953333333,59.66,54.05,76.81,63.50666667,66.61538462,0.015011547,
8,5,LCOR-575,1.01,1.05,0.85,0.97,67.13,67.47,47.54,60.71333333,62.59106529,0.015976721,
10,11,LCOR-161,1.01,1.13,0.87,1.003333333,42.14,69.89,55.93,55.98666667,55.80066445,0.017920934,
7,21,LCOR-248,1.02,0.84,0.72,0.86,71.91,46.7,57.33,58.64666667,68.19379845,0.01466409,
13,24,LCOR-084,1.02,1.05,0.93,1,71.15,71.69,75.32,72.72,72.72,0.013751375,
2,6,LCOR-577,1.03,1,1.13,1.053333333,80.35,69.31,71.45,73.70333333,69.97151899,0.014291529,
10,18,LCOR-306,1.03,1.02,1.38,1.143333333,91.24,67.34,69.83,76.13666667,66.59183673,0.015016856,
14,46,LCOR-155,1.05,0.97,0.94,0.986666667,72.79,60.68,68.44,67.30333333,68.21283784,0.014659997,
14,47,LCOR-159,1.05,1.03,1.17,1.083333333,79.11,74.21,72.85,75.39,69.59076923,0.014369722,
7,6,LCOR-003,1.06,0.98,1.05,1.03,50.62,57.83,64.48,57.64333333,55.96440129,0.017868502,
6,8,LCOR-582,1.07,1.09,1.05,1.07,66.85,71.85,68.43,69.04333333,64.52647975,0.015497514,
3,14,LCOR-604,1.07,0.91,0.89,0.956666667,49.11,58.52,70.69,59.44,62.13240418,0.016094661,
8,10,LCOR-157,1.08,0.97,1.05,1.033333333,68.47,72.63,72.6,71.23333333,68.93548387,0.014506317,
9,20,LCOR-067,1.1,1.33,0.98,1.136666667,71.62,67.71,82.36,73.89666667,65.01173021,0.01538184,
12,45,LCOR-234,1.1,0.98,0.95,1.01,62.06,66.95,69.69,66.23333333,65.57755776,0.015249119,
12,52,LCOR-215,1.1,0.96,1.01,1.023333333,66.56,65.42,69.14,67.04,65.51140065,0.015264519,
10,53,LCOR-451,1.1,1.14,1.15,1.13,82.93,76.62,76.29,78.61333333,69.56932153,0.014374152,
13,7,LCOR-296,1.13,0.9,1.05,1.026666667,64.52,51.83,63.04,59.79666667,58.24350649,0.017169296,
7,20,LCOR-059,1.15,1.11,1.2,1.153333333,88.94,72.71,68.38,76.67666667,66.48265896,0.015041516,
12,12,LCOR-241,1.19,0.98,1.01,1.06,69.93,57.96,63.61,63.83333333,60.22012579,0.016605744,
9,12,LCOR-588,1.2,0.78,1.06,1.013333333,75.54,53.18,63.77,64.16333333,63.31907895,0.015793028,
9,11,LCOR-233,1.26,1.15,1.13,1.18,76.08,68.95,81.97,75.66666667,64.12429379,0.015594714,
4,8,LCOR-279,1.31,1.31,1.36,1.326666667,97.09,95.11,91.93,94.71,71.38944724,0.014007673,
10,15,LCOR-449,1.33,1.24,1.22,1.263333333,79.82,84.22,79.27,81.10333333,64.19788918,0.015576836,
8,8,LCOR-250,1.34,1.26,1.13,1.243333333,63.22,83.42,86.02,77.55333333,62.37533512,0.016031978,
5,12,LCOR-277,1.41,1.74,1.77,1.64,88.37,127.19,106.4,107.32,65.43902439,0.015281401,
13,45,LCOR-461,1.45,1.41,1.32,1.393333333,94.33,101.97,109.76,102.02,73.22009569,0.013657453,
7,9,LCOR-076,1.46,1.43,1.67,1.52,98.95,107.88,110.95,105.9266667,69.68859649,0.01434955,
13,14,LCOR-014,1.77,1.76,1.68,1.736666667,113.82,130.6,132.4,125.6066667,72.32629559,0.01382623,
15,9,LCOR-041,1.89,1.99,2.27,2.05,176.03,138.35,154.95,156.4433333,76.31382114,0.013103786,
