"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","TGI_mean","GRVI_mean","MGRVI_mean","EXG_mean","EXGR_mean","NDVI_mean","NDRE_mean","GNDVI_mean","SAVI_mean","OSAVI_mean","MSAVI_mean","GCI_mean","RECI_mean","shadow_area","V497","H497","D497","V801","H801","D801","HD497","HD801","branchiness"
"24","LCOR-211",31.5,26.6,40.16666667,43.96666667,30.4,25.5,29.7,32.5476190485714,0.195645875,0.47980058,0.77576282,0.709561067,-0.140060939,0.669441223,-0.093427396,0.280367945,0.566602071,0.621359919,0.57327839,0.796387691,-0.167295998,0.322646028,1585.713782592,3505.2,24,5798.2735968276,4846.32,39.03,146.05,124.169100691776,0.281464950773035
"25","LCOR-344",33.06666667,25.5,36.36666667,44.56666667,27.9,30.4,19.2,31.0000000014286,0.146972576,0.486916476,0.783294355,0.648397537,-0.165792031,0.710021327,-0.167745923,0.34281437,0.577179036,0.646556713,0.588077283,1.05981849,-0.283382355,0.632814033,1494.3150020676,3596.64,23,2906.39427453373,3962.4,30.56,156.375652173913,129.659685863874,0.0291307423494321
"26","LCOR-070",29.4,32.03333333,44.36666667,42.06666667,35.2,28.4,31,34.6380952385714,0.135651174,0.485889349,0.781477992,0.624747238,-0.178471039,0.70522825,-0.180679903,0.335431565,0.558957669,0.634121198,0.568596399,1.020620303,-0.303585309,0.634596607,1367.6781374856,3291.84,23,3742.93303214614,4297.68,33.3,143.12347826087,129.059459459459,-0.060583903755411
"27","LCOR-282",30.96666667,28.06666667,35.86666667,46.43333333,33.9,24.9,27.6,32.5333333342857,0.158491874,0.475674704,0.771564869,0.610194603,-0.193138337,0.678601597,-0.119445865,0.30242622,0.563637466,0.624559552,0.572020113,0.880297629,-0.21172187,0.54903302,1627.0802290944,3596.64,24,5199.14182865414,4632.96,37.8,149.86,122.565079365079,0.0877591604980066
"28","LCOR-027",33.1,29.06666667,35.5,42.93333333,26,30,23.4,31.4285714285714,0.12652432,0.420854983,0.704617177,0.521468519,-0.274261209,0.643893433,-0.142364834,0.309159154,0.500786159,0.572343777,0.498427482,0.933717147,-0.239873471,0.811071507,1640.8690445952,3627.12,24,3463.59241865441,4450.08,31.48,151.13,141.362134688691,-0.0648848552481214
"29","LCOR-573",34,26.96666667,39.93333333,43,32.1,25.2,23.3,32.0714285714286,0.121416966,0.44211181,0.732152383,0.507732312,-0.266068459,0.65560921,-0.115467608,0.302855015,0.496445219,0.574761709,0.491588513,0.902455171,-0.19277521,0.472382306,1723.6019376,3810,24,5440.5237290343,4968.24,37.34,158.75,133.054097482592,0.207464575720245
"30","LCOR-575",38.13333333,28.36666667,32.03333333,41.66666667,31.9,26.2,30,32.6142857142857,0.138272345,0.454153299,0.74726572,0.587696075,-0.219126558,0.676132202,-0.155640388,0.32439611,0.538641691,0.606990337,0.540734386,0.974352551,-0.262755346,1.303062135,6626.29189344,5273.04,40,18331.2513005626,6370.32,60.53,131.826,105.242359160747,0.113556844308327
"31","LCOR-346",36,22.83333333,39.23333333,43.96666667,29.3,23.2,30.5,32.1476190471429,0.158339454,0.450737046,0.743700027,0.5970519,-0.217012638,0.648051006,-0.13268622,0.282334397,0.533815198,0.592888716,0.535873134,0.802602256,-0.229655033,0.673813252,2039.0210921808,3840.48,26,5587.19726984179,4693.92,38.93,147.710769230769,120.573336758284,0.0688124281584452
"32","LCOR-092",30.43333333,29.45,37.36666667,44.3,29.4,25.5,23.6,31.4357142857143,0.162674833,0.426968757,0.700681885,0.588513673,-0.237647855,0.614694338,-0.086509394,0.270500086,0.513280039,0.566360978,0.516184101,0.772543871,-0.153205056,0.575771641,1380.3418239438,3322.32,23,4876.66902226115,4602.48,36.73,144.448695652174,125.305744622924,-0.0112084036701598
"33","LCOR-142",29.4,29.2,44.1,44.6,24.3,21.7,23.2,30.9285714285714,0.186907985,0.456605576,0.740907857,0.618104468,-0.201947798,0.641846489,-0.071134428,0.272725723,0.565194584,0.606880679,0.572315396,0.764931282,-0.12853922,0.417122489,938.40549936,2987.04,20,2009.3289032321,3840.48,25.81,149.352,148.798140255715,0.0154771981271167
