row,column,ID,DBH,Height,event,construct,Comments,
5,23,LCOR-319,16.5,8.95,LC-102 16-20,LC102,,
6,23,LCOR-106,22,9.55,LC-102 16-20,LC102,,
7,23,LCOR-445,,,LC-102 1,LC102,,"unable to collect, hornets"
8,23,LCOR-401,19,9.1,LC-102 1C,LC102,,
9,23,LCOR-291,21,10.35,LC-102 8-9D,LC102,,
10,23,LCOR-207,24,11.5,CT717 3,CT717,,
11,23,LCOR-090,33,13.45,LC-102 8-9D,LC102,,
12,23,LCOR-015,23,11.55,LC-102 4B,LC102,,
13,23,LCOR-202,24,11.8,CT717 3,CT717,,
14,23,LCOR-290,25.5,12.88,LC-102 8-9D,LC102,,
15,23,LCOR-333,21,9.4,CT717 1,CT717,,
16,23,LCOR-1155,,,NA,wt,,
1,24,LCOR-489,20,9.9,LC-102 1C,LC102,,
2,24,LCOR-178,21,11.1,LC-102 1C,LC102,,
3,24,LCOR-367,19,10.3,LC-102 5,LC102,,
4,24,LCOR-608,22,10.7,LC-102 13-15E,LC102,,
5,24,LCOR-229,24,11.85,LC-102 4A,LC102,,
6,24,LCOR-503,19,9.75,CT717 3,CT717,,
7,24,LCOR-339,23,11.85,CT717 3,CT717,,
8,24,LCOR-348,22.5,11,CT717 3,CT717,,
9,24,LCOR-182,22,10.9,LC-102 1C,LC102,,
10,24,LCOR-546,24,11.95,LC-102 4A,LC102,,
11,24,LCOR-212,24.5,11.6,LC-102 2H,LC102,,
12,24,LCOR-404,25,11.65,LC-102 1C,LC102,,
13,24,LCOR-084,29,13.7,LC-102 13-15E,LC102,,
14,24,LCOR-309,26.5,12.8,LC-102 16-20,LC102,,
15,24,LCOR-318,21,9.9,LC-102 16-20,LC102,,
16,24,LCOR-1162,,,NA,wt,,
1,25,LCOR-214,21.5,10.05,LC-102 2H,LC102,,
2,25,LCOR-192,18,9.4,LC-102 13-15B,LC102,,
3,25,LCOR-130,19.5,10.65,LC-102 5,LC102,,
4,25,LCOR-606,20.5,9.7,LC-102 13-15E,LC102,,
5,25,LCOR-022,24,11.65,LC-102 4B,LC102,,
6,25,LCOR-434,27,12.75,LC-102 4B,LC102,,
7,25,LCOR-160,27.5,13.3,LC-102 5A,LC102,,
8,25,LCOR-199,20.5,9.55,CT717 3,CT717,,
9,25,LCOR-506,18.5,10.4,LC-102 16-20,LC102,,
10,25,LCOR-049,23,11.8,LC-102 1,LC102,,
11,25,LCOR-065,25,11.1,LC-102 2H,LC102,,
12,25,LCOR-055,27,13.25,LC-102 1,LC102,defoliation,
13,25,LCOR-448,22,10.5,LC-102 1,LC102,,
14,25,LCOR-379,27,12.95,LC-102 7,LC102,,
15,25,LCOR-301,23,11.55,LC-102 13-15E,LC102,,
16,25,LCOR-1180,,,NA,wt,,
1,26,LCOR-462,19.5,9.3,LC-102 2H,LC102,,
2,26,LCOR-293,29,12.25,LC-102 8-9D,LC102,,
3,26,LCOR-605,21,10.05,LC-102 13-15E,LC102,,
4,26,LCOR-170,27,12.75,LC-102 1C,LC102,,
5,26,LCOR-487,27,12.5,LC-102 1C,LC102,,
6,26,LCOR-278,24,11.2,LC-102 5C,LC102,,
7,26,LCOR-613,21,10.3,LC-102 13-15E,LC102,,
8,26,LCOR-300,19,9.85,LC-102 13-15E,LC102,,
9,26,LCOR-341,19,9.4,CT717 3,CT717,,
10,26,LCOR-095,15,8.3,LC-102 8-9D,LC102,,
11,26,LCOR-361,19,9.6,LC-102 1,LC102,,
12,26,LCOR-387,23,11.45,LC-102 7,LC102,,
13,26,LCOR-356,21,10.3,LC-102 1,LC102,,
14,26,LCOR-484,21,10.8,LC-102 1C,LC102,,
15,26,LCOR-508,26,12.1,LC-102 16-20,LC102,,
16,26,LCOR-1178,,,NA,wt,,
1,27,LCOR-533,23,10.05,LC-102 4A,LC102,,
2,27,LCOR-441,28,12.55,LC-102 1,LC102,,
3,27,LCOR-126,24,11.15,CT717 1,CT717,,
4,27,LCOR-399,26,12.3,LC-102 1C,LC102,,
5,27,LCOR-323,15,7,CT717 1,CT717,,
6,27,LCOR-061,15,7.9,LC-102 2H,LC102,,
7,27,LCOR-197,19,9.65,CT717 3,CT717,,
8,27,LCOR-373,18.5,9.45,LC-102 5,LC102,,
9,27,LCOR-206,18.5,10,CT717 3,CT717,,
10,27,LCOR-322,24,11,LC-102 16-20,LC102,,
11,27,LCOR-048,21,10.35,LC-102 1,LC102,,
12,27,LCOR-175,26,11.85,LC-102 1C,LC102,insects,
13,27,LCOR-295,20,10.55,LC-102 13-15E,LC102,,
14,27,LCOR-388,21.5,10.8,LC-102 7,LC102,,
15,27,LCOR-429,22.5,11.2,LC-102 4B,LC102,,
16,27,LCOR-1016,,,NA,wt,,
1,28,LCOR-537,21,9.85,LC-102 4A,LC102,,
2,28,LCOR-276,15,7.2,LC-102 5C,LC102,,
3,28,LCOR-086,14,7.2,LC-102 8-9D,LC102,,
4,28,LCOR-425,23,10.9,LC-102 4B,LC102,,
5,28,LCOR-596,20,9.5,CT717 1,CT717,,
6,28,LCOR-227,20.5,10.15,LC-102 4A,LC102,,
7,28,LCOR-335,22,10.2,CT717 1,CT717,,
8,28,LCOR-128,23,11.8,LC-102 5,LC102,,
9,28,LCOR-551,22.5,11.2,LC-102 7,LC102,,
