"","ID","Timepoint","n.x","A_sd","A","A_se","ETR_6800_sd","ETR_6800","ETR_6800_se","Tleaf_6800_sd","Tleaf_6800","Tleaf_6800_se","PhiPS2_6800_sd","PhiPS2_6800","PhiPS2_6800_se","Qin_sd","Qin","Qin_se","Ci_sd","Ci","Ci_se","n.y","gsw_sd","gsw","gsw_se","PAR_sd","PAR","PAR_se","ETR_sd","ETR","ETR_se","Tleaf_sd","Tleaf","Tleaf_se","VPDleaf_sd","VPDleaf","VPDleaf_se","PhiPS2_sd","PhiPS2","PhiPS2_se","Rd","Resp_temp","R","Theta_e","Jt","Jo","Rl","Jc","Jo_ratio","R_6800","Theta_e_6800","Jt_6800","Jo_6800","Rl_6800","Jc_6800","Jo_ratio_6800","row","column","event","event_short","block","construct","construct2","H497","Class","treatment"
"67","LCOR-309","10",1,NA,8.013042741,NA,NA,109.6475522,NA,NA,999.9,NA,NA,0.173877681,NA,NA,1499.990645,NA,NA,120.4500057,NA,2,0.00455871741830967,0.0528195,0.0032235,528.208765546351,977.5,373.5,119.738772491934,203.040184,84.668098,3.06177236253775,22.935,2.165,0.48160618602547,1.567929,0.340547,0.0298724330780069,0.511432,0.021123,-0.990269431,25.42070645,0.824023050068227,0.256099838155221,250.337591796728,148.164332371152,18.520541546394,102.173259425576,0.591858103722034,0.824023050068227,0.0776678816147793,116.501095839136,58.9400017327576,7.3675002165947,57.5610941063788,0.505918002815539,14,24,"LC-102 16-20","16-20","large","Escape","control",3992.88,"Control","drought"
"68","LCOR-309","12",1,NA,6.79525137,NA,NA,112.9950417,NA,NA,30.77209,NA,NA,0.179186014,NA,NA,1499.991667,NA,NA,78.75163669,NA,1,NA,0.038364,NA,NA,1077,NA,NA,161.62944,NA,NA,29.13,NA,NA,2.704972,NA,NA,0.375234,NA,-0.990269431,25.42070645,1.33487139136522,0.184105275357477,198.281381560003,116.707635869335,14.5884544836669,81.5737456906676,0.588596039381629,1.33487139136522,0.0804738781310265,120.710146607713,64.9934792344755,8.12418490430944,55.7166673732378,0.53842598208163,14,24,"LC-102 16-20","16-20","large","Escape","control",3992.88,"Control","drought"
"69","LCOR-309","14",1,NA,4.768799754,NA,NA,122.9227025,NA,NA,35.11362903,NA,NA,0.194927239,NA,NA,1500.006452,NA,NA,115.4394228,NA,1,NA,0.033751,NA,NA,481,NA,NA,128.351959,NA,NA,30.14,NA,NA,2.928174,NA,NA,0.666693,NA,-0.990269431,25.42070645,1.44409314652869,0.338171144742252,162.660320621023,98.3641328860153,12.2955166107519,64.2961877350077,0.604721129962548,1.44409314652869,0.0887947243385766,133.192659411426,78.7190254129509,9.83987817661886,54.4736339984754,0.591016244895233,14,24,"LC-102 16-20","16-20","large","Escape","control",3992.88,"Control","drought"
"70","LCOR-309","16",1,NA,4.266439432,NA,NA,128.1183991,NA,NA,35.90425667,NA,NA,0.380622452,NA,NA,800.0142667,NA,NA,150.3755589,NA,1,NA,0.023774,NA,NA,585,NA,NA,155.297455,NA,NA,30.78,NA,NA,3.073651,NA,NA,0.663551,NA,-0.990269431,25.42070645,1.51788361983208,0.336510276621497,196.858511823576,122.502554546384,15.312819318298,74.3559572771919,0.622287313927123,1.51788361983208,0.186953622953599,149.565565574132,90.9739237134213,11.3717404641777,58.5916418607106,0.608254469297147,14,24,"LC-102 16-20","16-20","large","Escape","control",3992.88,"Control","drought"
"71","LCOR-309","18",1,NA,4.064892006,NA,NA,88.64540886,NA,NA,32.38695484,NA,NA,0.263353507,NA,NA,800.0147742,NA,NA,-87.56923033,NA,1,NA,0.028648,NA,NA,86,NA,NA,25.354731,NA,NA,23.48,NA,NA,1.427393,NA,NA,0.740499,NA,-0.990269431,25.42070645,0.859745586673953,0.377185158911698,32.437923666406,13.4262889109373,1.67828611386717,19.0116347554687,0.413907161537658,0.859745586673953,0.124965000323108,99.9738465163942,58.4502374775962,7.30627968469952,41.5236090387981,0.58465528249942,14,24,"LC-102 16-20","16-20","large","Escape","control",3992.88,"Control","drought"
"72","LCOR-338","10",1,NA,21.12420573,NA,NA,191.0114994,NA,NA,28.90381935,NA,NA,0.302903,NA,NA,1499.993871,NA,NA,267.2106245,NA,1,NA,0.22674,NA,NA,1650,NA,NA,206.397049,NA,NA,24.96,NA,NA,1.837008,NA,NA,0.312651,NA,-1.254699776,26.71300323,0.836949262661043,0.151023763708472,249.189210118979,113.140790868653,14.1425988585816,136.048419250326,0.4540356735937,0.836949262661043,0.145870949436953,218.80553011238,92.8850041975867,11.6106255246983,125.920525914793,0.424509399510517,7,13,"CT717 3","CT3","large","Control","control",3627.12,"WT","drought"
"73","LCOR-338","12",1,NA,18.75354643,NA,NA,212.5072103,NA,NA,31.51655333,NA,NA,0.33696153,NA,NA,1500.123,NA,NA,243.1660736,NA,1,NA,0.174684,NA,NA,1571,NA,NA,213.502899,NA,NA,29.55,NA,NA,2.771784,NA,NA,0.339786,NA,-1.254699776,26.71300323,1.33383134521983,0.165367384477623,259.792161014345,126.53118293223,15.8163978665288,133.260978082115,0.487047732457344,1.33383134521983,0.163874363414279,245.831701668118,117.224210034745,14.6530262543432,128.607491633373,0.47684740917997,7,13,"CT717 3","CT3","large","Control","control",3627.12,"WT","drought"
"74","LCOR-338","14",1,NA,16.7087061,NA,NA,167.1497041,NA,NA,33.92125333,NA,NA,0.265055587,NA,NA,1500.037333,NA,NA,256.947923,NA,1,NA,0.256407,NA,NA,906,NA,NA,199.178009,NA,NA,28.2,NA,NA,2.427246,NA,NA,0.549741,NA,-1.254699776,26.71300323,1.16297661349194,0.276350059936882,250.373154302815,125.70475267121,15.7130940839013,124.668401631605,0.502069612939316,1.16297661349194,0.12586472356021,188.801784248039,84.6571726346929,10.5821465793366,104.144611613346,0.448391803985677,7,13,"CT717 3","CT3","large","Control","control",3627.12,"WT","drought"
"75","LCOR-338","16",1,NA,14.58904846,NA,NA,166.2584466,NA,NA,32.66280323,NA,NA,0.493943285,NA,NA,799.9948065,NA,NA,167.4613105,NA,1,NA,0.223841,NA,NA,1719,NA,NA,369.552521,NA,NA,30.86,NA,NA,2.944982,NA,NA,0.537403,NA,-1.254699776,26.71300323,1.52358611755596,0.269828165960476,463.834617286059,273.664815033372,34.2081018791715,190.169802252686,0.59000515449798,1.52358611755596,0.246855264884546,197.482929864819,96.0970234192124,12.0121279274016,101.385906445606,0.486609265342543,7,13,"CT717 3","CT3","large","Control","control",3627.12,"WT","drought"
"76","LCOR-344","8",1,NA,15.49013933,NA,NA,118.3891776,NA,NA,23.30996333,NA,NA,0.351740003,NA,NA,799.9648667,NA,NA,256.6564451,NA,2,0.0793748575085335,0.2347365,0.0561265,56.5685424949238,270,40,6.66917660171029,72.428444,4.71582,1.51320851173921,16.75,1.07,0.172175551471456,0.7309105,0.1217465,0.0794462752934333,0.678835,0.056177,-1.471456738,26.01779333,0.3366548084872,0.344589432686937,93.0391468254729,24.6429443049819,3.08036803812274,68.3962025204909,0.264866404581378,0.3366548084872,0.171686296794014,137.34300552904,54.1788501073603,6.77235626342003,83.1641554216801,0.39447840753641,2,5,"CT717 3","CT3","large","Control","control",3596.64,"WT","drought"
"77","LCOR-344","12",1,NA,10.47816668,NA,NA,132.4350592,NA,NA,30.76988387,NA,NA,0.21001197,NA,NA,1500.004194,NA,NA,189.372498,NA,1,NA,0.079514,NA,NA,1664,NA,NA,202.818832,NA,NA,28.73,NA,NA,2.665112,NA,NA,0.304732,NA,-1.471456738,26.01779333,1.37520896921474,0.146837762865616,244.338037408385,138.874131760257,17.3592664700321,105.463905648128,0.568368859933762,1.37520896921474,0.0967685463716943,145.153225404825,72.7509237578833,9.09386546973541,72.4023016469416,0.501200876211911,2,5,"CT717 3","CT3","large","Control","control",3596.64,"WT","drought"
"78","LCOR-344","14",1,NA,7.454357642,NA,NA,104.2475242,NA,NA,32.04482667,NA,NA,0.165312043,NA,NA,1500.012333,NA,NA,162.4358705,NA,1,NA,0.037903,NA,NA,812,NA,NA,203.95079,NA,NA,28.32,NA,NA,2.571043,NA,NA,0.627859,NA,-1.471456738,26.01779333,1.31054433916411,0.317643406804194,257.926446325005,155.996561806004,19.4995702257505,101.929884519002,0.604810262881833,1.31054433916411,0.0731400665008001,109.71100178764,57.1862654477602,7.14828318097003,52.5247363398801,0.521244583642136,2,5,"CT717 3","CT3","large","Control","control",3596.64,"WT","drought"
"79","LCOR-344","16",1,NA,5.206316851,NA,NA,111.6758584,NA,NA,34.42712581,NA,NA,0.331772999,NA,NA,800.0166452,NA,NA,33.05982888,NA,1,NA,0.036221,NA,NA,141,NA,NA,39.43325,NA,NA,29.58,NA,NA,2.716402,NA,NA,0.701075,NA,-1.471456738,26.01779333,1.51961356399382,0.356345545674072,50.2447219400441,23.5368543253627,2.94210679067034,26.7078676146814,0.468444314478419,1.51961356399382,0.161131694499114,128.908037668573,75.9790648110485,9.49738310138107,52.9289728575243,0.589405177405566,2,5,"CT717 3","CT3","large","Control","control",3596.64,"WT","drought"
"80","LCOR-344","18",1,NA,3.704719969,NA,NA,88.02900168,NA,NA,31.4957,NA,NA,0.261526764,NA,NA,800.0007667,NA,NA,-251.2885854,NA,1,NA,0.012681,NA,NA,62,NA,NA,17.665791,NA,NA,25.04,NA,NA,1.791481,NA,NA,0.716726,NA,-1.471456738,26.01779333,0.891488818069098,0.364618698747887,22.606359322369,9.11553759891265,1.13944219986408,13.4908217234563,0.403228908685568,0.891488818069098,0.123999379949616,99.1995990300176,60.1776974040118,7.52221217550147,39.0219016260059,0.60663246618368,2,5,"CT717 3","CT3","large","Control","control",3596.64,"WT","drought"
