Obs#,Time,Date,Observation,ID,time(hour),leaf,gsw,VPDleaf,Fs,Fm',PhiPS2,ETR,Tleaf,Qamb
44,12:14:51,8/31/22,44,Ptmyb_92-2_3,12,18,0.421237,2.317701,100.547791,179.625015,0.440235,327.612854,30.19,1860
45,12:15:35,8/31/22,45,Vvmyb_68-1,12,13,0.417861,2.141201,71.431877,129.925552,0.450209,302.458557,29.3,1680
46,12:16:05,8/31/22,46,Vvmyb_68-1,12,10,0.133063,2.921555,54.768562,84.284439,0.350194,252.388641,32.41,1802
47,12:17:01,8/31/22,47,717 control   ,12,16,0.212354,2.211515,62.841652,81.235298,0.226424,144.129028,29.34,1591
48,12:18:04,8/31/22,48,717 control   ,12,18,0.26914,2.104026,79.388741,102.454582,0.225132,141.495514,28.81,1571
49,12:19:46,8/31/22,49,Ptmyb_131-1_1,12,17,0.203147,2.738244,89.557526,150.806076,0.406141,305.218262,31.69,1879
50,12:20:16,8/31/22,50,Ptmyb_131-1_1,12,20,0.168501,2.856896,82.982895,142.038467,0.415772,305.998505,32.21,1840
51,12:21:40,8/31/22,51,Ptmyb_Control_5,12,19,0.431897,2.186737,113.51609,216.491653,0.475656,325.128235,29.51,1709
52,12:22:20,8/31/22,52,Ptmyb_Control_5,12,22,0.451684,2.169885,122.80619,221.708176,0.446091,315.462219,29.95,1768
53,12:23:15,8/31/22,53,Ptmyb_125-1_3,12,15,0.294097,2.582798,73.83728,151.21312,0.511701,375.527466,31.14,1835
54,12:23:37,8/31/22,54,Ptmyb_125-1_3,12,12,0.12544,2.626573,75.979111,107.002594,0.289932,214.04306,31.03,1846
55,12:24:49,8/31/22,55,Ptmyb_125-1_1,12,16,0.465664,2.186682,135.00238,301.487274,0.552212,386.597534,29.87,1750
56,12:25:34,8/31/22,56,Ptmyb_125-1_1,12,17,0.33786,2.216903,212.606903,294.551117,0.2782,199.105896,29.91,1789
57,12:27:26,8/31/22,57,Ptmyb_122_5,12,16,0.331431,2.171332,99.434135,294.086639,0.661888,343.342468,29.33,1297
58,12:28:08,8/31/22,58,Ptmyb_122_5,12,18,0.539268,2.062087,120.885727,285.647888,0.576802,410.712463,29.31,1780
59,12:29:10,8/31/22,59,Vvmyb 84-1_4,12,7,0.137144,2.728631,17.331362,42.324253,0.59051,385.270691,31.17,1631
60,12:29:45,8/31/22,60,Vvmyb 84-1_4,12,5,0.197472,2.327927,78.016518,144.017151,0.458283,305.549774,29.62,1667
61,12:31:02,8/31/22,61,717_CONTROL_2,12,16,0.516757,2.097115,132.931351,295.340942,0.549905,384.24469,29.3,1747
62,12:31:46,8/31/22,62,717_CONTROL_2,12,18,0.376193,2.288855,107.91671,222.691116,0.515397,367.255188,30.13,1781
64,12:33:36,8/31/22,64,Vvmyb 7-1,12,10,0.209845,2.509792,116.639969,176.170395,0.337914,217.587204,30.88,1610
65,12:34:15,8/31/22,65,Vvmyb 7-1,12,13,0.28503,2.529778,81.804512,163.768463,0.500487,337.579529,31.04,1686
66,12:36:26,8/31/22,66,Ptmyb_131-1_2,12,16,0.220281,2.159998,131.934998,289.075867,0.543597,265.092102,29.05,1219
67,12:37:17,8/31/22,67,Ptmyb_131-1_2,12,20,0.472787,2.053516,179.102905,342.979309,0.477803,238.697433,29,1249
68,12:38:40,8/31/22,68,Ptmyb_30_4,12,16,0.208914,2.494706,122.492554,231.039734,0.46982,348.478668,30.6,1854
69,12:39:21,8/31/22,69,Ptmyb_30_4,12,19,0.429344,2.127023,184.538132,329.037079,0.439157,318.094879,29.36,1811
70,12:40:15,8/31/22,70,VVmybA1_84-1_1,12,9,0.056435,2.900804,19.737125,39.711731,0.50299,321.085938,32.17,1596
71,12:40:36,8/31/22,71,VVmybA1_84-1_1,12,7,0.023622,3.62807,13.482213,20.061018,0.32794,216.918137,34.46,1654
72,12:41:58,8/31/22,72,Vvmyb 57-1,12,15,0.495634,2.280773,57.032703,129.274124,0.558824,400.764709,30.11,1793
74,12:42:55,8/31/22,74,Vvmyb 57-1,12,18,0.113016,3.160471,23.048042,42.654247,0.459654,294.53363,33.06,1602
75,12:43:53,8/31/22,75,Ptmyb_124_2,12,15,0.701751,2.189746,112.381699,268.992798,0.582213,420.118591,30.06,1804
76,12:44:26,8/31/22,76,Ptmyb_124_2,12,18,0.400852,2.463065,109.091881,253.818695,0.570198,402.87677,31.16,1766
77,12:45:58,8/31/22,77,VVmybA1_60_3,12,16,0.352304,2.683456,103.699203,229.18988,0.54754,410.779297,31.79,1876
78,12:46:36,8/31/22,78,VVmybA1_60_3,12,18,0.326787,2.595488,105.211975,212.776031,0.505527,386.008606,31.16,1909
79,12:48:11,8/31/22,79,Ptmyb_30_3,12,17,0.344933,2.379387,140.878204,269.180603,0.476641,349.747986,30.23,1834
80,12:48:42,8/31/22,80,Ptmyb_30_3,12,19,0.391601,2.282401,126.107811,282.39267,0.553431,389.311218,29.9,1759
81,12:49:22,8/31/22,81,VVmybA1_83-2_4,12,10,0.106299,3.429417,34.635902,56.123363,0.382861,282.819214,33.78,1847
82,12:50:01,8/31/22,82,VVmybA1_83-2_4,12,14,0.106204,3.252814,27.53377,51.605644,0.466458,342.483215,33.08,1836
83,12:51:05,8/31/22,83,Ptmyb_125-1_4,12,15,0.377193,2.526577,104.436279,266.105042,0.607537,450.312347,31.02,1853
84,12:51:37,8/31/22,84,Ptmyb_125-1_4,12,18,0.22414,2.616455,182.156326,325.677612,0.440685,329.345581,30.91,1868
85,12:52:15,8/31/22,85,VVmybA1_83-2_5,12,7,0.21217,2.591054,123.078705,174.263443,0.29372,207.274979,31.12,1764
86,12:52:40,8/31/22,86,VVmybA1_83-2_5,12,9,0.094971,2.800977,51.733017,72.889442,0.290254,198.832748,31.51,1713
87,12:54:26,8/31/22,87,717_Control_1,12,16,0.173578,3.013654,109.565018,210.632599,0.479829,70.802628,32.31,369
88,12:55:21,8/31/22,88,717_Control_1,12,19,0.262706,2.812521,208.157303,310.320862,0.329219,221.424286,31.73,1681
89,12:56:31,8/31/22,89,717 control-8,12,17,0.628607,2.290384,123.910187,262.448578,0.527869,408.295441,30.55,1934
90,12:56:54,8/31/22,90,717 control-8,12,19,0.429082,2.407353,146.414276,283.241333,0.483076,359.44635,30.74,1860
91,12:57:41,8/31/22,91,VVmybA1_59_5,12,15,0.27154,2.953452,91.397163,187.194336,0.511753,359.638855,32.42,1757
92,12:58:11,8/31/22,92,VVmybA1_59_5,12,18,0.309596,2.247198,72.433235,213.621399,0.660927,446.226501,29.74,1688
93,12:59:25,8/31/22,93,Ptmyb_92-2_4,12,17,0.134603,3.158922,134.028915,251.268204,0.46659,361.467163,32.91,1937
94,13:00:00,8/31/22,94,Ptmyb_92-2_4,12,21,0.170779,2.968952,108.655212,222.293457,0.511208,393.124969,32.06,1923
95,13:01:07,8/31/22,95,VVmybA1_83-2_3,12,8,0.239911,2.792056,63.202141,160.267227,0.605645,423.774231,31.91,1749
96,13:01:24,8/31/22,96,VVmybA1_83-2_3,12,10,0.233315,2.819622,79.18811,175.169449,0.547934,394.178772,32.18,1798
97,13:02:03,8/31/22,97,VVmybA1_59_1,12,16,0.216338,2.814223,80.659035,151.170639,0.466437,334.550049,31.6,1793
98,13:02:32,8/31/22,98,VVmybA1_59_1,12,19,0.115445,3.238274,35.254955,52.807575,0.332388,235.003143,33.02,1768
99,14:03:36,8/31/22,99,717 Control 3,14,16,0.553207,2.656319,88.579056,167.402557,0.470862,301.083923,31.37,1599
100,14:04:02,8/31/22,100,717 Control 3,14,19,0.490004,2.879366,90.431931,151.244598,0.402082,274.273804,32.18,1705
101,14:05:14,8/31/22,101,Ptmyb_Control_2,14,15,0.557327,2.713773,128.419525,215.107727,0.402999,260.063599,31.77,1613
102,14:05:39,8/31/22,102,Ptmyb_Control_2,14,18,0.442751,2.602367,199.595337,279.915039,0.286943,168.993713,31.14,1472
103,14:06:57,8/31/22,103,Ptmyb_122_1,14,16,0.230337,3.412641,106.660011,217.882889,0.510471,375.794159,33.53,1840
104,14:07:08,8/31/22,104,Ptmyb_122_1,14,18,0.251346,3.393867,129.91011,255.531876,0.491609,347.531311,33.71,1767
105,14:07:55,8/31/22,105,Ptmyb_124_4,14,15,0.24484,3.266245,95.965508,244.449112,0.607421,413.089691,33.18,1700
106,14:08:05,8/31/22,106,Ptmyb_124_4,14,18,0.236518,3.249732,105.111122,210.959015,0.501746,81.450592,33.02,406
107,14:09:01,8/31/22,107,Vvmyb_59-3,14,17,0.286909,3.045305,85.505608,128.291397,0.333505,239.220749,32.36,1793
108,14:09:14,8/31/22,108,Vvmyb_59-3,14,19,0.163761,2.701706,18.084526,64.925583,0.721458,68.138046,30.77,236
109,14:10:10,8/31/22,109,Ptmyb_92-2_3,14,15,0.439465,2.967748,116.578461,275.746796,0.577226,409.562286,32.61,1774
110,14:10:21,8/31/22,110,Ptmyb_92-2_3,14,18,0.377301,2.740712,181.043381,352.429779,0.486299,337.91748,31.6,1737
111,14:10:59,8/31/22,111,Vvmyb_68-1,14,13,0.472757,2.897751,64.793228,136.94342,0.526861,340.955566,32.3,1618
112,14:11:07,8/31/22,112,Vvmyb_68-1,14,10,0.15323,3.721327,46.857475,77.654587,0.396591,266.029816,34.57,1677
113,14:11:47,8/31/22,113,717 control   ,14,16,0.201969,3.288924,68.175674,85.479057,0.202428,153.397476,33.03,1894
114,14:11:57,8/31/22,114,717 control   ,14,18,0.234854,3.426636,61.451912,79.134972,0.223454,167.490479,33.67,1874
115,14:13:29,8/31/22,115,Ptmyb_131-1_1,14,17,0.182249,3.372222,108.739975,177.262787,0.386561,285.862061,33.18,1849
116,14:13:40,8/31/22,116,Ptmyb_131-1_1,14,20,0.154303,3.578241,173.848267,238.062759,0.269738,197.77269,33.82,1833
117,14:15:10,8/31/22,117,Ptmyb_Control_5,14,19,0.450482,2.764124,91.969368,242.351364,0.620512,431.260162,31.63,1738
118,14:15:22,8/31/22,118,Ptmyb_Control_5,14,22,0.515827,2.661795,174.287796,292.826691,0.404809,281.411163,31.25,1738
119,14:16:01,8/31/22,119,Ptmyb_125-1_3,14,15,0.207531,3.788816,71.197273,174.226852,0.591353,399.476898,34.81,1689
120,14:16:10,8/31/22,120,Ptmyb_125-1_3,14,12,0.084694,4.244328,36.319969,66.061401,0.450209,324.921814,35.95,1804
121,14:17:11,8/31/22,121,Ptmyb_125-1_1,14,16,0.361998,2.989128,137.628082,317.772003,0.566897,396.756073,32.42,1750
122,14:17:26,8/31/22,122,Ptmyb_125-1_1,14,17,0.383114,3.153771,162.138824,275.111725,0.410644,309.588074,33.03,1885
123,14:18:29,8/31/22,123,Ptmyb_122_5,14,16,0.294571,3.5745,98.435638,236.473923,0.583736,455.609772,34.29,1951
124,14:18:42,8/31/22,124,Ptmyb_122_5,14,18,0.471815,2.978536,115.920425,274.878265,0.578285,434.456482,32.65,1878
125,14:19:50,8/31/22,125,Vvmyb 84-1_4,14,7,0.086788,3.410709,9.207487,21.788486,0.577415,378.476257,33.28,1639
126,14:19:59,8/31/22,126,Vvmyb 84-1_4,14,5,0.196141,3.183989,58.291553,136.305939,0.572348,390.447205,32.96,1705
127,14:21:34,8/31/22,127,717_CONTROL_2,14,16,0.584488,2.940212,129.148727,257.701141,0.498843,378.04834,32.7,1895
129,14:23:22,8/31/22,129,717_CONTROL_2,14,18,0.602958,2.753042,105.746269,232.092148,0.544378,399.99469,31.66,1837
130,14:24:09,8/31/22,130,Vvmyb 7-1,14,10,0.28194,3.266321,54.894089,149.666183,0.633223,400.267517,33.28,1580
131,14:24:19,8/31/22,131,Vvmyb 7-1,14,13,0.257286,3.220278,112.686394,174.905273,0.355729,231.796951,33.01,1629
132,14:26:21,8/31/22,132,Ptmyb_131-1_2,14,16,0.191416,3.69894,126.244064,220.784882,0.428203,300.035034,34.08,1752
133,14:26:35,8/31/22,133,Ptmyb_131-1_2,14,20,0.458143,3.043215,120.931152,214.95401,0.437409,335.802246,32.32,1919
134,14:28:11,8/31/22,134,Ptmyb_30_4,14,16,0.230188,3.492231,109.462738,223.107422,0.509372,369.141113,33.44,1812
135,14:28:26,8/31/22,135,Ptmyb_30_4,14,19,0.287167,3.382993,172.253967,283.559296,0.392529,299.446106,33.3,1907
136,14:29:32,8/31/22,136,VVmybA1_84-1_1,14,9,0.039224,4.272108,8.876681,13.915426,0.362098,242.625534,35.67,1675
137,14:29:42,8/31/22,137,VVmybA1_84-1_1,14,7,0.015907,4.29142,14.954209,23.378716,0.360349,148.457474,35.71,1030
138,14:31:18,8/31/22,138,Vvmyb 57-1,14,15,0.301426,3.393381,58.862328,121.902252,0.517135,389.275787,33.38,1882
139,14:31:26,8/31/22,139,Vvmyb 57-1,14,18,0.114321,3.007594,23.281933,74.379143,0.686983,76.219498,31.19,277
140,14:32:06,8/31/22,140,Ptmyb_124_2,14,15,0.591062,2.776941,110.949394,275.08493,0.596672,421.024109,32.14,1764
141,14:32:18,8/31/22,141,Ptmyb_124_2,14,18,0.320255,3.299918,102.381348,252.008652,0.593739,414.479095,33.57,1745
142,14:33:17,8/31/22,142,VVmybA1_60_3,14,16,0.288184,3.393774,117.101311,245.180679,0.522388,389.19632,33.38,1863
143,14:33:29,8/31/22,143,VVmybA1_60_3,14,18,0.308125,3.228538,109.209534,234.463531,0.534215,393.571442,32.72,1842
144,14:34:48,8/31/22,144,Ptmyb_30_3,14,17,0.452936,3.073802,119.943382,250.925308,0.521996,405.16568,32.45,1940
145,14:34:59,8/31/22,145,Ptmyb_30_3,14,19,0.383931,3.064379,128.534668,252.080795,0.490105,379.416046,32.25,1935
146,14:35:47,8/31/22,146,VVmybA1_83-2_4,14,10,0.093934,3.814961,53.33984,88.017609,0.393987,273.708099,34.35,1737
147,14:35:58,8/31/22,147,VVmybA1_83-2_4,14,14,0.096334,3.814576,34.309029,64.549103,0.468482,335.672791,34.29,1791
148,14:37:19,8/31/22,148,Ptmyb_125-1_4,14,15,0.292155,3.513916,99.680901,258.029907,0.613685,446.86142,33.81,1820
149,14:37:32,8/31/22,149,Ptmyb_125-1_4,14,18,0.219648,3.541825,109.146591,219.196838,0.502061,386.199219,33.65,1923
150,14:38:33,8/31/22,150,VVmybA1_83-2_5,14,7,0.189502,3.738613,132.03299,177.242447,0.255071,182.931747,34.29,1793
151,14:38:45,8/31/22,151,VVmybA1_83-2_5,14,9,0.069521,3.843798,41.399719,62.128304,0.333642,235.614548,34.33,1765
152,14:40:23,8/31/22,152,717_Control_1,14,16,0.273193,3.528394,116.221191,193.870056,0.40052,318.166656,33.67,1986
153,14:40:40,8/31/22,153,717_Control_1,14,19,0.108403,3.82563,143.428085,201.421463,0.287921,225.106842,34.16,1955
154,14:42:01,8/31/22,154,717 control-8,14,17,0.545826,3.052735,128.315094,260.411285,0.50726,396.198639,32.74,1953
155,14:42:13,8/31/22,155,717 control-8,14,19,0.550667,2.928448,153.998138,277.215942,0.444483,337.896118,32.43,1901
156,14:43:14,8/31/22,156,VVmybA1_59_5,14,15,0.238514,3.457288,89.460251,177.747604,0.496701,363.777191,33.56,1831
157,14:43:26,8/31/22,157,VVmybA1_59_5,14,18,0.27091,3.322138,95.784904,189.647064,0.494931,354.38736,33.01,1790
158,14:45:14,8/31/22,158,Ptmyb_92-2_4,14,17,0.307086,3.290028,118.228195,249.223526,0.525614,406.499268,32.96,1933
159,14:45:26,8/31/22,159,Ptmyb_92-2_4,14,21,0.138543,3.841403,95.12365,177.457947,0.463965,357.40094,34.45,1926
160,14:46:14,8/31/22,160,VVmybA1_83-2_3,14,8,0.283819,3.123536,64.376595,177.170212,0.63664,448.143494,32.59,1760
161,14:46:25,8/31/22,161,VVmybA1_83-2_3,14,10,0.242428,3.332704,83.47821,182.734131,0.543171,391.219147,33.42,1801
162,14:47:14,8/31/22,162,VVmybA1_59_1,14,16,0.205501,3.739855,91.288445,165.914749,0.449787,353.263275,34.51,1964
163,14:47:35,8/31/22,163,VVmybA1_59_1,14,19,0.099232,4.146963,39.310097,58.986065,0.33357,242.429657,35.52,1817
164,16:03:58,8/31/22,164,717 Control 3,16,16,0.504848,3.255075,86.759445,276.057068,0.685719,447.990631,33.83,1633
165,16:04:13,8/31/22,165,717 Control 3,16,19,0.411287,3.781376,118.464233,197.548386,0.400328,286.408142,35.3,1789
166,16:05:07,8/31/22,166,Ptmyb_Control_2,16,15,0.433597,3.7477,78.889847,187.559082,0.579387,357.335175,35.2,1542
167,16:05:22,8/31/22,167,Ptmyb_Control_2,16,18,0.356367,3.861532,91.386436,169.418137,0.460586,262.489563,35.42,1425
168,16:06:27,8/31/22,168,Ptmyb_122_1,16,16,0.169292,4.124683,110.314606,251.959244,0.562173,376.016998,35.64,1672
169,16:06:46,8/31/22,169,Ptmyb_122_1,16,18,0.111282,4.622599,70.816757,133.528976,0.469653,299.197083,36.93,1593
170,16:07:56,8/31/22,170,Ptmyb_124_4,16,15,0.194449,4.441556,207.497482,275.970367,0.248117,172.226471,36.87,1735
171,16:08:06,8/31/22,171,Ptmyb_124_4,16,18,0.186879,4.344329,63.502907,147.157913,0.568471,383.775726,36.48,1688
172,16:09:04,8/31/22,172,Vvmyb_59-3,16,17,0.235974,3.549374,57.374954,168.601151,0.6597,426.378174,33.91,1616
173,16:09:24,8/31/22,173,Vvmyb_59-3,16,19,0.166034,4.37555,17.090679,34.522461,0.50494,338.981781,36.48,1678
174,16:10:15,8/31/22,174,Ptmyb_92-2_3,16,15,0.398431,3.441989,162.898422,284.145905,0.426709,294.544678,34.07,1726
175,16:10:27,8/31/22,175,Ptmyb_92-2_3,16,18,0.292422,3.672111,230.236176,338.311401,0.319455,200.265457,34.61,1567
176,16:11:15,8/31/22,176,Vvmyb_68-1,16,13,0.388639,3.309039,79.349754,173.115204,0.541636,335.891785,33.64,1550
177,16:11:28,8/31/22,177,Vvmyb_68-1,16,10,0.132017,4.080016,53.705334,90.511665,0.406647,255.754593,35.61,1572
178,16:12:18,8/31/22,178,717 control   ,16,16,0.155349,4.101014,61.079262,79.006905,0.226912,164.274689,35.58,1810
179,16:12:29,8/31/22,179,717 control   ,16,18,0.157763,4.221438,59.178116,75.505302,0.216239,157.319199,35.89,1819
180,16:13:54,8/31/22,180,Ptmyb_131-1_1,16,17,0.129472,4.338353,157.266495,210.461166,0.252753,185.767426,36.19,1837
181,16:14:05,8/31/22,181,Ptmyb_131-1_1,16,20,0.113804,4.219236,205.374954,269.156036,0.236967,170.500717,35.68,1799
182,16:15:35,8/31/22,182,Ptmyb_Control_5,16,19,0.351627,3.568928,107.340218,192.885117,0.443502,304.940857,34.34,1719
183,16:15:47,8/31/22,183,Ptmyb_Control_5,16,22,0.3729,3.412822,213.317871,293.699066,0.273686,186.500275,33.78,1704
184,16:16:59,8/31/22,184,Ptmyb_125-1_3,16,15,0.191255,3.861195,106.625679,165.1362,0.354317,233.248947,34.85,1646
185,16:17:09,8/31/22,185,Ptmyb_125-1_3,16,12,0.084486,4.135937,43.296577,82.528664,0.475375,290.957764,35.37,1530
186,16:18:12,8/31/22,186,Ptmyb_125-1_1,16,16,0.225415,4.055529,164.889694,213.380508,0.22725,160.478638,35.55,1765
187,16:18:23,8/31/22,187,Ptmyb_125-1_1,16,17,0.27566,3.738228,92.021225,215.033981,0.572062,410.671875,34.65,1795
188,16:19:41,8/31/22,188,Ptmyb_122_5,16,16,0.343758,3.62929,101.059196,259.033173,0.60986,444.290039,34.43,1821
189,16:20:03,8/31/22,189,Ptmyb_122_5,16,18,0.33229,3.71376,174.415466,261.07132,0.331924,242.858551,34.71,1829
192,16:23:15,8/31/22,192,Vvmyb 84-1_4,16,7,0.063263,4.320458,6.241322,9.386436,0.33507,214.283768,36.12,1599
193,16:23:45,8/31/22,193,Vvmyb 84-1_4,16,5,0.081407,3.743455,47.330975,120.371864,0.606794,356.052063,34.31,1467
194,16:25:17,8/31/22,194,717_CONTROL_2,16,16,0.584836,2.984487,145.627136,277.460754,0.475143,309.965088,32.92,1631
195,16:25:33,8/31/22,195,717_CONTROL_2,16,16,0.350734,3.178996,145.090698,269.230927,0.461092,247.536377,33.04,1342
196,16:26:46,8/31/22,196,Vvmyb 7-1,16,10,0.215771,3.69526,50.00174,149.076004,0.664589,374.39325,34.51,1408
197,16:26:56,8/31/22,197,Vvmyb 7-1,16,13,0.190829,3.524801,90.85965,145.519699,0.37562,200.079346,33.85,1332
198,16:28:24,8/31/22,198,Ptmyb_131-1_2,16,16,0.199072,3.633656,245.666382,354.005554,0.306038,198.484268,34.23,1621
199,16:28:37,8/31/22,199,Ptmyb_131-1_2,16,20,0.388054,3.246852,165.851715,283.370667,0.414718,244.766846,33.26,1476
200,16:29:44,8/31/22,200,Ptmyb_30_4,16,16,0.191168,3.746887,171.454315,263.789886,0.350035,245.127518,34.7,1751
201,16:29:58,8/31/22,201,Ptmyb_30_4,16,19,0.216996,3.494688,276.149872,370.47049,0.254597,174.606339,33.84,1715
202,16:31:04,8/31/22,202,VVmybA1_84-1_1,16,9,0.049825,3.904373,19.384146,46.71035,0.585014,265.616394,34.94,1135
203,16:31:12,8/31/22,203,VVmybA1_84-1_1,16,7,0.033771,4.123424,31.306744,67.3843,0.5354,252.516632,35.61,1179
204,16:32:03,8/31/22,204,Vvmyb 57-1,16,15,0.248477,3.698663,50.20845,106.424118,0.528223,347.408661,34.64,1644
205,16:32:13,8/31/22,205,Vvmyb 57-1,16,18,0.136913,3.427515,50.563576,84.982559,0.405012,257.066956,33.31,1587
206,16:33:53,8/31/22,206,Ptmyb_124_2,16,15,0.36976,3.002676,185.392136,282.891876,0.344654,193.486191,32.64,1403
207,16:34:06,8/31/22,207,Ptmyb_124_2,16,18,0.246795,3.318953,103.513245,281.132141,0.631799,367.31427,33.54,1453
208,16:35:15,8/31/22,208,VVmybA1_60_3,16,16,0.221131,3.352413,188.377258,308.776062,0.389923,256.549988,33.36,1645
