"","L.....lactic.acid","glycolic.acid","pyruvic.acid","Beta..alanine..2","benzoic.acid","phosphoric.acid","maleic.acid","glycine","succinic.acid","catechol","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","ribonic.acid.gamma.lactone.2","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","threonic.acid","phenethylamine","tartaric.acid","arabinose","D.sphingosine..3","gluconic.acid.lactone.2","D.sorbitol","X4.hydroxycinnamic.acid","citric.acid","dehydroascorbic.acid..1","quinic.acid","fructose.1","D.glucose.1","galactitol","D.mannitol","L.ascorbic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine.1","caffeic.acid","D.ribose.5.phosphate.1","D.glucose.6.phosphate.1","lactobionic.acid.1","cellobiose.2","phenyl.beta.glucopyranoside","lactose.2","Sucrose","maltose..2","loganin","X....epicatechin","trans.coutaric.acid","D.....trehalose","taxifolin.","galactinol.2","kaempferol.2","chlorogenic.acid.2","isoquercitrin.1","maltotriose.1","D.....melezitose","Raffinose","ID","event_short.x","event_short.y","block","PLGG1_2022","GDH_2022","MS_2022"
"21",0.000434515,0.003227577,0.000116634,0.000201638,0.001015747,0.105446734,0.005257679,0.000895913,0.008896558,0.097694042,0.0083472,0.000417344,0.000944453,0.005172432,0.008793365,0.121444476,0.00464647,0.00107319,0.000676017,0.042298294,0.001709082,0.00477132,0.003927373,2.22661e-05,0.273407954,0.002187269,0.00057871,0.052370974,0.19294109,0.866305221,0.3735675,0.364973539,0.005681405,0.001988656,0.027357092,0.001118505,1.038411867,0.047889391,0.011134454,0.001130451,0.003467496,0.001324507,0.017237072,0.020271549,0.022862503,1.288609937,0.005251193,0.045267485,0.231068275,0.001218446,0.003241636,0.000469362,0.062973554,0.015959557,1.287879712,0.080762627,0.648379358,0.002318231,0.012523047,"LCOR-219","2H","2H","small",0.12,1.32,1.48
"22",0.000354161,0.000625548,0.000127244,0.000183386,0.001258464,0.099615545,0.006214999,0.001604676,0.009280215,0.074710911,0.006838375,0.000335936,0.000833697,0.00389281,0.008091899,0.18413533,0.006629365,0.00094868,0.00017895,0.077220316,0.000288496,0.009794627,0.00306731,0.012477841,0.42600808,0.000972939,0.000923917,0.104102905,0.171280938,0.870059937,0.117376007,0.194818494,0.004345807,0.001554801,0.012720253,0.00074786,0.987435525,0.023562342,0.002615896,0.003420797,0.008742839,0.002579856,0.000699101,0.02118699,0.031573026,1.153423101,0.007752373,0.032508824,0.150163104,0.003812052,0.001087634,0.006408071,0.04454361,0.035507157,0.836453575,0.151667874,1.266800769,0.003782248,0.015938718,"LCOR-279","5C","5C","large",0.4,0.87,0.7
"23",0.000482234,0.0005236,9.1223e-05,0.000145807,0.000840096,0.073710565,0.008377151,0.001711758,0.013573896,0.11879681,0.00719857,0.000250852,0.001238504,0.005143039,0.011518401,0.123722146,0.004590657,0.001265314,0.000456762,0.06932004,0.000282807,0.006547223,0.003869874,0.00908232,0.383780981,0.004086707,0.00051847,0.084254424,0.283249869,0.65929013,0.281331028,0.302481489,0.007572644,0.001543257,0.044463421,0.000530112,0.942634021,0.05258174,0.000143577,0.004102033,0.007163716,0.000803587,0.010304066,0.897845075,0.021539494,0.960701466,0.011509982,0.071836126,0.442175175,0.000490746,0.004346,0.002030082,0.066318331,0.016101222,1.227135159,0.101421849,0.993576655,0.004634541,0.011985531,"LCOR-340","CT3","CT3","large",1,0,0
"24",0.000213989,0.000811362,8.21519e-05,0.000126737,0.001240633,0.070783745,0.009183196,0.001941078,0.011347137,0.123541199,0.014132017,0.000627932,0.001105955,0.006725411,0.005739139,0.27195316,0.003446924,0.00207186,8.18265e-05,0.114415373,0.000261115,0.009875763,0.005716205,5.13383e-05,0.312481597,0.001165736,0.000641474,0.044454967,0.191289202,0.942029354,0.35450137,0.465748584,0.008900624,0.000900021,0.006136251,0.000706417,1.082679939,0.032291755,0.005656935,0.00218064,0.005057627,0.000817659,0.009058702,0.019231169,0.022622428,1.13700585,0.009053769,0.029544283,0.040441537,0.002977114,0.001138343,0.001496674,0.101594014,0.023653169,0.746760323,0.118305207,0.940857111,0.001954612,0.011496596,"LCOR-404","1C","1C","large",1.05,1.12,1.65
"25",0.00023909,0.000621036,8.05657e-05,0.00025309,0.001218459,0.088473927,0.008072623,0.002439221,0.007283683,0.042251561,0.012394545,0.000417643,0.001396314,0.005021918,0.006333818,0.184949676,0.003949294,0.002205317,7.94416e-05,0.206200143,0.000167228,0.00818012,0.003273409,3.02553e-05,0.21837795,0.001645639,0.000707202,0.077732358,0.204384655,0.701543864,0.284365978,0.411665422,0.00331383,0.001776681,0.005373174,0.000784299,0.912415606,0.024734098,0.004052218,0.003424651,0.006361197,0.001349956,0.001015237,0.019829222,0.026478178,0.968866952,0.004385881,0.014520227,0.008964301,0.003093009,0.001866371,0.002533704,0.049869948,0.009420254,0.29958438,0.058167427,1.047964259,0.003143505,0.013262631,"LCOR-465","13-15B","13-15B","small",0.09,0.27,0.33
"26",0.000362842,0.000624688,9.52436e-05,0.00011899,0.001261526,0.08607839,0.007047106,0.001687435,0.007586355,0.087056373,0.008166403,0.000521744,0.001057319,0.005734551,0.007015678,0.136455006,0.006072188,0.001324612,7.28084e-05,0.087302616,0.001617231,0.009119569,0.003497609,0.00035444,0.310007425,0.001021265,0.001109843,0.054074932,0.198465138,1.035657703,0.240643147,0.344604555,0.004863593,0.002368811,0.015746673,0.000740465,1.069023599,0.026323887,0.004186381,0.001846329,0.0072434,0.002271934,0.001606031,0.025998751,0.030171061,1.412208205,0.005874545,0.015828973,0.124557316,0.003130105,0.000964125,0.006255206,0.068785596,0.013252234,0.91609041,0.078492488,1.484343024,0.004293562,0.016181696,"LCOR-476","13-15B","13-15B","large",0.1,0.95,1.11
"27",0.000243029,0.000430857,0.000103118,0.000211518,0.000973153,0.103554386,0.007823484,0.001648582,0.008086328,0.075828891,0.009465386,0.000386589,0.001102645,0.005914638,0.005397721,0.215749815,0.006099243,0.00127979,7.79818e-05,0.157130526,0.000281493,0.009661631,0.002430747,0.008897809,0.271127591,0.001406333,0.000753484,0.086285211,0.170848769,0.897975285,0.180605303,0.238798477,0.003649565,0.000861497,0.00362848,0.000877767,0.957188549,0.022831799,0.00343234,0.001888814,0.004662074,0.001028562,0.001590238,0.023474953,0.018863795,1.132064477,0.008090701,0.018859414,0.057716626,0.00318698,0.001667818,0.001727746,0.039371236,0.011928673,0.646844512,0.075381434,1.09583326,0.00116828,0.014727054,"LCOR-484","1C","1C","large",1.03,1.08,1.39
"28",0.000294826,0.000421126,0.000112575,0.00016645,0.001578424,0.138941248,0.006759011,0.001761477,0.009680643,0.062369181,0.00911029,0.000336762,0.000869115,0.005622532,0.00494199,0.21341071,0.008068327,0.000793427,9.04301e-05,0.191219379,0.000444031,0.015277788,0.005279768,0.000412536,0.22179297,0.001040486,0.000542345,0.088832316,0.196101278,1.05227842,0.240835776,0.316805429,0.003933041,0.001113661,0.01455087,0.000556156,1.091201,0.036020012,0.000356639,0.001618049,0.006792581,0.002898503,0.012966765,0.025067004,0.012392626,1.272310683,0.010002973,0.030197738,0.026526317,0.003147584,0.001592909,0.001274013,0.028131411,0.008321121,0.260660905,0.045856942,1.508467127,0.005074345,0.017046037,"LCOR-502","CT3","CT3","large",0.88,0,0
"29",0.00044401,0.000551287,0.000135882,0.000207698,0.001116248,0.079492155,0.00757479,0.001886809,0.015244693,0.07693395,0.019363202,0.000562799,0.001443902,0.006093493,0.010076183,0.300391689,0.002227748,0.001807757,8.73985e-05,0.198335689,0.000220314,0.007465171,0.009226616,3.21685e-05,0.234266978,0.001046376,0.00045063,0.048454873,0.184695902,0.695709122,0.652359707,0.81912798,0.006432352,0.000486452,0.002536952,0.000637003,1.145644965,0.0349467,0.000153273,0.003505697,0.010987409,0.000923779,0.00150454,0.023355649,0.017087251,1.53947213,0.010599072,0.024752524,0.000887442,0.00263552,0.001723334,0.000489952,0.063376597,0.014421959,0.221672455,0.062764265,0.934423374,0.003424593,0.023594376,"LCOR-505","16-20","16-20","small",1.3,0,0
"30",0.000394433,0.00046153,0.000120822,0.000180938,0.001196671,0.09424367,0.007399421,0.000826896,0.007979868,0.102898418,0.006480074,0.000576937,0.000719834,0.007380623,0.006366002,0.173003455,0.005670593,0.000944411,0.000180087,0.069013542,0.000113376,0.008090208,0.002994724,4.91506e-05,0.273698248,0.000900482,0.000402207,0.083353194,0.172031825,1.018943844,0.13528349,0.269003589,0.00495189,0.000985932,0.01155735,0.000476344,1.037711738,0.02440592,0.001599942,0.000886973,0.004567736,0.001386485,0.001026631,0.026357884,0.02445507,1.163647112,0.006521344,0.022890326,0.039388987,0.003178882,0.001223108,0.005420817,0.032436408,0.012474792,0.573241784,0.073494561,1.179083693,0.003009886,0.012131705,"LCOR-586","5A","5A","small",0.39,0.94,0.96
