"","ID","Csetpoint","E","A","Ci","Qin","gsw","VPDlead","Fs","Fm_prime","PhiPS2","PhiCO2","ETR","Tleaf","sample_date.x","event_short","construct","construct2","block","sample_date.y","tier"
"53","LCOR-073",2000,0.002879514,37.33291004,1468.125385,1500.015,0.132257798,2.193264849,697.1261538,998.218,0.30162935,0.031203369,190.2110528,27.89486,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"54","LCOR-089",100,0.000441176,-0.429099218333333,74.4991924533333,1499.98734433333,0.0291373533333333,1.50578723833333,515.9579231,564.628333333333,0.086186977,0.000379493333333333,54.3494975466667,25.04324588,"Jun22","8-9D","Escape","control","large","Jun22","control"
"55","LCOR-089",200,0.000215607,0.466013253,144.0016182,1499.924194,0.014090911,1.513791573,519.5422308,571.903,0.091555332,0.001089268,57.73237554,25.15394839,"Jun22","8-9D","Escape","control","large","Jun22","control"
"56","LCOR-089",300,0.000213189,1.050008951,174.5748054,1500.036333,0.013928653,1.514395903,518.5318846,577.957,0.102819267,0.001552218,64.83998005,25.08699667,"Jun22","8-9D","Escape","control","large","Jun22","control"
"57","LCOR-089",400,0.000520393333333333,3.88374211133333,212.957990766667,1499.98667733333,0.034618094,1.49783367266667,512.9946318,572.295333333333,0.103628470333333,0.00379913566666667,65.3480288833333,24.91502086,"Jun22","8-9D","Escape","control","large","Jun22","control"
"58","LCOR-089",600,0.000579922,7.835629456,259.571123,1499.99129,0.038407368,1.50072639,504.0091538,578.267,0.128414463,0.00693254,80.9783852,25.12208065,"Jun22","8-9D","Escape","control","large","Jun22","control"
"59","LCOR-089",800,0.000563204,9.402540972,375.2640878,1500.009667,0.037011268,1.512442327,503.81372,589.962,0.146023439,0.008174831,92.08379459,25.02529,"Jun22","8-9D","Escape","control","large","Jun22","control"
"60","LCOR-089",1000,0.00041214,10.04595512,399.4553569,1500.015,0.027757415,1.473112413,508.2583846,601.065,0.154403626,0.008684953,97.3687562,24.94952,"Jun22","8-9D","Escape","control","large","Jun22","control"
"61","LCOR-089",1200,0.000345034,9.91595286,485.4794215,1499.984333,0.022973521,1.488888868,511.6026,609.331,0.160386391,0.008582056,101.1394537,24.95363333,"Jun22","8-9D","Escape","control","large","Jun22","control"
"62","LCOR-089",1500,0.000374958,11.46246692,733.0132916,1499.979,0.024954343,1.490199899,512.8006,617.591,0.169676048,0.009808316,106.9971363,24.93679,"Jun22","8-9D","Escape","control","large","Jun22","control"
"63","LCOR-089",2000,0.000327125,13.55744888,949.1844275,1500.038065,0.021502042,1.507747302,521.4978462,632.359,0.175313633,0.011468975,110.556536,25.03836452,"Jun22","8-9D","Escape","control","large","Jun22","control"
"64","LCOR-092",0,0.002950771,-1.4740604805,36.333484,1499.9929545,0.216781414,1.3973836015,671.23432,726.87,0.076461821,-0.000115131,48.217059975,27.63946909,"Aug29","8-9D","Escape","control","large","Aug29","control"
"65","LCOR-092",100,0.002904444,1.681907259,83.06867617,1499.974545,0.215049643,1.386477693,686.7700769,757.18,0.092989676,0.002387249,58.63879785,27.53952727,"Aug29","8-9D","Escape","control","large","Aug29","control"
"66","LCOR-092",200,0.002752352,5.648083787,145.0709433,1499.969091,0.207413269,1.360747835,688.6467308,778.9,0.11587273,0.005532058,73.06848541,27.31624545,"Aug29","8-9D","Escape","control","large","Aug29","control"
"67","LCOR-092",300,0.002785218,10.01870561,201.4157785,1500.013636,0.201508065,1.415300978,705.2531154,818.6,0.138464311,0.008997281,87.31713495,27.56563636,"Aug29","8-9D","Escape","control","large","Aug29","control"
"68","LCOR-092",400,0.00294621433333333,13.13923075,276.934960733333,1500.04875766667,0.215066839,1.40557988366667,689.75068,802.91,0.140559105,0.011471219,88.6402128133333,27.6786048466667,"Aug29","8-9D","Escape","control","large","Aug29","control"
"69","LCOR-092",600,0.002808774,18.3715925,431.2530359,1500.011818,0.220377278,1.309955233,682.48148,812.97,0.160508407,0.015620148,101.218285,27.25259091,"Aug29","8-9D","Escape","control","large","Aug29","control"
