"","tier","Csetpoint","n.x","A_sd","A","A_se","A_qt","A_upper","A_lower","gsw_sd","gsw","gsw_se","gsw_qt","gsw_upper","gsw_lower","Ci_sd","Ci","Ci_se","Ci_qt","Ci_upper","Ci_lower","n.y","PhiPS2_sd","PhiPS2","PhiPS2_se","PhiPS2_qt","PhiPS2_upper","PhiPS2_lower","ETR_sd","ETR","ETR_se","ETR_qt","ETR_upper","ETR_lower"
"11","WT",2000,6,10.3009187132224,22.5813889538333,4.20533245488027,2.44691185114497,32.8714667756844,12.2913111319822,0.102706265651808,0.114031055,0.0419296573722778,2.44691185114497,0.216629230538675,0.0114328794613254,266.206039401047,1489.5216642,108.678160496633,2.44691185114497,1755.44754307985,1223.59578532015,5,0.0739456883476316,0.2189197929,0.0330695171576637,2.57058183563631,0.303927693018754,0.133911892781246,46.629599817902,138.048540784,20.8533909912881,2.57058183563631,191.653888877627,84.4431926903728
"12","control",0,7,0.484025490211399,-1.18729201978571,0.182944439330784,2.36462425159278,-0.754697161850097,-1.61988687772133,0.0879373387941029,0.100706127571429,0.033237189915147,2.36462425159278,0.17929959289958,0.0221126622432769,8.67375975982714,47.4192714321429,3.27837303663171,2.36462425159278,55.1713918203301,39.6671510439556,7,0.0334135003313497,0.0958164632142857,0.0126291160441322,2.36462425159278,0.12567957728842,0.0659533491401511,21.0712064106775,60.4227697557143,7.96416742668039,2.36462425159278,79.255033196588,41.5905063148405
"13","control",100,11,0.845626630455358,0.296394147181818,0.254966022359359,2.20098516009164,0.85757057872236,-0.264782284358723,0.0845647509980323,0.110268235810606,0.0254972317773005,2.20098516009164,0.166387264575861,0.0541492070453507,11.7050616430036,70.8270789650758,3.52920887434761,2.20098516009164,78.5948153243786,63.0593426057729,11,0.12549686357154,0.165254200113636,0.0378387280757471,2.20098516009164,0.248536679085099,0.0819717211421741,79.1390225168306,104.209746768561,23.8613130876195,2.20098516009164,156.728142774712,51.6913507624097
"14","control",200,11,2.45614383528501,3.69128719254545,0.740555230253167,2.20098516009164,5.32123826456092,2.06133612052999,0.0901691381826948,0.117839762227273,0.0271870180928825,2.20098516009164,0.17767798559685,0.0580015388576955,24.9343431056559,131.104809244545,7.51798731594959,2.20098516009164,147.651787760708,114.557830728383,11,0.132720062476609,0.182253882090909,0.0400166044897671,2.20098516009164,0.270329834730143,0.0941779294516753,83.6925704914388,114.93079169,25.234259460043,2.20098516009164,170.471022287457,59.3905610925434
"15","control",300,11,3.83013109717512,6.29448331768182,1.15482797701837,2.20098516009164,8.83624255755791,3.75272407780573,0.0730068474594865,0.107731819954545,0.0220123927408935,2.20098516009164,0.156180769715361,0.05928287019373,25.3887384568282,190.191017795455,7.65499266925145,2.20098516009164,207.039543061087,173.342492529822,11,0.136906284062803,0.193798950863636,0.0412787977889211,2.20098516009164,0.284652972223475,0.102944929503797,86.3327747117865,122.211062441818,26.0303109844799,2.20098516009164,179.503390631229,64.9187342524076
"16","control",400,11,4.95344525336518,9.74196104681818,1.49351993863448,2.20098516009164,13.0291762680536,6.45474582558272,0.0792413005230003,0.121240589045455,0.0238921510667804,2.20098516009164,0.173826858986106,0.0686543191048032,34.0436460123504,239.327210262121,10.2645454835132,2.20098516009164,261.919322546419,216.735097977823,11,0.13066014938332,0.201059131712121,0.0393955173232963,2.20098516009164,0.287768080714829,0.114350182709413,82.395295166578,126.788745295152,24.8431162325566,2.20098516009164,181.46807545344,72.1094151368627
"17","control",600,11,6.46742936492202,15.2878669334091,1.95000332377935,2.20098516009164,19.5797953111768,10.9959385556414,0.0878633638814954,0.129327991454545,0.026491800983035,2.20098516009164,0.187636052282307,0.0710199306267844,67.7460962208969,352.591044290909,20.4262165614572,2.20098516009164,397.548843819494,307.633244762324,11,0.129095755834116,0.234684161272727,0.0389238349208269,2.20098516009164,0.320354944307324,0.149013378238131,81.4092582765087,147.994744991818,24.5458149240286,2.20098516009164,202.019719381961,93.9697706016754
"18","control",800,11,6.77623393833457,18.0652200929091,2.04311140592073,2.20098516009164,22.5620779777546,13.5683622080636,0.0921134162416169,0.127960552818182,0.0277732399846611,2.20098516009164,0.189089041872085,0.066832063764279,103.178759958035,479.3180901,31.1095666468135,2.20098516009164,547.789784626518,410.846395573482,11,0.125428526029744,0.245007566363636,0.0378181235316351,2.20098516009164,0.328244695039278,0.161770437687995,79.0962024344584,154.501902228182,23.8484023470085,2.20098516009164,206.991881885842,102.011922570521
"19","control",1000,11,6.87944742683565,19.5217719320455,2.07423144361725,2.20098516009164,24.0871245580425,14.9564193060484,0.0941522417901963,0.119490808681818,0.0283879690171728,2.20098516009164,0.181972307213757,0.0570093101498796,138.765651430403,627.059788236364,41.8394181439902,2.20098516009164,719.147726678155,534.971849794572,11,0.121191955015851,0.245685143863636,0.0365407493088372,2.20098516009164,0.326110790831016,0.165259496896257,76.4208012343867,154.930560523636,23.0417385338899,2.20098516009164,205.64508509944,104.216035947833
"20","control",1200,11,7.13925122309314,19.7456095572727,2.15256523555326,2.20098516009164,24.4833736968546,15.0078454176908,0.0943089211938263,0.135509348727273,0.0284352096348289,2.20098516009164,0.198094823157626,0.0729238742969195,227.873771679134,801.149602159091,68.7065272929821,2.20098516009164,952.371649132376,649.927555185806,11,0.117745175821379,0.241685805363636,0.0355015062794491,2.20098516009164,0.319824093845604,0.163547516881669,74.2538428875601,152.409770136364,22.3883760090942,2.20098516009164,201.686253490932,103.133286781796
"21","control",1500,11,6.44303176329244,19.9906380245455,1.94264717010754,2.20098516009164,24.2663756172462,15.7149004318447,0.0927252648144043,0.114640592045455,0.0279577192705202,2.20098516009164,0.176175117269878,0.0531060668210315,188.993579406742,1044.4360975,56.983708243491,2.20098516009164,1169.85639371092,919.015801289085,11,0.116637020200615,0.235654983454545,0.0351673847882313,2.20098516009164,0.313057875492675,0.158252091416416,73.5541598290855,148.605809699091,22.1774136293553,2.20098516009164,197.417967986516,99.7936514116659
"22","control",2000,11,6.36800749805938,20.1299402172727,1.92002650302116,2.20098516009164,24.355890057405,15.9039903771405,0.0897293773494901,0.117439509136364,0.0270544252127703,2.20098516009164,0.17698589754448,0.0578931207282471,250.74644575814,1531.61145168182,75.6028980086322,2.20098516009164,1698.01230825874,1365.2105951049,11,0.115193511272589,0.226890911954545,0.0347321504704322,2.20098516009164,0.303335859718037,0.150445964191054,72.6384474687984,143.078218603636,21.9013159643587,2.20098516009164,191.282690027668,94.8737471796048
"23","poor",0,7,0.855357573722847,-1.81426739907143,0.323294774586607,2.36462425159278,-1.04979673467072,-2.57873806347214,0.0587743958757889,0.127951807428571,0.0222146335636282,2.36462425159278,0.180481068693374,0.075422546163769,12.2380494762373,40.2217540792857,4.62554792094687,2.36462425159278,51.1594368700613,29.2840712885102,6,0.0163371372152971,0.11500785475,0.00666960833921861,2.44691185114497,0.131327798437729,0.0986879110622707,10.3020739290979,72.5238476958333,4.20580406978657,2.44691185114497,82.8150795177878,62.2326158738788
"24","poor",100,10,0.85869784700684,0.406030279563333,0.271544101842442,2.22813885198627,1.0110682429062,-0.199007683779528,0.0514125367761486,0.141694539063333,0.01625807164998,2.22813885198627,0.17791978016503,0.105469297961636,11.9342986811831,66.6596593131667,3.77395661092824,2.22813885198627,75.0685586636863,58.250759962647,9,0.130766475296078,0.214838811033333,0.0435888250986926,2.2621571627982,0.313443583948299,0.116234038118368,82.4615122916827,135.478963745259,27.4871707638942,2.2621571627982,197.65926397386,73.2986635166585
"25","poor",200,10,1.47641096484739,5.3277904457,0.466882141136454,2.22813885198627,6.36806868366467,4.28751220773533,0.0429830889944955,0.1339109855,0.0135924462092322,2.22813885198627,0.164196842992324,0.103625128007676,13.8391481536532,128.25528373,4.37632290420581,2.22813885198627,138.006338821698,118.504228638302,9,0.120060684029991,0.235010421777778,0.0400202280099969,2.2621571627982,0.32554246722741,0.144478376328146,75.708565002306,148.198243544444,25.236188334102,2.2621571627982,205.286467746158,91.1100193427311
"26","poor",300,10,2.40328888504563,8.9458599527,0.759986675211077,2.22813885198627,10.6392157907297,7.25250411467032,0.0479566233532523,0.136819563,0.0151652158687099,2.22813885198627,0.170609769675831,0.103029356324169,35.8582430244587,179.349108641,11.3393720849134,2.22813885198627,204.614804140524,154.083413141476,9,0.126755056519459,0.249737207666667,0.0422516855064863,2.2621571627982,0.345317160675462,0.154157254657872,79.9256596192648,157.482430065556,26.6418865397549,2.2621571627982,217.750564531919,97.2142955991918
"27","poor",400,10,3.86185266949396,13.7807877573,1.22122504236024,2.22813885198627,16.5018467212014,11.0597287933986,0.0437618733215675,0.1622804706,0.0138387194371911,2.22813885198627,0.193115059039743,0.131445882160257,34.1494580452812,233.898611916333,10.799006828345,2.22813885198627,257.960298593434,209.836925239233,9,0.115002432460882,0.266016702407407,0.0383341441536273,2.2621571627982,0.352734561184274,0.17929884363054,72.5219064910515,167.751989796667,24.1739688303505,2.2621571627982,222.437306539505,113.066673053829
"28","poor",600,10,4.60459005803423,20.559809028,1.45609922747551,2.22813885198627,23.8042002890854,17.3154177669146,0.0650600348746875,0.1695128694,0.0205737894854,2.22813885198627,0.215354129085006,0.123671609714994,56.1349578177065,363.67129803,17.7514323061427,2.22813885198627,403.223954029721,324.118642030279,9,0.109956458088062,0.304537528555556,0.0366521526960208,2.2621571627982,0.387450458308833,0.221624598802278,69.3398874354655,192.041640888889,23.1132958118218,2.2621571627982,244.327548565475,139.755733212302
"29","poor",800,10,3.93827709924938,22.887659697,1.2453925690509,2.22813885198627,25.6625672660773,20.1127521279227,0.0626122806814549,0.171948701,0.0197997416451157,2.22813885198627,0.216065274618773,0.127832127381227,69.0681849081358,533.75552345,21.8412778163377,2.22813885198627,582.420923129608,485.090123770392,9,0.107653311238473,0.304008084222222,0.035884437079491,2.2621571627982,0.385184320594574,0.22283184784987,67.8885500885672,191.710052655556,22.6295166961891,2.2621571627982,242.901575940501,140.51852937061
"30","poor",1000,10,3.56816627552957,23.274411546,1.12835325008734,2.22813885198627,25.7885392612846,20.7602838307154,0.0628712484403447,0.1701288379,0.0198816344409798,2.22813885198627,0.214427880038936,0.125829795761064,81.628042465063,717.8826967,25.8130535130544,2.22813885198627,775.397764120837,660.367629279163,9,0.0924584329069496,0.289586289555556,0.0308194776356499,2.2621571627982,0.35930479164274,0.219867787468371,58.3024598956401,182.615458866667,19.4341532985467,2.2621571627982,226.578567953892,138.652349779441
"31","poor",1200,10,3.71864057978785,24.742059931,1.17593740316587,2.22813885198627,27.3622117464977,22.1219081155023,0.0704650627240495,0.1615248268,0.0222830093674625,2.22813885198627,0.211174465710817,0.111875187889183,135.589096896483,864.60796892,42.8770372078153,2.22813885198627,960.143961380794,769.071976459206,9,0.0924895185284385,0.286359928888889,0.0308298395094795,2.2621571627982,0.356101871163177,0.216617986614601,58.3221876172703,180.581919644444,19.4407292057568,2.2621571627982,224.559904467267,136.603934821622
"32","poor",1500,10,4.74224553981917,25.677523235,1.49962971296033,2.22813885198627,29.0189064620399,22.3361400079601,0.0572030258077068,0.157887033,0.0180891850605747,2.22813885198627,0.198192249034236,0.117581816965764,97.769425807476,1158.7812463,30.9174071078471,2.22813885198627,1227.66952227967,1089.89297032033,9,0.0947350545831577,0.285934378555556,0.0315783515277192,2.2621571627982,0.357369572653345,0.214499184457766,59.7413698695733,180.312442555556,19.9137899565244,2.2621571627982,225.360565144166,135.264319966945
