"","ID_2","Vcmax","Jmax","Rd","Amax","ID","Jmax_Vcmax_ratio","row","column","event","event_short","block","construct","construct2","sample_date"
"20","LCOR-268",120.518208799857,176.839339368254,0.879220119422108,35.4300169110488,"LCOR-268",1.46732465682368,11,4,"LC-102 5C","5C","large","LC-102","transgenic","Jun14"
"21","LCOR-274",74.2840707490143,127.44333694552,1.51501621337004,25.8190725182772,"LCOR-274",1.715621339279,15,8,"LC-102 5C","5C","large","LC-102","transgenic","July20"
"22","LCOR-275",53.4357781963532,98.1343318195401,1.1974798683801,19.8756447829887,"LCOR-275",1.8364911138552,9,17,"LC-102 5C","5C","large","LC-102","transgenic","July27"
"23","LCOR-280",78.335895545541,135.452627795992,0.691180387340926,27.8565433730322,"LCOR-280",1.72912592436306,9,16,"LC-102 5C","5C","large","LC-102","transgenic","July18"
"24","LCOR-291",42.470482531748,95.1210626144093,1.41029299157221,18.9771588748095,"LCOR-291",2.23969818434023,9,23,"LC-102 8-9D","8-9D","large","Escape","control","July18"
"25","LCOR-291",42.470482531748,95.1210626144093,1.41029299157221,18.9771588748095,"LCOR-291",2.23969818434023,9,23,"LC-102 8-9D","8-9D","large","Escape","control","July20"
"26","LCOR-303",63.4886340082658,113.61083715905,1.0357798012717,23.0837809094096,"LCOR-303",1.78946734220583,8,12,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Aug29"
"27","LCOR-307",86.8437037929614,144.465408705238,0.739796537830876,29.8956502869388,"LCOR-307",1.66351044918177,9,15,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Jun14"
"28","LCOR-307",86.8437037929614,144.465408705238,0.739796537830876,29.8956502869388,"LCOR-307",1.66351044918177,9,15,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July20"
"29","LCOR-314",72.6276877968782,128.55920842209,0.656745612087265,26.8940059436903,"LCOR-314",1.77011291866593,14,5,"LC-102 16-20","16-20","large","Escape","control","Aug29"
"30","LCOR-318",90.1116864010245,139.504842418441,0.705768536617827,29.3302317141261,"LCOR-318",1.54813263395828,15,24,"LC-102 16-20","16-20","large","Escape","control","Jun14"
"31","LCOR-322",88.670737284981,147.227924300841,1.48901163354366,29.3064097806389,"LCOR-322",1.66038908448073,10,27,"LC-102 16-20","16-20","large","Escape","control","Jun22"
"32","LCOR-347",104.963630552001,184.128527258982,0.936817130793712,37.1388108444708,"LCOR-347",1.75421263813623,7,14,"CT717 3","CT3","large","Control","control","Jun14"
"33","LCOR-412",62.9838768446629,110.149017479236,1.32171713053987,22.6522087146591,"LCOR-412",1.74884467259608,6,48,"LC-102 8-9D","8-9D","small","Escape","control","Jun14"
"34","LCOR-456",77.5590160967234,125.250899269053,1.57257587545695,25.5751920381249,"LCOR-456",1.61491088428524,15,49,"LC-102 2H","2H","small","LC-102","transgenic","Jun22"
"35","LCOR-501",59.676457110957,95.8281200231977,-0.193480429243471,21.1115956220172,"LCOR-501",1.60579438965392,8,50,"CT717 3","CT3","small","Control","control","July18"
"36","LCOR-546",97.4388952385505,154.460452766867,1.12446064197537,31.5676051868222,"LCOR-546",1.58520324341441,10,24,"LC-102 4A","4A","large","LC-102","transgenic","Jun14"
"37","LCOR-573",96.3105883390553,153.221107851572,1.19529212367778,31.334668947621,"LCOR-573",1.59090615574028,6,5,"LC-102 5C","5C","large","LC-102","transgenic","Jun22"
"38","LCOR-577",99.1894348956078,137.710123017343,1.36186630148434,25.1212954369337,"LCOR-577",1.3883547492964,2,6,"LC-102 5A","5A","large","LC-102","transgenic","July18"
"39","LCOR-578",65.6152013845129,99.6757672202969,1.31762036743843,19.8934442538339,"LCOR-578",1.51909565340179,8,49,"LC-102 5A","5A","small","LC-102","transgenic","July27"
"40","LCOR-610",63.9789743879297,97.4455645586883,0.652489933483242,20.4607290915515,"LCOR-610",1.52308731877816,7,16,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July27"
"41","LCOR-611",79.1537272312685,121.574491139516,1.49801015810201,24.0795573117058,"LCOR-611",1.5359288234691,3,16,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July18"
