row,column,ID ,event,construct,DBH (in),Height (in),Insect Damage ,,,,,,,
3,3,LCOR-064,LC-102 2H,LC102,0.19,32.0,,,,,,,,
4,3,LCOR-173,LC-102 1C,LC102,0.17,29.0,,,,,,,,
5,3,LCOR-104,LC-102 16-20,LC102,0.31,34.5,,Split,,,,,,
6,3,LCOR-552,LC-102 7,LC102,0.26,42.0,,,,,,,,
7,3,LCOR-395,LC-102 1C,LC102,0.34,34.5,,Split,,,,,,
8,3,LCOR-228,LC-102 4A,LC102,0.32,47.0,,,,,,,,
9,3,LCOR-362,LC-102 1,LC102,0.24,30.0,,,,,,,,
10,3,LCOR-259,LC-102 4B,LC102,0.37,46.0,,Split,,,,,,
11,3,LCOR-258,LC-102 4B,LC102,0.37,54.0,,,,,,,,
12,3,LCOR-188,LC-102 13-15B,LC102,0.23,34.0,,,,,,,,
13,3,LCOR-294,LC-102 8-9D,LC102,0.29,46.5,,,,,,,,
14,3,LCOR-253,LC-102 4B,LC102,0.26,39.0,,,,,,,,
15,3,LCOR-213,LC-102 2H,LC102,0.22,32.5,,,,,,,,
16,3,LCOR-1047,NA,wt,0.21,22.5,,,,,,,,
1,4,LCOR-1002,NA,wt,0.33,46.0,,,,,,,,
2,4,LCOR-087,LC-102 8-9D,LC102,0.38,59.0,,,,,,,,
3,4,LCOR-308,LC-102 13-15E,LC102,0.39,54.5,,,,,,,,
4,4,LCOR-249,LC-102 5A,LC102,0.23,37.5,,,,,,,,
5,4,LCOR-244,LC-102 5A,LC102,0.12,21.0,,,,,,,,
6,4,LCOR-607,LC-102 13-15E,LC102,0.09,16.5,,Standing water,,,,,,
7,4,LCOR-396,LC-102 1C,LC102,0.26,37.5,,,,,,,,
8,4,LCOR-325,CT717 1,CT717,0.30,50.0,,,,,,,,
9,4,LCOR-054,LC-102 1,LC102,0.39,57.0,,,,,,,,
10,4,LCOR-109,LC-102 16-20,LC102,0.34,45.0,,,,,,,,
11,4,LCOR-268,LC-102 5C,LC102,0.36,55.0,,,,,,,,
12,4,LCOR-328,CT717 1,CT717,0.28,47.0,,,,,,,,
13,4,LCOR-107,LC-102 16-20,LC102,0.29,41.0,,,,,,,,
14,4,LCOR-201,CT717 3,CT717,0.43,59.0,,,,,,,,
15,4,LCOR-211,LC-102 2H,LC102,0.38,55.5,,,,,,,,
16,4,LCOR-1051,NA,wt,0.34,53.0,,,,,,,,
1,5,LCOR-082,LC-102 13-15E,LC102,0.27,44.0,,,,,,,,
2,5,LCOR-344,CT717 3,CT717,0.30,44.0,,Split,,,,,,
3,5,LCOR-070,LC-102 2H,LC102,0.36,56.5,,,,,,,,
4,5,LCOR-282,LC-102 8-9D,LC102,0.36,55.5,,,,,,,,
5,5,LCOR-027,LC-102 4B,LC102,0.33,52.0,,,,,,,,
6,5,LCOR-573,LC-102 5C,LC102,0.34,48.0,,,,,,,,
7,5,LCOR-068,LC-102 2H,LC102,0.32,51.0,,,,,,,,
8,5,LCOR-575,LC-102 5A,LC102,0.49,63.5,,,,,,,,
9,5,LCOR-346,CT717 3,CT717,0.38,45.5,,Split,,,,,,
10,5,LCOR-092,LC-102 8-9D,LC102,0.34,53.0,,,,,,,,
11,5,LCOR-142,LC-102 7,LC102,0.24,38.0,,,,,,,,
12,5,LCOR-563,LC-102 5C,LC102,0.29,48.5,,,,,,,,
13,5,LCOR-353,LC-102 1,LC102,0.29,47.5,,,,,,,,
14,5,LCOR-314,LC-102 16-20,LC102,0.35,52.5,,,,,,,,
15,5,LCOR-042,LC-102 5C,LC102,0.35,52.0,,,,,,,,
16,5,LCOR-1059,NA,wt,0.25,40.5,,,,,,,,
1,6,LCOR-1003,NA,wt,0.18,27.5,,,,,,,,
2,6,LCOR-577,LC-102 5A,LC102,0.18,29.0,,,,,,,,
3,6,LCOR-069,LC-102 2H,LC102,0.36,59.0,,,,,,,,
4,6,LCOR-043,LC-102 1,LC102,0.35,55.5,,,,,,,,
5,6,LCOR-062,LC-102 2H,LC102,0.34,39.0,,Split,,,,,,
6,6,LCOR-135,LC-102 5,LC102,0.39,46.0,,,,,,,,
7,6,LCOR-003,LC-102 4A,LC102,0.38,51.0,,,,,,,,
8,6,LCOR-191,LC-102 13-15B,LC102,0.23,37.0,,,,,,,,
9,6,LCOR-310,LC-102 16-20,LC102,0.39,43.0,,,,,,,,
10,6,LCOR-251,LC-102 5A,LC102,0.55,66.0,,,,,,,,
11,6,LCOR-358,LC-102 1,LC102,0.38,57.0,,,,,,,,
12,6,LCOR-363,LC-102 1,LC102,0.29,47.5,,,,,,,,
13,6,LCOR-355,LC-102 1,LC102,0.29,45.5,,,,,,,,
14,6,LCOR-472,LC-102 13-15B,LC102,0.50,66.5,,,,,,,,
15,6,LCOR-421,LC-102 4B,LC102,0.34,40.0,,Split,,,,,,
16,6,LCOR-1102,NA,wt,0.25,34.0,,,,,,,,
1,7,LCOR-1004,NA,wt,0.31,42.0,,,,,,,,
2,7,LCOR-177,LC-102 1C,LC102,0.36,55.5,,,,,,,,
3,7,LCOR-073,LC-102 13-15E,LC102,0.40,60.0,,,,,,,,
4,7,LCOR-510,LC-102 16-20,LC102,0.33,39.5,,,,,,,,
5,7,LCOR-474,LC-102 13-15B,LC102,0.32,37.0,,,,,,,,
6,7,LCOR-181,LC-102 1C,LC102,0.37,56.0,x,,,,,,,
7,7,LCOR-148,LC-102 7,LC102,0.33,53.0,,,,,,,,
8,7,LCOR-400,LC-102 1C,LC102,0.46,63.0,,,,,,,,
9,7,LCOR-530,LC-102 5,LC102,0.41,56.0,,,,,,,,
10,7,LCOR-587,LC-102 5A,LC102,0.37,37.0,,Spots on lower leafs,,,,,,
11,7,LCOR-005,LC-102 4A,LC102,0.47,62.5,,,,,,,,
12,7,LCOR-094,LC-102 8-9D,LC102,0.35,53.0,,,,,,,,
13,7,LCOR-296,LC-102 13-15E,LC102,0.50,67.0,,,,,,,,
14,7,LCOR-265,LC-102 4B,LC102,0.32,50.0,,,,,,,,
15,7,LCOR-198,CT717 3,CT717,0.25,40.5,,,,,,,,
16,7,LCOR-1111,NA,wt,0.34,43.0,,,,,,,,
1,8,LCOR-1005,NA,wt,0.26,31.5,,Split,,,,,,
2,8,LCOR-179,LC-102 1C,LC102,0.44,58.0,,,,,,,,
3,8,LCOR-036,LC-102 5C,LC102,0.57,69.0,x,,,,,,,
4,8,LCOR-279,LC-102 5C,LC102,0.43,61.0,,,,,,,,
5,8,LCOR-078,LC-102 13-15E,LC102,0.34,53.0,,,,,,,,
6,8,LCOR-582,LC-102 5A,LC102,0.44,59.5,,,,,,,,
7,8,LCOR-385,LC-102 7,LC102,0.37,57.0,,,,,,,,
8,8,LCOR-250,LC-102 5A,LC102,0.32,46.0,,,,,,,,
9,8,LCOR-034,LC-102 5C,LC102,0.51,65.5,,,,,,,,
10,8,LCOR-255,LC-102 4B,LC102,0.41,58.0,,,,,,,,
11,8,LCOR-238,LC-102 4A,LC102,0.43,51.0,,Split,,,,,,
12,8,LCOR-254,LC-102 4B,LC102,0.38,61.0,,,,,,,,
13,8,LCOR-469,LC-102 13-15B,LC102,0.27,44.5,,,,,,,,
14,8,LCOR-167,LC-102 5A,LC102,0.36,46.0,,Split,,,,,,
15,8,LCOR-274,LC-102 5C,LC102,0.29,46.0,,,,,,,,
16,8,LCOR-1114,NA,wt,0.23,37.0,,,,,,,,
1,9,LCOR-1006,NA,wt,0.35,50.0,,,,,,,,
2,9,LCOR-581,LC-102 5A,LC102,0.30,46.0,,,,,,,,
3,9,LCOR-001,LC-102 4A,LC102,0.47,69.0,,,,,,,,
4,9,LCOR-342,CT717 3,CT717,0.42,56.0,,,,,,,,
5,9,LCOR-471,LC-102 13-15B,LC102,0.43,61.5,,,,,,,,
6,9,LCOR-380,LC-102 7,LC102,0.47,64.0,,,,,,,,
7,9,LCOR-076,LC-102 13-15E,LC102,0.29,41.0,,,,,,,,
8,9,LCOR-163,LC-102 5A,LC102,0.41,60.0,,,,,,,,
9,9,LCOR-609,LC-102 13-15E,LC102,0.34,48.0,,,,,,,,
10,9,LCOR-217,LC-102 2H,LC102,0.42,56.0,,,,,,,,
11,9,LCOR-231,LC-102 4A,LC102,0.41,52.0,x,,,,,,,
12,9,LCOR-075,LC-102 13-15E,LC102,0.15,22.5,,,,,,,,
13,9,LCOR-504,CT717 3,CT717,0.20,34.5,,,,,,,,
14,9,LCOR-511,LC-102 16-20,LC102,0.32,53.5,,,,,,,,
15,9,LCOR-041,LC-102 5C,LC102,0.33,49.0,,,,,,,,
16,9,LCOR-1121,NA,wt,0.28,41.0,,,,,,,,
1,10,LCOR-1007,NA,wt,0.34,40.0,,,,,,,,
2,10,LCOR-321,#N/A,#N/A,0.13,26.0,,Split,,,,,,
3,10,LCOR-023,LC-102 4B,LC102,0.37,51.0,,,,,,,,
4,10,LCOR-020,LC-102 4B,LC102,0.20,31.0,,,,,,,,
5,10,LCOR-010,LC-102 4A,LC102,0.31,46.0,,,,,,,,
6,10,LCOR-292,LC-102 8-9D,LC102,0.31,48.0,,,,,,,,
7,10,LCOR-420,LC-102 8-9D,LC102,0.37,53.0,,,,,,,,
8,10,LCOR-157,LC-102 5A,LC102,0.42,63.0,,,,,,,,
9,10,LCOR-226,LC-102 4A,LC102,0.22,34.0,,,,,,,,
10,10,LCOR-263,LC-102 4B,LC102,0.42,62.0,,,,,,,,
11,10,LCOR-018,LC-102 4B,LC102,0.41,51.0,,,,,,,,
12,10,LCOR-286,LC-102 8-9D,LC102,0.34,53.0,,,,,,,,
13,10,LCOR-133,LC-102 5,LC102,0.17,37.0,,,,,,,,
14,10,LCOR-039,LC-102 5C,LC102,0.36,51.0,,,,,,,,
15,10,LCOR-203,CT717 3,CT717,0.32,48.0,,,,,,,,
16,10,LCOR-1131,NA,wt,0.26,42.0,,,,,,,,
1,11,LCOR-1008,NA,wt,0.30,22.5,,,,,,,,
2,11,LCOR-164,LC-102 5A,LC102,0.36,52.0,,,,,,,,
3,11,LCOR-529,LC-102 5,LC102,0.40,59.0,,,,,,,,
4,11,LCOR-386,LC-102 7,LC102,0.32,48.5,,,,,,,,
5,11,LCOR-028,LC-102 4B,LC102,0.35,49.0,,,,,,,,
6,11,LCOR-527,LC-102 5,LC102,0.46,64.0,,,,,,,,
7,11,LCOR-141,LC-102 7,LC102,0.36,53.0,,,,,,,,
8,11,LCOR-150,LC-102 7,LC102,0.36,56.0,,,,,,,,
9,11,LCOR-233,LC-102 4A,LC102,0.39,48.0,,Split,,,,,,
10,11,LCOR-161,LC-102 5A,LC102,0.31,50.0,,,,,,,,
11,11,LCOR-019,LC-102 4B,LC102,0.26,30.0,,Split,,,,,,
12,11,LCOR-360,LC-102 1,LC102,0.35,47.0,,,,,,,,
13,11,LCOR-289,LC-102 8-9D,LC102,0.37,57.0,,,,,,,,
14,11,LCOR-040,LC-102 5C,LC102,0.27,40.0,,,,,,,,
15,11,LCOR-324,CT717 1,CT717,0.28,38.5,,,,,,,,
16,11,LCOR-1139,NA,wt,0.26,43.0,,,,,,,,
1,12,LCOR-1009,NA,wt,0.22,32.0,,,,,,,,
2,12,LCOR-180,LC-102 1C,LC102,0.33,51.0,,,,,,,,
3,12,LCOR-403,LC-102 1C,LC102,0.37,53.5,,,,,,,,
4,12,LCOR-364,LC-102 1,LC102,0.30,39.5,,,,,,,,
5,12,LCOR-277,LC-102 5C,LC102,0.35,48.0,,,,,,,,
6,12,LCOR-115,CT717 1,CT717,0.37,52.5,,,,,,,,
7,12,LCOR-111,LC-102 16-20,LC102,0.42,58.0,,,,,,,,
8,12,LCOR-303,LC-102 13-15E,LC102,0.40,59.5,,,,,,,,
9,12,LCOR-588,LC-102 5A,LC102,0.34,53.5,,,,,,,,
10,12,LCOR-561,LC-102 5C,LC102,0.40,57.0,,Split,,,,,,
11,12,LCOR-035,LC-102 5C,LC102,0.39,54.5,,,,,,,,
12,12,LCOR-241,LC-102 5A,LC102,0.35,54.5,,,,,,,,
13,12,LCOR-218,LC-102 2H,LC102,0.50,60.0,,Split,,,,,,
14,12,LCOR-002,LC-102 4A,LC102,0.23,28.0,,,,,,,,
15,12,LCOR-026,LC-102 4B,LC102,0.35,54.0,,,,,,,,
16,12,LCOR-1201,NA,wt,0.28,46.0,,,,,,,,
1,13,LCOR-1010,NA,wt,0.36,45.0,,,,,,,,
2,13,LCOR-066,LC-102 2H,LC102,0.27,41.0,,,,,,,,
3,13,LCOR-423,LC-102 4B,LC102,0.32,48.0,,,,,,,,
4,13,LCOR-200,CT717 3,CT717,0.36,52.0,,,,,,,,
5,13,LCOR-332,CT717 1,CT717,0.35,50.0,,,,,,,,
6,13,LCOR-137,LC-102 5,LC102,0.38,50.0,,,,,,,,
7,13,LCOR-338,CT717 3,CT717,0.39,55.5,,,,,,,,
8,13,LCOR-544,LC-102 4A,LC102,0.47,41.0,,,,,,,,
9,13,LCOR-320,LC-102 16-20,LC102,0.44,60.0,,,,,,,,
10,13,LCOR-077,LC-102 13-15E,LC102,0.45,50.0,,Split,,,,,,
11,13,LCOR-593,CT717 1,CT717,0.40,46.5,,Split,,,,,,
12,13,LCOR-088,LC-102 8-9D,LC102,0.39,47.5,,Split,,,,,,
13,13,LCOR-030,LC-102 5C,LC102,0.47,62.5,,,,,,,,
14,13,LCOR-156,LC-102 5A,LC102,0.34,53.0,,,,,,,,
15,13,LCOR-051,LC-102 1,LC102,0.30,45.5,,,,,,,,
16,13,LCOR-1203,NA,wt,0.30,46.5,,,,,,,,
1,14,LCOR-1011,NA,wt,0.08,10.0,,Split,,,,,,
2,14,LCOR-060,LC-102 2H,LC102,0.33,51.0,,,,,,,,
3,14,LCOR-604,LC-102 13-15E,LC102,0.41,60.5,,,,,,,,
4,14,LCOR-368,LC-102 5,LC102,0.25,43.5,,,,,,,,
5,14,LCOR-046,LC-102 1,LC102,0.38,50.5,,,,,,,,
6,14,LCOR-031,LC-102 5C,LC102,0.29,41.0,,,,,,,,
7,14,LCOR-347,CT717 3,CT717,0.44,50.0,,Split,,,,,,
8,14,LCOR-176,LC-102 1C,LC102,0.31,46.5,,,,,,,,
9,14,LCOR-269,LC-102 5C,LC102,0.32,44.0,,Split,,,,,,
10,14,LCOR-147,LC-102 7,LC102,0.37,55.0,,,,,,,,
11,14,LCOR-257,LC-102 4B,LC102,0.38,57.5,,,,,,,,
12,14,LCOR-256,LC-102 4B,LC102,0.43,60.0,,,,,,,,
13,14,LCOR-014,LC-102 4A,LC102,0.37,54.5,,,,,,,,
14,14,LCOR-091,LC-102 8-9D,LC102,0.40,58.5,,,,,,,,
15,14,LCOR-264,LC-102 4B,LC102,0.28,39.5,,,,,,,,
16,14,LCOR-1206,NA,wt,0.26,39.5,,,,,,,,
1,15,LCOR-116,CT717 1,CT717,0.08,9.0,,,,,,,,
2,15,LCOR-486,LC-102 1C,LC102,0.40,46.5,,Split,,,,,,
3,15,LCOR-174,LC-102 1C,LC102,0.44,57.5,,Prominent branch,,,,,,
4,15,LCOR-357,LC-102 1,LC102,0.39,46.0,,Split,,,,,,
5,15,LCOR-473,LC-102 13-15B,LC102,0.34,43.0,,,,,,,,
6,15,LCOR-525,LC-102 5,LC102,0.43,59.0,,,,,,,,
7,15,LCOR-437,LC-102 1,LC102,0.41,56.0,,,,,,,,
8,15,LCOR-550,LC-102 7,LC102,0.45,57.5,,,,,,,,
9,15,LCOR-307,LC-102 13-15E,LC102,0.31,42.0,,,,,,,,
10,15,LCOR-449,LC-102 2H,LC102,0.42,58.0,,,,,,,,
11,15,LCOR-507,LC-102 16-20,LC102,0.40,57.0,,,,,,,,
12,15,LCOR-154,LC-102 7,LC102,0.44,61.0,,,,,,,,
13,15,LCOR-562,LC-102 5C,LC102,0.40,62.0,,,,,,,,
14,15,LCOR-334,CT717 1,CT717,0.41,63.0,,,,,,,,
15,15,LCOR-393,LC-102 1C,LC102,0.35,48.0,,,,,,,,
16,15,LCOR-1070,NA,wt,0.26,24.0,,Split,,,,,,
1,16,LCOR-442,LC-102 1,LC102,0.21,25.0,,,,,,,,
2,16,LCOR-247,LC-102 5A,LC102,0.35,50.0,,,,,,,,
3,16,LCOR-611,LC-102 13-15E,LC102,0.22,34.0,,,,,,,,
4,16,LCOR-327,CT717 1,CT717,0.39,51.0,,,,,,,,
5,16,LCOR-528,LC-102 5,LC102,0.27,27.0,,Split,,,,,,
6,16,LCOR-072,LC-102 13-15E,LC102,0.29,31.0,,Split,,,,,,
7,16,LCOR-610,LC-102 13-15E,LC102,0.31,47.0,,,,,,,,
8,16,LCOR-516,LC-102 16-20,LC102,0.15,25.0,,,,,,,,
9,16,LCOR-280,LC-102 5C,LC102,0.28,46.0,,,,,,,,
10,16,LCOR-033,LC-102 5C,LC102,0.34,52.0,,,,,,,,
11,16,LCOR-331,CT717 1,CT717,0.35,51.0,,,,,,,,
12,16,LCOR-372,LC-102 5,LC102,0.34,52.5,,,,,,,,
13,16,LCOR-105,LC-102 16-20,LC102,0.26,39.0,,,,,,,,
14,16,LCOR-352,LC-102 1,LC102,0.44,53.5,,Split,,,,,,
15,16,LCOR-614,LC-102 13-15E,LC102,0.31,44.0,,,,,,,,
16,16,LCOR-1035,NA,wt,0.32,49.0,,,,,,,,
1,17,LCOR-376,LC-102 5,LC102,0.36,48.0,,,,,,,,
2,17,LCOR-016,LC-102 4B,LC102,0.27,40.0,,,,,,,,
3,17,LCOR-132,LC-102 5,LC102,0.34,50.0,,,,,,,,
4,17,LCOR-574,LC-102 5C,LC102,0.40,59.0,,,,,,,,
5,17,LCOR-079,LC-102 13-15E,LC102,0.29,43.5,,,,,,,,
6,17,LCOR-458,LC-102 2H,LC102,0.40,56.0,,,,,,,,
7,17,LCOR-411,LC-102 8-9D,LC102,0.43,59.0,,,,,,,,
8,17,LCOR-394,LC-102 1C,LC102,0.43,65.5,,,,,,,,
9,17,LCOR-275,LC-102 5C,LC102,0.39,57.5,,,,,,,,
10,17,LCOR-601,CT717 1,CT717,0.33,43.0,,Split,,,,,,
11,17,LCOR-252,LC-102 5A,LC102,0.30,28.0,,Split,,,,,,
12,17,LCOR-134,LC-102 5,LC102,0.37,55.5,,,,,,,,
13,17,LCOR-502,CT717 3,CT717,0.34,47.0,,,,,,,,
14,17,LCOR-481,LC-102 1C,LC102,0.28,45.5,,,,,,,,
15,17,LCOR-271,LC-102 5C,LC102,0.35,49.5,,,,,,,,
16,17,LCOR-1062,NA,wt,0.34,52.5,,,,,,,,
1,18,LCOR-377,LC-102 5,LC102,0.31,45.0,,,,,,,,
2,18,LCOR-058,LC-102 2H,LC102,0.38,51.5,,,,,,,,
3,18,LCOR-052,LC-102 1,LC102,0.25,42.0,,,,,,,,
4,18,LCOR-475,LC-102 13-15B,LC102,0.42,58.0,,,,,,,,
5,18,LCOR-085,LC-102 8-9D,LC102,0.36,50.0,,,,,,,,
6,18,LCOR-351,LC-102 1,LC102,0.36,54.0,,,,,,,,
7,18,LCOR-053,LC-102 1,LC102,0.00,,,Snapped at base,,,,,,
8,18,LCOR-302,LC-102 13-15E,LC102,0.35,46.0,,,,,,,,
9,18,LCOR-354,#N/A,#N/A,0.00,,,Snapped at base,,,,,,
10,18,LCOR-306,LC-102 13-15E,LC102,0.43,57.5,,,,,,,,
11,18,LCOR-392,LC-102 7,LC102,0.42,57.0,,,,,,,,
12,18,LCOR-243,LC-102 5A,LC102,0.45,53.0,,,,,,,,
13,18,LCOR-572,LC-102 5C,LC102,0.34,48.5,,,,,,,,
14,18,LCOR-463,LC-102 13-15B,LC102,0.43,58.0,,,,,,,,
15,18,LCOR-260,LC-102 4B,LC102,0.37,52.0,,,,,,,,
16,18,LCOR-1077,NA,wt,0.40,62.5,,,,,,,,
1,19,LCOR-548,LC-102 7,LC102,0.25,23.5,,,,,,,,
2,19,LCOR-057,LC-102 2H,LC102,0.16,19.0,,,,,,,,
3,19,LCOR-406,LC-102 1C,LC102,0.32,46.0,,,,,,,,
4,19,LCOR-089,LC-102 8-9D,LC102,0.36,51.5,,,,,,,,
5,19,LCOR-491,CT717 3,CT717,0.30,40.5,,Split,,,,,,
6,19,LCOR-121,CT717 1,CT717,0.41,54.5,,,,,,,,
7,19,LCOR-585,LC-102 5A,LC102,0.26,39.0,,,,,,,,
8,19,LCOR-554,LC-102 7,LC102,0.37,55.5,,,,,,,,
9,19,LCOR-152,LC-102 7,LC102,0.47,64.0,,,,,,,,
10,19,LCOR-558,LC-102 7,LC102,0.35,55.0,,,,,,,,
11,19,LCOR-138,LC-102 5,LC102,0.36,48.0,,,,,,,,
12,19,LCOR-383,LC-102 7,LC102,0.29,47.0,,,,,,,,
13,19,LCOR-568,LC-102 5C,LC102,0.29,47.0,,,,,,,,
14,19,LCOR-080,LC-102 13-15E,LC102,0.21,31.5,,,,,,,,
15,19,LCOR-391,LC-102 7,LC102,0.39,58.5,,,,,,,,
16,19,LCOR-1086,NA,wt,0.33,51.0,,,,,,,,
1,20,LCOR-553,LC-102 7,LC102,0.29,39.5,,,,,,,,
2,20,LCOR-162,LC-102 5A,LC102,0.25,34.5,,,,,,,,
3,20,LCOR-242,LC-102 5A,LC102,0.35,50.0,,,,,,,,
4,20,LCOR-330,CT717 1,CT717,0.28,44.0,,,,,,,,
5,20,LCOR-166,LC-102 5A,LC102,0.33,50.0,,,,,,,,
6,20,LCOR-512,LC-102 16-20,LC102,0.37,54.0,,,,,,,,
7,20,LCOR-059,LC-102 2H,LC102,0.44,66.0,,,,,,,,
8,20,LCOR-101,LC-102 16-20,LC102,0.35,55.5,,,,,,,,
9,20,LCOR-067,LC-102 2H,LC102,0.31,47.0,,,,,,,,
10,20,LCOR-004,#N/A,#N/A,0.00,,,Snapped at base,,,,,,
11,20,LCOR-103,LC-102 16-20,LC102,0.29,47.0,,,,,,,,
12,20,LCOR-230,LC-102 4A,LC102,0.39,58.5,,,,,,,,
13,20,LCOR-534,LC-102 4A,LC102,0.34,50.0,,,,,,,,
14,20,LCOR-261,LC-102 4B,LC102,0.30,46.5,,,,,,,,
15,20,LCOR-493,CT717 3,CT717,0.48,48.0,,,,,,,,
16,20,LCOR-1087,NA,wt,0.33,54.5,,,,,,,,
1,21,LCOR-468,LC-102 13-15B,LC102,0.23,36.0,,,,,,,,
2,21,LCOR-098,LC-102 8-9D,LC102,0.32,48.0,,,,,,,,
3,21,LCOR-482,LC-102 1C,LC102,0.32,50.0,,,,,,,,
4,21,LCOR-350,CT717 3,CT717,0.34,54.0,,,,,,,,
5,21,LCOR-129,LC-102 5,LC102,0.46,59.5,,,,,,,,
6,21,LCOR-012,LC-102 4A,LC102,0.41,50.0,,Split,,,,,,
7,21,LCOR-248,LC-102 5A,LC102,0.34,46.0,,,,,,,,
8,21,LCOR-476,LC-102 13-15B,LC102,0.33,50.5,,,,,,,,
9,21,LCOR-584,LC-102 5A,LC102,0.40,52.0,,Split,,,,,,
10,21,LCOR-518,LC-102 16-20,LC102,0.39,59.0,,,,,,,,
11,21,LCOR-450,LC-102 2H,LC102,0.32,48.0,,,,,,,,
12,21,LCOR-017,LC-102 4B,LC102,0.43,65.0,,,,,,,,
13,21,LCOR-495,CT717 3,CT717,0.45,64.0,,,,,,,,
14,21,LCOR-144,LC-102 7,LC102,0.37,51.0,,,,,,,,
15,21,LCOR-204,CT717 3,CT717,0.34,54.0,,,,,,,,
16,21,LCOR-1142,NA,wt,0.27,40.5,,,,,,,,
1,22,LCOR-470,LC-102 13-15B,LC102,0.27,39.0,,,,,,,,
2,22,LCOR-616,LC-102 13-15E,LC102,0.36,53.0,,,,,,,,
3,22,LCOR-245,LC-102 5A,LC102,0.15,22.5,,,,,,,,
4,22,LCOR-165,LC-102 5A,LC102,0.28,31.5,,,,,,,,
5,22,LCOR-209,CT717 3,CT717,0.41,61.0,,Split,,,,,,
6,22,LCOR-340,CT717 3,CT717,0.31,39.0,,,,,,,,
7,22,LCOR-326,CT717 1,CT717,0.38,57.0,,,,,,,,
8,22,LCOR-149,LC-102 7,LC102,0.35,53.5,,,,,,,,
9,22,LCOR-074,#N/A,#N/A,0.00,,,Snapped at base,,,,,,
10,22,LCOR-169,LC-102 1C,LC102,0.41,45.5,,,,,,,,
11,22,LCOR-063,LC-102 2H,LC102,0.46,61.0,,,,,,,,
12,22,LCOR-483,LC-102 1C,LC102,0.41,54.0,,,,,,,,
13,22,LCOR-514,LC-102 16-20,LC102,0.44,58.0,,,,,,,,
14,22,LCOR-266,LC-102 4B,LC102,0.47,55.0,,,,,,,,
15,22,LCOR-122,CT717 1,CT717,0.31,45.0,,,,,,,,
16,22,LCOR-1148,NA,wt,0.31,35.0,,Split,,,,,,
1,23,LCOR-485,LC-102 1C,LC102,0.45,63.0,,,,,,,,
2,23,LCOR-398,LC-102 1C,LC102,0.37,49.0,,Split,,,,,,
3,23,LCOR-171,LC-102 1C,LC102,0.22,33.0,,,,,,,,
4,23,LCOR-422,LC-102 4B,LC102,0.44,51.5,,Split,,,,,,
5,23,LCOR-319,LC-102 16-20,LC102,0.30,47.0,,,,,,,,
6,23,LCOR-106,LC-102 16-20,LC102,0.34,44.0,,,,,,,,
7,23,LCOR-445,LC-102 1,LC102,0.36,50.0,,,,,,,,
8,23,LCOR-401,LC-102 1C,LC102,0.18,27.5,,Split,,,,,,
9,23,LCOR-291,LC-102 8-9D,LC102,0.36,45.5,,,,,,,,
10,23,LCOR-207,CT717 3,CT717,0.35,48.0,,,,,,,,
