"","ribitol..IS.","glycolic.acid","pyruvic.acid","Beta..alanine","benzoic.acid","L.serine","phosphoric.acid","L.threonine","nicotinic.acid","maleic.acid","glycine","succinic.acid","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","aspartic.acid","ribonic.acid.gamma.lactone","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","L.glutamic.acid","threonic.acid","phenethylamine","X2.isopropylmalic.acid","X3.phenyllactic.acid","tartaric.acid","arabinose","rhamnose","gluconic.acid.lactone","X4.hydroxycinnamic.acid","shikimic.acid","citric.acid","dehydroascorbic.acid","quinic.acid","fructose","D.glucose","galactitol","D.mannitol","L.ascorbic.acid","galactonic.acid","D.saccharic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine","caffeic.acid","D.ribose.5.phosphate","D.glucose.6.phosphate","lactobionic.acid","lactose","Sucrose","maltose","loganin","X....epicatechin","trans.coutaric.acid","taxifolin","galactinol","kaempferol","chlorogenic.acid","isoquercitrin","maltotriose","D.....melezitose","Raffinose","petunidin.3.glucoside","event_short"
"48",1974957,1209.896194,135.5882353,196.5051903,1447.923875,2141.972318,415418.3391,455,794.0484429,8879.653979,2225.294118,17257.02422,13878.11419,468.4429066,922.0588235,6104.550173,3203.49481,16962.52595,400361.09,15923.68512,2875.67474,296.6089965,6939.602076,151181.782,7327.491349,294.8615917,730.7093426,20579.06574,5795.588235,3593.927336,603100.4844,1146.903114,101910.0519,303337.1972,340994.1176,1865211.471,169076.7993,281560.3114,26088.18339,2489.515571,119428.3737,27929.49827,26258.71972,6963.910035,1943302.491,53280.20761,12218.63322,6762.83737,19896.79931,3959.256055,46785.70934,2646602.785,14359.08304,92643.92734,636463.4256,5371.055363,12532.12803,98273.65052,36097.02422,1856588.253,205318.3045,3878163.616,8323.719723,42055.38062,6661.228374,"5C"
"49",2186624,1565.643341,184.0857788,445.9593679,1790.632054,2449.480813,373670.6095,985.5981941,585.4176072,24552.34763,3569.232506,24068.17156,29774.22122,1197.44921,2973.724605,6047.17833,2768.916479,7861.602709,826772.1896,15168.08126,3487.088036,86.50112867,4831.083521,335001.4447,292.8442438,777.2234763,6347.629797,26279.00677,4869.051919,3515.869074,546990.4289,2097.426637,108897.0203,265133.702,262953.86,1968929.91,191804.1535,307236.1625,9457.133183,2642.234763,9508.329571,53255.93679,23432.0316,4405.259594,1801148.646,54793.09255,13089.25508,4579.706546,10879.27765,4407.58465,46939.79684,2949196.095,17975.68849,47387.85553,149621.6253,9116.726862,1782.009029,131977.7427,38472.05418,1807186.682,151980.2935,3149492.709,7228.600451,23838.73589,1827.923251,"2H"
"50",2095827,1015.250545,169.3028322,330.3703704,2104.858388,2269.237473,159627.8867,361.2418301,479.0413943,16036.31808,1368.714597,20292.91939,20292.44009,1453.877996,1826.078431,6202.331155,2565.490196,16274.18301,370153.3769,14527.55991,3227.821351,660.7625272,4348.779956,176714.3573,370.130719,266.6013072,639.3464052,19240.98039,6220.740741,3320.849673,522703.5512,1219.716776,59815.83878,178889.4336,468599.6732,1342330.24,465000.2179,424467.8649,10962.44009,3097.668845,68030.4793,26749.97821,15081.78649,2072.941176,2120835.251,82027.1024,15725.05447,2104.117647,8437.189542,1956.819172,46550.37037,2787289.695,17367.69063,107352.6144,683821.1111,2434.488017,1628.801743,236744.6187,33099.6732,2059167.277,172732.7451,3951199.259,12720.30501,25291.65577,7004.183007,"2H"
"51",1859373,1192.843137,115.3529412,95.8627451,1627.529412,4551.019608,214945.3725,1061.705882,532.7647059,11392.90196,3131.27451,18162.01961,13337.13725,361.3333333,1114.352941,3417.294118,2373.607843,14101.15686,366318.8627,17308.05882,2333.529412,122.3333333,4029.117647,234877,10259.17647,NA,5037.921569,23093.68627,14529.29412,2665.568627,619966.1569,1117.627451,152350,119557.2549,439276.098,1959072.706,491508.5098,663407.3529,7728.27451,1573.490196,43288.31373,27322.66667,6785.294118,1752.745098,2013350.882,72195.27451,11947.15686,4227.705882,15368.07843,3442.254902,43093.01961,2777465,18064.05882,69005.43137,586475.8824,6646.686275,22807.82353,189663.6471,34585.4902,2048185.725,191436.2549,4583377.059,15409.41176,37531.41176,4515.568627,"5A"
"52",2166985,2450.422833,119.577167,261.4587738,1962.43129,2639.556025,203235.7717,522.05074,493.1289641,13556.21564,5744.312896,14927.08245,19017.08245,1201.627907,2352.219873,4411.945032,1170.021142,12440.08457,401535.4968,13663.53066,4109.386892,246.0465116,4176.807611,318452.241,361.2262156,396.9978858,2954.947146,21160.7611,5441.501057,1886.955603,444048.0127,2066.109937,77684.18605,182596.2791,382699.1966,1672626.998,356613.4884,383943.9958,7713.086681,4052.663848,86805.4334,34645.9408,13126.23679,2122.896406,1874367.569,61807.31501,16457.52643,2238.350951,7069.598309,2148.20296,41005.47569,2966480.275,17717.39958,39624.90486,438246.9556,4744.249471,1526.786469,149055.4334,27409.76744,1879232.03,114693.5941,3113564.905,6479.725159,31482.49471,3578.541226,"2H"
"53",1907369,880.3555556,134.1111111,192.9555556,1232.977778,2219.488889,225833.8,373.8666667,269.5111111,11310.08889,1828.311111,20431.88889,12821.02222,568.1111111,1477.355556,6697.066667,999.6444444,12764.04444,374158.4222,15749.66667,981.9111111,686.9111111,1027.866667,116352.4,273.5555556,NA,6299.688889,21146.82222,6033.822222,2933.288889,495139.4,813.1555556,70876.53333,151161.1556,420794.3111,1578398.756,440231.5111,445327.6222,15026.97778,1781.866667,47235.33333,35617.15556,10610.4,1692.044444,1916572.156,75471.8,12837.66667,911.6444444,4584.466667,5236.777778,33518.11111,2951625.222,11739.37778,107997.4,489741.9111,2190.444444,1267.2,167963.9333,22397.28889,1830977.2,123836.5111,3490451.022,12379.22222,36599.42222,6683.177778,"4A"
"54",2487323,1303.850267,112.4777184,1294.777184,1971.319073,2270.374332,266228.3957,752.2816399,515.5258467,15726.43494,2322.85205,22126.72014,28837.91444,953.5650624,2086.470588,5744.491979,3027.754011,18455.45455,428914.4029,16101.99643,3911.907308,774.5454545,7970.962567,267450.3922,3157.700535,344.2780749,4611.033868,25080.48128,9907.290553,2142.299465,535504.4742,1690.285205,117100.1248,179127.148,419624.4207,1665250.357,735788.5561,825958.5027,20093.79679,2686.987522,101211.0339,32501.92513,5655.044563,2432.121212,1900612.995,67644.52763,19687.80749,1879.16221,9426.613191,4950.713012,42326.59537,2460474.742,19176.70232,73541.60428,488613.3512,4402.495544,1679.750446,293404.7594,26221.87166,1974398.467,138928.0036,3534435.865,9619.518717,45243.13725,6697.878788,"4A"
"55",2401418,1220.899358,189.379015,172.0556745,1889.014989,4115.289079,274670.6424,1530.642398,766.2740899,12786.68094,6094.475375,24387.34475,23284.53961,933.7473233,2104.304069,4607.087794,6291.220557,15623.14775,508282.955,12066.03854,5032.569593,141.627409,15650.29979,278031.7773,269.7216274,NA,4869.721627,17735.43897,10144.04711,2525.845824,602032.334,1068.586724,130806.8951,157966.3597,382883.7259,1776292.099,539554.0257,686393.3619,8166.573876,1540.620985,28700,30014.08994,4871.541756,2331.327623,2158728.415,63551.62741,18529.20771,2312.719486,10695.76017,1985.417559,41781.56317,2886371.113,19785.1606,56040.92077,451841.4989,5601.605996,2367.494647,219871.1777,44555.07495,2143094.325,197008.6938,4206406.317,11642.22698,51542.39829,4966.231263,"4A"
"56",1716437,648.243513,126.4870259,4096.806387,1264.850299,1781.836327,169744.8703,745.1696607,178.3233533,7145.469062,1566.487026,8089.381238,16468.68263,350.998004,694.99002,4288.522954,972.8143713,8695.568862,259747.1457,17599.44112,1436.906188,291.8163673,2849.860279,114557.3453,468.0239521,201.0978044,930.8582834,20206.72655,4405.648703,1449.98004,206526.5868,1931.377246,95918.16367,189785.2894,328562.0758,1423529.102,271937.5848,332636.5868,8528.223553,2494.850299,36886.38723,39554.47106,3357.644711,1602.215569,1684935.848,52625.88822,4365.289421,544.6107784,3752.654691,4828.343313,20078.00399,2520514.072,6286.646707,46390.91816,221511.0978,1802.39521,3464.550898,91124.07186,3682.275449,1423018.603,19297.78443,3454414.531,12883.27345,44265.26946,4147.844311,"5C"
"57",1970446,730.8,137.8947368,259.7473684,1053.431579,1918.336842,160662.8632,377.2210526,779.4947368,9196.715789,2297.410526,24821.70526,12138.08421,959.1578947,1114.336842,6850.778947,1298.231579,16092.96842,191528.8211,11881.15789,2271.663158,933.4315789,2448.863158,174294.9895,284.3157895,NA,4652.673684,17720.21053,6758.526316,2568.652632,592510.9474,1500.589474,51747.26316,109144.8421,511357.5789,1353447.768,517344.9263,534861.7053,11269.01053,4702.336842,62537.85263,31534.10526,10283.09474,1164.905263,1985389.474,87715.64211,23506.16842,3955.031579,11835.09474,1455.284211,48680.27368,2925685.495,24316.73684,76426.25263,772203.8105,1366.378947,4224.589474,140311.2842,30055.68421,2408347.537,207052.2105,3251286.274,12785.95789,18346.56842,8901.031579,"CT3"
