Sample,Label,ribitol..IS.,glycolic.acid,pyruvic.acid,Beta..alanine,benzoic.acid,phosphoric.acid,maleic.acid,glycine,succinic.acid,glyceric.acid,glyoxylic.acid,fumaric.acid,methyltartronic.acid,ribonic.acid.gamma.lactone,D.malic.acid,D.threitol,L.pyroglutamic.acid,ribose,threonic.acid,phenethylamine,tartaric.acid,arabinose,gluconic.acid.lactone,X4.hydroxycinnamic.acid,citric.acid,dehydroascorbic.acid,quinic.acid,fructose,D.glucose,galactitol,D.mannitol,L.ascorbic.acid,mucic.acid,myo.inositol,N.acetyl.D.glucosamine,caffeic.acid,D.ribose.5.phosphate,D.glucose.6.phosphate,lactobionic.acid,lactose,Sucrose,maltose,loganin,X....epicatechin,trans.coutaric.acid,taxifolin,galactinol,kaempferol,chlorogenic.acid,isoquercitrin,maltotriose,D.....melezitose,Raffinose
76,8-9D,1777407,631.9014085,147.0657277,576.57277,1039.812207,170175.3991,11564.55399,1667.769953,10829.3662,5373.169014,380.5868545,1168.521127,5272.276995,6550.164319,330140.7512,13261.90141,1164.295775,221.0093897,207542.1127,10733.52113,16485.77465,3893.661972,469645.5869,599.600939,234401.4085,307120.0939,1465005.376,179414.6948,236120.7277,7505.469484,2223.333333,67466.17371,1171.971831,1442139.624,42043.05164,10434.29577,2321.314554,4668.262911,1851.737089,29818.59155,3135325.751,9574.342723,51218.92019,179183.7324,5542.018779,7544.483568,107815.1643,24880.21127,1692037.887,127163.3803,2388898.873,4386.877934,29906.19718
77,16-20,1357898,765.6818182,107.1590909,194.75,872.1818182,135458.5227,8915.818182,3259.931818,14434.36364,12586.29545,567.6363636,1319.954545,3059.295455,7284.863636,241499.0455,9217.136364,1480.045455,189.7954545,245616.2955,418.1818182,15479.43182,6202.909091,355600.4318,1160.227273,97155.18182,334477.75,1206167.523,362937.2727,444518.5227,6108.045455,2890.75,31164.45455,701.8863636,1595164.386,49809.90909,11786.95455,3499.636364,7778.681818,1366.840909,30021.04545,2953105.614,13862.65909,46850.11364,201763.8182,3274.977273,3370.409091,121824.0227,17787.31818,1255345.682,105841.5909,2549527.932,6016.340909,28128
78,5A,1556570,1239.977728,96.72605791,259.3986637,1330.890869,235474.4543,13135.94655,2439.665924,9049.643653,11090.33408,430.6904232,2354.832962,4425.256125,14462.69488,328032.0935,12294.23163,2787.616927,146.9487751,256419.0646,311.4476615,22748.37416,4935.033408,432886.9265,2361.514477,238442.0935,231628.2405,2069302.873,184526.6592,257287.7283,18978.21826,2629.376392,28456.10245,3190.91314,1692579.577,46955.79065,14271.91537,3148.173719,9185.300668,3360.64588,64704.07572,2992751.314,10307.52784,35139.77728,306582.0713,7639.042316,9298.752784,56804.00891,17062.60579,2041567.038,102732.294,2796724.432,7450.935412,22177.08241
79,CT3,1721224,466.716141,116.1595547,1454.601113,848.1076067,158356.0668,8358.849722,2581.781076,19253.26531,12149.92579,234.3970315,861.3172542,3881.966605,9594.897959,346404.3414,5291.985158,1418.738404,130.4267161,349471.4471,362.7829314,16834.08163,6511.558442,470764.4898,723.135436,98890.40816,376993.8033,1241547.922,290109.7959,345796.846,5365.102041,1795.955473,41109.6846,769.5918367,1697448.738,48023.76623,10845.62152,4887.922078,9415.714286,1350.909091,21648.36735,2492719.258,17437.62523,38977.32839,329167.7737,4331.706865,6783.024119,133602.9685,31225.75139,1643869.481,150453.4508,3042984.527,9262.987013,34060.07421
80,CT3,1597906,497.1585903,169.4493392,199.3171806,1092.84141,176373.5463,9705.61674,1185.374449,14827.7533,7755.132159,480.8810573,1068.215859,2777.709251,9519.977974,249923.6344,13426.27753,1417.973568,337.1145374,179781.63,269.845815,20192.3348,10772.04846,411970.9912,953.9427313,103079.6256,309910.4626,1191254.361,408413.0176,486719.978,7821.629956,1629.07489,56199.73568,1832.709251,1643157.687,56105.17621,14005.24229,4135.088106,8299.537445,2004.273128,32454.71366,3120297.555,15679.86784,81831.36564,371303.0176,3947.422907,3774.559471,73113.87665,22749.51542,1579871.388,131671.6079,3329208.524,8174.273128,23206.82819
81,CT3,1348166,545.3579176,122.472885,227.0932755,1193.427332,123465.5315,8777.440347,701.8221258,11815.44469,8876.572668,506.3340564,1470.802603,3168.872017,9412.863341,193870.9761,6744.555315,1420.694143,281.0412148,174164.4685,422.1475054,15605.09761,2762.581345,326119.1323,1078.069414,125790.6074,274509.6963,1072291.106,125230.0434,195190.8894,4776.724512,2804.967462,41396.70282,550.1952278,1543840.499,35268.67679,12690.62907,2827.331887,6140.694143,2530.455531,26355.79176,3208740.239,11752.4295,26760.30369,320094.4252,3416.70282,4239.89154,70722.58134,15609.1974,1416164.816,101477.8308,2881187.18,8627.830803,27872.36443
82,5A,1348710,636.7880086,100.5781585,195.9528908,1315.781585,89567.51606,5054.582441,3006.573876,8137.5803,7688.907923,428.9293362,652.8051392,2780.599572,12352.29122,110084.4325,6065.931478,1757.301927,269.7858672,27905.24625,443.6616702,5845.567452,2967.430407,258603.6831,840.8779443,97506.85225,434192.2484,1510598.415,153674.4754,233371.1991,7653.982869,1122.334047,64686.08137,1943.233405,1793156.767,48924.13276,14227.34475,1621.43469,3643.618844,2096.40257,41166.31692,2971917.987,8309.828694,58533.72591,806034.1328,2448.650964,2270.513919,97026.89507,12395.6531,1745117.281,77582.56959,3378565.567,10498.11563,27902.78373
83,5A,1615021,345.106383,161.5130024,355.4609929,926.0992908,153457.3759,6738.841608,1684.539007,8671.513002,7646.548463,399.0543735,632.6004728,4571.678487,11090.80378,220248.1324,6214.491726,1759.787234,137.4704492,60922.55319,9554.704492,7221.77305,2856.666667,498231.7967,4117.635934,91922.76596,294982.5059,1426940.189,191770.6383,285420.6619,12231.70213,765.9338061,51789.69267,613.9007092,1738758.109,35022.22222,9027.588652,1751.41844,5113.498818,1459.621749,33059.45626,3046994.657,10992.05674,49338.39243,469101.0638,4432.12766,4920.543735,82633.38061,41853.56974,1963576.572,196276.1229,3084993.57,6412.364066,28305.50827
84,16-20,1678369,575.3212851,102.6305221,465.3413655,2156.84739,136194.739,6495.863454,4601.024096,13418.03213,13094.13655,237.9116466,705.3815261,2634.317269,5405.64257,305470.8835,6393.493976,1358.75502,127.5702811,211524.8594,777.5903614,12792.95181,4636.767068,349447.008,2238.855422,135466.7269,323134.6787,1351867.952,202329.739,353618.8153,7677.48996,706.5662651,54446.46586,1216.987952,1493361.145,33367.02811,5602.008032,3511.927711,7442.148594,1379.497992,7887.53012,2495740.1,11816.24498,24485.42169,408502.3293,2405.522088,4227.128514,41797.95181,15623.55422,1653969.257,92005.04016,3165858.715,8295.381526,23208.6747
85,13-15B,1382339,1701.911469,108.2696177,203.4406439,886.8209256,92254.76861,7481.368209,5337.907445,14023.05835,10070.90543,418.0080483,812.4949698,2034.808853,9800.402414,221264.2455,9088.752515,1784.969819,141.3078471,107911.9718,739.5975855,9323.963783,4552.474849,487548.2294,1083.8833,126368.672,335269.2354,1121286.539,313214.3662,383016.1771,6187.585513,2615.533199,55363.17907,1123.521127,1839260.966,41321.14688,9381.187123,1966.740443,7936.338028,3481.509054,39179.95976,2774794.547,12086.39839,35355.61368,541737.8471,2842.917505,12087.70624,216686.1368,32400.02012,1671190.825,184368.2897,3186615.332,10036.17706,26940.16097
