"","row","column","ID","event","event_short","block","H497"
"29",13,16,"LCOR-105","LC-102 16-20","16-20","large",2560.32
"30",15,24,"LCOR-318","LC-102 16-20","16-20","large",3108.96
"31",9,51,"LCOR-108","LC-102 16-20","16-20","small",2834.64
"32",5,3,"LCOR-104","LC-102 16-20","16-20","large",2926.08
"33",4,45,"LCOR-100","LC-102 16-20","16-20","small",2164.08
"34",5,47,"LCOR-315","LC-102 16-20","16-20","small",4328.16
"35",7,12,"LCOR-111","LC-102 16-20","16-20","large",3779.52
"36",5,23,"LCOR-319","LC-102 16-20","16-20","large",2804.16
"37",4,46,"LCOR-313","LC-102 16-20","16-20","small",1584.96
"38",13,22,"LCOR-514","LC-102 16-20","16-20","large",3261.36
"39",6,17,"LCOR-458","LC-102 2H","2H","large",3505.2
"40",11,24,"LCOR-212","LC-102 2H","2H","large",3535.68
"41",11,25,"LCOR-065","LC-102 2H","2H","large",3444.24
"42",9,20,"LCOR-067","LC-102 2H","2H","large",3505.2
"43",15,3,"LCOR-213","LC-102 2H","2H","large",2895.6
"44",13,47,"LCOR-216","LC-102 2H","2H","small",2103.12
"45",15,4,"LCOR-211","LC-102 2H","2H","large",3505.2
"46",7,5,"LCOR-068","LC-102 2H","2H","large",3688.08
"47",1,25,"LCOR-214","LC-102 2H","2H","large",3063.24
"48",12,52,"LCOR-215","LC-102 2H","2H","small",2804.16
"49",3,3,"LCOR-064","LC-102 2H","2H","large",2712.72
"50",10,9,"LCOR-217","LC-102 2H","2H","large",3931.92
"51",3,5,"LCOR-070","LC-102 2H","2H","large",3291.84
"52",3,6,"LCOR-069","LC-102 2H","2H","large",3749.04
"53",5,6,"LCOR-062","LC-102 2H","2H","large",3108.96
"54",12,49,"LCOR-460","LC-102 2H","2H","small",2545.08
"55",2,14,"LCOR-060","LC-102 2H","2H","large",3017.52
"56",2,13,"LCOR-066","LC-102 2H","2H","large",2941.32
"57",10,15,"LCOR-449","LC-102 2H","2H","large",3992.88
"58",13,14,"LCOR-014","LC-102 4A","4A","large",4145.28
"59",10,24,"LCOR-546","LC-102 4A","4A","large",3657.6
"60",12,45,"LCOR-234","LC-102 4A","4A","small",3276.6
"61",1,27,"LCOR-533","LC-102 4A","4A","large",3139.44
"62",5,10,"LCOR-010","LC-102 4A","4A","large",3566.16
"63",3,9,"LCOR-001","LC-102 4A","4A","large",4968.24
"64",1,28,"LCOR-537","LC-102 4A","4A","large",3108.96
"65",9,11,"LCOR-233","LC-102 4A","4A","large",3596.64
"66",8,3,"LCOR-228","LC-102 4A","4A","large",2895.6
"67",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04
"68",11,51,"LCOR-225","LC-102 4A","4A","small",2346.96
"69",11,8,"LCOR-238","LC-102 4A","4A","large",3596.64
"70",11,9,"LCOR-231","LC-102 4A","4A","large",3931.92
"71",5,24,"LCOR-229","LC-102 4A","4A","large",3688.08
"72",13,20,"LCOR-534","LC-102 4A","4A","large",3596.64
"73",7,6,"LCOR-003","LC-102 4A","4A","large",3962.4
"74",12,20,"LCOR-230","LC-102 4A","4A","large",3916.68
"75",4,47,"LCOR-232","LC-102 4A","4A","small",3048
"76",6,21,"LCOR-012","LC-102 4A","4A","large",3901.44
"77",8,49,"LCOR-578","LC-102 5A","5A","small",2529.84
"78",12,18,"LCOR-243","LC-102 5A","5A","large",4175.76
"79",8,10,"LCOR-157","LC-102 5A","5A","large",3931.92
"80",15,52,"LCOR-576","LC-102 5A","5A","small",2377.44
"81",7,25,"LCOR-160","LC-102 5A","5A","large",4145.28
"82",4,22,"LCOR-165","LC-102 5A","5A","large",2895.6
"83",7,19,"LCOR-585","LC-102 5A","5A","large",2407.92
"84",2,9,"LCOR-581","LC-102 5A","5A","large",4846.32
"85",5,53,"LCOR-580","LC-102 5A","5A","small",2255.52
"86",4,4,"LCOR-249","LC-102 5A","5A","large",2895.6
"87",14,8,"LCOR-167","LC-102 5A","5A","large",5273.04
"88",2,16,"LCOR-247","LC-102 5A","5A","large",3596.64
"89",4,52,"LCOR-246","LC-102 5A","5A","small",2499.36
"90",9,12,"LCOR-588","LC-102 5A","5A","large",3413.76
"91",3,20,"LCOR-242","LC-102 5A","5A","large",3535.68
"92",14,13,"LCOR-156","LC-102 5A","5A","large",3627.12
"93",9,49,"LCOR-586","LC-102 5A","5A","small",2499.36
"94",2,11,"LCOR-164","LC-102 5A","5A","large",3688.08
"95",8,5,"LCOR-575","LC-102 5A","5A","large",5273.04
"96",14,10,"LCOR-039","LC-102 5C","5C","large",3474.72
"97",10,12,"LCOR-561","LC-102 5C","5C","large",3749.04
"98",15,17,"LCOR-271","LC-102 5C","5C","large",3749.04
"99",2,28,"LCOR-276","LC-102 5C","5C","large",2316.48
"100",9,14,"LCOR-269","LC-102 5C","5C","large",3901.44
"101",11,12,"LCOR-035","LC-102 5C","5C","large",3718.56
"102",3,8,"LCOR-036","LC-102 5C","5C","large",5212.08
"103",6,26,"LCOR-278","LC-102 5C","5C","large",3505.2
"104",6,49,"LCOR-029","LC-102 5C","5C","small",2910.84
"105",14,11,"LCOR-040","LC-102 5C","5C","large",2895.6
"106",9,16,"LCOR-280","LC-102 5C","5C","large",3261.36
"107",14,51,"LCOR-567","LC-102 5C","5C","small",2712.72
"108",6,46,"LCOR-032","LC-102 5C","5C","small",3703.32
"109",15,8,"LCOR-274","LC-102 5C","5C","large",3078.48
"110",6,14,"LCOR-031","LC-102 5C","5C","large",3596.64
"111",13,18,"LCOR-572","LC-102 5C","5C","large",3383.28
"112",6,53,"LCOR-566","LC-102 5C","5C","small",2529.84
"113",3,54,"LCOR-038","LC-102 5C","5C","small",2255.52
"114",11,4,"LCOR-268","LC-102 5C","5C","large",3870.96
"115",14,14,"LCOR-091","LC-102 8-9D","8-9D","large",3992.88
"116",11,23,"LCOR-090","LC-102 8-9D","8-9D","large",4297.68
"117",9,23,"LCOR-291","LC-102 8-9D","8-9D","large",3200.4
"118",6,48,"LCOR-412","LC-102 8-9D","8-9D","small",2895.6
"119",3,28,"LCOR-086","LC-102 8-9D","8-9D","large",2255.52
"120",12,13,"LCOR-088","LC-102 8-9D","8-9D","large",3566.16
"121",2,21,"LCOR-098","LC-102 8-9D","8-9D","large",2956.56
"122",14,23,"LCOR-290","LC-102 8-9D","8-9D","large",4084.32
"123",2,26,"LCOR-293","LC-102 8-9D","8-9D","large",3870.96
"124",12,10,"LCOR-286","LC-102 8-9D","8-9D","large",3413.76
"125",10,5,"LCOR-092","LC-102 8-9D","8-9D","large",3322.32
"126",14,50,"LCOR-417","LC-102 8-9D","8-9D","small",2240.28
"127",10,26,"LCOR-095","LC-102 8-9D","8-9D","large",2529.84
"128",4,53,"LCOR-407","LC-102 8-9D","8-9D","small",2103.12
"129",7,10,"LCOR-420","LC-102 8-9D","8-9D","large",3901.44
"130",15,51,"LCOR-413","LC-102 8-9D","8-9D","small",2407.92
"131",11,28,"LCOR-096","LC-102 8-9D","8-9D","large",3078.48
"132",3,53,"LCOR-288","LC-102 8-9D","8-9D","small",2880.36
"133",5,18,"LCOR-085","LC-102 8-9D","8-9D","large",3444.24
"134",10,23,"LCOR-207","CT717 3","CT3","large",3566.16
"135",6,45,"LCOR-494","CT717 3","CT3","small",1828.8
"136",9,5,"LCOR-346","CT717 3","CT3","large",3840.48
"137",5,22,"LCOR-209","CT717 3","CT3","large",3505.2
"138",15,10,"LCOR-203","CT717 3","CT3","large",3474.72
"139",15,7,"LCOR-198","CT717 3","CT3","large",2773.68
"140",4,21,"LCOR-350","CT717 3","CT3","large",3078.48
"141",13,50,"LCOR-210","CT717 3","CT3","small",2606.04
"142",14,4,"LCOR-201","CT717 3","CT3","large",3749.04
"143",7,27,"LCOR-197","CT717 3","CT3","large",3017.52
"144",7,24,"LCOR-339","CT717 3","CT3","large",3611.88
"145",13,21,"LCOR-495","CT717 3","CT3","large",3992.88
"146",5,19,"LCOR-491","CT717 3","CT3","large",2956.56
"147",6,24,"LCOR-503","CT717 3","CT3","large",2987.04
"148",8,50,"LCOR-501","CT717 3","CT3","small",2651.76
"149",2,50,"LCOR-500","CT717 3","CT3","small",2225.04
"150",15,21,"LCOR-204","CT717 3","CT3","large",3413.76
"151",13,23,"LCOR-202","CT717 3","CT3","large",3596.64
"152",7,46,"LCOR-492","CT717 3","CT3","small",1920.24
