row,column,ID,Top_0,Bottom_0,Top_2,Bottom_2,Top_6,Bottom_6
2,6,LCOR-577,1,1,2,3,4,4
3,6,LCOR-069,1,1,3,4,4,4
4,6,LCOR-043,2,1,3,3,4,4
5,6,LCOR-062,2,2,3,3,4,4
6,6,LCOR-135,2,2,3,4,4,4
7,6,LCOR-003,2,2,3,4,4,4
8,6,LCOR-191,1,1,2,3,4,4
9,6,LCOR-310,2,2,2,3,4,4
10,6,LCOR-251,2,1,3,2,4,4
11,6,LCOR-358,2,1,3,4,4,4
12,6,LCOR-363,2,2,3,3,4,4
13,6,LCOR-355,2,2,3,4,4,4
14,6,LCOR-472,2,2,3,4,4,4
15,6,LCOR-421,2,2,3,3,4,4
16,6,LCOR-1102,,,,,,
1,7,LCOR-1004,,,,,,
2,7,LCOR-177,2,1,3,4,4,4
3,7,LCOR-073,1,1,3,3,4,4
4,7,LCOR-510,1,1,2,3,4,4
5,7,LCOR-474,1,1,3,3,4,4
6,7,LCOR-181,2,1,3,4,4,4
7,7,LCOR-148,2,2,3,4,4,4
8,7,LCOR-400,2,2,3,4,4,4
9,7,LCOR-530,2,2,3,4,4,4
10,7,LCOR-587,,,,,,
11,7,LCOR-005,,,,,,
12,7,LCOR-094,1,1,2,3,4,4
13,7,LCOR-296,2,2,3,4,4,4
14,7,LCOR-265,2,1,3,4,4,4
15,7,LCOR-198,1,1,2,3,4,4
16,7,LCOR-1111,,,,,,
1,8,LCOR-1005,,,,,,
2,8,LCOR-179,2,1,3,4,4,4
3,8,LCOR-036,2,1,3,4,4,4
4,8,LCOR-279,2,1,3,4,4,4
5,8,LCOR-078,1,1,3,3,4,4
6,8,LCOR-582,2,1,3,4,4,4
7,8,LCOR-385,2,1,2,4,4,4
8,8,LCOR-250,2,1,3,4,4,4
9,8,LCOR-034,2,1,3,4,4,4
10,8,LCOR-255,2,2,3,4,4,4
11,8,LCOR-238,2,2,3,4,4,4
12,8,LCOR-254,2,2,3,3,4,4
13,8,LCOR-469,2,2,3,4,4,4
14,8,LCOR-167,2,2,3,4,4,4
15,8,LCOR-274,2,2,3,4,4,4
16,8,LCOR-1114,,,,,,
1,9,LCOR-1006,,,,,,
2,9,LCOR-581,2,2,3,4,4,4
3,9,LCOR-001,2,1,3,3,4,4
4,9,LCOR-342,1,1,3,3,4,4
5,9,LCOR-471,2,1,3,4,4,4
6,9,LCOR-380,2,1,3,4,4,4
7,9,LCOR-076,2,2,3,3,4,4
8,9,LCOR-163,2,1,3,4,4,4
9,9,LCOR-609,2,1,3,3,4,4
10,9,LCOR-217,2,2,3,4,4,4
11,9,LCOR-231,2,2,3,4,4,4
12,9,LCOR-075,2,2,3,3,4,4
13,9,LCOR-504,2,2,3,3,4,4
14,9,LCOR-511,1,1,3,3,4,4
15,9,LCOR-041,2,2,3,4,4,4
16,9,LCOR-1121,,,,,,
1,10,LCOR-1007,,,3,3,,
2,10,LCOR-1029,,,2,3,,
3,10,LCOR-023,2,2,3,4,4,4
4,10,LCOR-020,2,2,3,3,4,4
5,10,LCOR-010,2,2,3,3,4,4
6,10,LCOR-292,1,1,2,3,4,4
7,10,LCOR-420,2,1,2,3,4,4
8,10,LCOR-157,2,1,3,3,4,4
9,10,LCOR-226,2,2,3,4,4,4
10,10,LCOR-263,2,2,3,4,4,4
11,10,LCOR-018,2,2,3,4,4,4
12,10,LCOR-286,2,1,2,3,4,2
13,10,LCOR-133,2,2,3,4,4,4
14,10,LCOR-039,2,2,3,4,4,4
15,10,LCOR-203,2,1,3,3,4,4
16,10,LCOR-1131,,,,,,
1,11,LCOR-1008,,,,,,
2,11,LCOR-164,2,1,3,3,4,4
3,11,LCOR-529,2,1,3,3,4,4
4,11,LCOR-386,2,2,3,4,4,4
5,11,LCOR-028,2,2,3,4,4,4
6,11,LCOR-527,2,2,3,4,4,4
7,11,LCOR-141,2,1,3,4,4,4
8,11,LCOR-150,2,1,3,4,4,4
9,11,LCOR-233,1,1,3,3,4,4
10,11,LCOR-161,2,2,3,3,4,4
11,11,LCOR-019,2,2,3,4,4,4
12,11,LCOR-360,2,2,3,4,4,4
13,11,LCOR-289,1,1,3,3,4,4
14,11,LCOR-040,1,1,3,3,4,4
15,11,LCOR-324,1,1,3,3,4,4
16,11,LCOR-1139,,,,,,
1,12,LCOR-1009,,,,,,
2,12,LCOR-180,2,2,3,4,4,4
3,12,LCOR-403,2,2,3,4,4,4
4,12,LCOR-364,2,1,3,3,4,4
5,12,LCOR-277,1,1,3,3,4,4
6,12,LCOR-115,1,1,2,3,4,4
7,12,LCOR-111,1,1,3,3,4,4
8,12,LCOR-303,2,1,3,4,4,4
9,12,LCOR-588,2,1,3,3,4,4
10,12,LCOR-561,2,1,3,4,4,4
11,12,LCOR-035,2,2,3,4,4,4
