,,,,,,Pre-dawn,,8:00,,10,,12,,,,,,,,14,,16,,18,,,,,,,,,,,,,,,
row,column,ID,event_short,method,treatment,Mpa,FvFm,A(obs),gsw,A(obs),gsw,A(obs),gsw,row,column,ID,event_short,method,treatment,A(obs),gsw,A(obs),gsw,A(obs),gsw,,,,,,,,,,,,,,
2,9,LCOR-581,5A,Li600/MiniPAM,drought,,,,,,,,,2,9,LCOR-581,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
3,9,LCOR-001,4A,Li600/MiniPAM,drought,,,,,,,,,3,9,LCOR-001,4A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
4,9,LCOR-342,CT3,both,drought,,,,,,,,,4,9,LCOR-342,CT3,both,drought,,,,,,,,,,,,,,,,,,,,
7,9,LCOR-076,13-15E,both,drought,,,,,,,,,7,9,LCOR-076,13-15E,both,drought,,,,,,,,,,,,,,,,,,,,
11,9,LCOR-231,4A,Li600/MiniPAM,drought,,,,,,,,,11,9,LCOR-231,4A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
14,9,LCOR-511,16-20,both,control,,,,,,,,,14,9,LCOR-511,16-20,both,control,,,,,,,,,,,,,,,,,,,,
15,9,LCOR-041,5C,both,control,,,,,,,,,15,9,LCOR-041,5C,both,control,,,,,,,,,,,,,,,,,,,,
5,10,LCOR-010,4A,Li600/MiniPAM,drought,,,,,,,,,5,10,LCOR-010,4A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
6,10,LCOR-292,8-9D,Li600/MiniPAM,drought,,,,,,,,,6,10,LCOR-292,8-9D,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
7,10,LCOR-420,8-9D,Li600/MiniPAM,drought,,,,,,,,,7,10,LCOR-420,8-9D,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
12,10,LCOR-286,8-9D,both,control,,,,,,,,,12,10,LCOR-286,8-9D,both,control,,,,,,,,,,,,,,,,,,,,
14,10,LCOR-039,5C,Li600/MiniPAM,drought,,,,,,,,,14,10,LCOR-039,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
9,11,LCOR-233,4A,both,control,,,,,,,,,9,11,LCOR-233,4A,both,control,,,,,,,,,,,,,,,,,,,,
10,11,LCOR-161,5A,both,control,,,,,,,,,10,11,LCOR-161,5A,both,control,,,,,,,,,,,,,,,,,,,,
