"","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","D49","D144","D299","D335","D357","D385","D421","D497"
"12",14,3,"LCOR-253","LC-102 4B","4B","LC-102","transgenic","large",990.6,990.6,990.6,1188.72,1493.52,1905,2636.52,2712.72,6.604,7,7,9.5,12,14,17.5,17.5
"13",15,3,"LCOR-213","LC-102 2H","2H","LC-102","transgenic","large",825.4999999,825.4999999,871.728,1219.2,1554.48,2011.68,2849.88,2895.6,5.588,7,7,9,12,14,19,19
"14",2,4,"LCOR-087","LC-102 8-9D","8-9D","Escape","control","large",1498.6,1555.5,1633.728,1923.288,2316.48,2758.44,3429,3429,9.652,11,11,14.1,17.5,19,22.5,23
"15",3,4,"LCOR-308","LC-102 13-15E","13-15E","LC-102","transgenic","large",1384.3,1601.25,1615.44,1923.288,2346.96,2865.12,3550.92,3566.16,9.906,11,12,14.1,18,20,24,24
"16",4,4,"LCOR-249","LC-102 5A","5A","LC-102","transgenic","large",952.5,1067.5,1067.5,1280.16,1645.92,2072.64,2849.88,2895.6,5.842,6,7,9.5,12,14,18,19
"17",5,4,"LCOR-244","LC-102 5A","5A","LC-102","transgenic","large",533.4,1189.5,1189.5,1189.5,1189.5,1189.5,1950.72,2042.16,3.048,4,4,4,7,8,11.5,12
"18",6,4,"LCOR-607","LC-102 13-15E","13-15E","LC-102","transgenic","large",419.1,1555.5,1555.5,1555.5,1555.5,1555.5,2148.84,2286,2.286,3,3,4.1,6,8,14,15
"19",7,4,"LCOR-396","LC-102 1C","1C","LC-102","transgenic","large",952.5,952.5,1139.952,1414.272,1798.32,2286,3185.16,3291.84,6.604,8,8,11.1,14,16,21,23
"20",9,4,"LCOR-054","LC-102 1","1","LC-102","transgenic","large",1447.8,1447.8,1780.032,2075.688,2560.32,3108.96,3931.92,4145.28,9.906,12,12,15.8,19,22,28,29
"21",11,4,"LCOR-268","LC-102 5C","5C","LC-102","transgenic","large",1397,1397,1648.968,2011.68,2438.4,2926.08,3764.28,3870.96,9.144,11,11,15,18,20,24.5,24.5
"22",13,4,"LCOR-107","LC-102 16-20","16-20","Escape","control","large",1041.4,1041.4,1103.376,1405.128,1798.32,2255.52,3124.2,3230.88,7.366,7.366,8,10.1,14,17,21,23
"23",14,4,"LCOR-201","CT717 3","CT3","Control","control","large",1498.6,1555.5,1682.496,1987.296,2377.44,2956.56,3688.08,3749.04,10.922,12,12,15.2,19,22,25,25
"24",15,4,"LCOR-211","LC-102 2H","2H","LC-102","transgenic","large",1409.7,1586,1624.584,1950.72,2346.96,2773.68,3459.48,3505.2,9.652,11,11,14.9,18,20,24,24
"25",1,5,"LCOR-082","LC-102 13-15E","13-15E","LC-102","transgenic","large",1117.6,1189.5,1207.008,1524,1905,2346.96,3169.92,3230.88,6.858,8,8,10.1,14.5,16,21.5,21.5
"26",2,5,"LCOR-344","CT717 3","CT3","Control","control","large",1117.6,1220,1264.92,1584.96,2011.68,2545.08,3322.32,3596.64,7.62,10,10,13,15,18,23,23
"27",3,5,"LCOR-070","LC-102 2H","2H","LC-102","transgenic","large",1435.1,1435.1,1453.896,1539.24,2042.16,2499.36,3230.88,3291.84,9.144,10,10,12.2,15,15,20.5,23
"28",4,5,"LCOR-282","LC-102 8-9D","8-9D","Escape","control","large",1409.7,1494.5,1539.24,1889.76,2316.48,2834.64,3550.92,3596.64,9.144,10,11,14.9,19,20,24,24
"29",5,5,"LCOR-027","LC-102 4B","4B","LC-102","transgenic","large",1320.8,1342,1399.032,1706.88,2164.08,2697.48,3566.16,3627.12,8.382,9,10,13.1,17,20,24,24
"30",6,5,"LCOR-573","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1403,1463.04,1798.32,2225.04,2682.24,3596.64,3810,8.636,11,11,13.1,17.5,19,24,24
"31",7,5,"LCOR-068","LC-102 2H","2H","LC-102","transgenic","large",1295.4,1418.25,1508.76,1859.28,2316.48,2895.6,3611.88,3688.08,8.128,10,10,14,18,21,24,24
"32",8,5,"LCOR-575","LC-102 5A","5A","LC-102","transgenic","large",1612.9,2196,2279.904,2667,3230.88,3947.16,5044.44,5273.04,12.446,16,17,23,30,35,40,40
"33",9,5,"LCOR-346","CT717 3","CT3","Control","control","large",1155.7,1342,1392.936,1828.8,2255.52,2834.64,3688.08,3840.48,9.652,12,12,15.9,19,22,26,26
"34",10,5,"LCOR-092","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1346.2,1346.2,1645.92,2011.68,2849.88,3291.84,3322.32,8.636,9,9,12,15.5,18,23,23
"35",11,5,"LCOR-142","LC-102 7","7","LC-102","transgenic","large",965.2000001,1037,1037,1310.64,1676.4,2057.4,2910.84,2987.04,6.096,7,7,10.9,12.5,15,19,20
"36",12,5,"LCOR-563","LC-102 5C","5C","LC-102","transgenic","large",1231.9,1250.5,1286.256,1554.48,2011.68,2529.84,3413.76,3535.68,7.366,7.366,8,12.1,14,17,21,22
"37",14,5,"LCOR-314","LC-102 16-20","16-20","Escape","control","large",1333.5,1433.5,1490.472,1798.32,2240.28,2788.92,3596.64,3749.04,8.89,10,10,14.1,17.5,21,25,25
"38",15,5,"LCOR-042","LC-102 5C","5C","LC-102","transgenic","large",1320.8,1433.5,1487.424,1822.704,2225.04,2773.68,3474.72,3505.2,8.89,10,10,15,18,19,23,23
"39",2,6,"LCOR-577","LC-102 5A","5A","LC-102","transgenic","large",736.6000001,762.5,798.576,1103.376,1584.96,2103.12,3017.52,3078.48,4.572,5,6,9.5,11,14,20,21
"40",3,6,"LCOR-069","LC-102 2H","2H","LC-102","transgenic","large",1498.6,1555.5,1594.104,1950.72,2316.48,2773.68,3566.16,3749.04,9.144,11,11,14,18,21,24,25
"41",4,6,"LCOR-043","LC-102 1","1","LC-102","transgenic","large",1409.7,1464,1539.24,1889.76,2316.48,2819.4,3383.28,3474.72,8.89,10,10,15.9,17,19,21,22
"42",5,6,"LCOR-062","LC-102 2H","2H","LC-102","transgenic","large",990.6,1067.5,1088.136,1432.56,1767.84,2255.52,3078.48,3108.96,8.636,10,10,12,14,16,20,21
"43",6,6,"LCOR-135","LC-102 5","5","LC-102","transgenic","large",1168.4,1372.5,1429.512,1706.88,2133.6,2727.96,3657.6,3779.52,9.906,11,11,13.2,16,19,24.5,25
"44",7,6,"LCOR-003","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1557.528,1920.24,2316.48,2865.12,3779.52,3962.4,9.652,11,11,15,18.5,21,26,26
"45",8,6,"LCOR-191","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,960.75,1005.84,1341.12,1767.84,2179.32,2926.08,3078.48,5.842,6,6,10.3,12,14,18.5,19
"46",9,6,"LCOR-310","LC-102 16-20","16-20","Escape","control","large",1092.2,1159,1194.816,1493.52,1767.84,2194.56,2880.36,2895.6,9.906,12,12,14,15,16,19,20
"47",10,6,"LCOR-251","LC-102 5A","5A","LC-102","transgenic","large",1676.4,2135,2215.896,2529.84,2926.08,3459.48,4328.16,4480.56,13.97,16,16,19,22,24,29.5,30
"48",11,6,"LCOR-358","LC-102 1","1","LC-102","transgenic","large",1447.8,1647,1752.6,2072.64,2651.76,3429,4434.84,4632.96,9.652,12,12,16.1,22,26,33,34
"49",12,6,"LCOR-363","LC-102 1","1","LC-102","transgenic","large",1206.5,1206.5,1206.5,1206.5,1356.36,1615.44,2225.04,2225.04,7.366,9,9,9,9,9,14.5,15
"50",13,6,"LCOR-355","LC-102 1","1","LC-102","transgenic","large",1155.7,1220,1313.688,1645.92,2072.64,2560.32,3307.08,3413.76,7.366,9,9,13,19,19,20,21
"51",14,6,"LCOR-472","LC-102 13-15B","13-15B","LC-102","transgenic","large",1689.1,1921.5,1990.344,2261.616,2682.24,3185.16,3794.76,4053.84,12.7,14,14,17,20,22,24,26
"52",15,6,"LCOR-421","LC-102 4B","4B","LC-102","transgenic","large",1016,1250.5,1338.072,1709.928,2164.08,2651.76,3276.6,3291.84,8.636,10,10,14,18,20,21.5,22
"53",2,7,"LCOR-177","LC-102 1C","1C","LC-102","transgenic","large",1409.7,1616.5,1697.736,2066.544,2987.04,3215.64,4236.72,4511.04,9.144,11,11,14.5,21,24,31,32
"54",3,7,"LCOR-073","LC-102 13-15E","13-15E","LC-102","transgenic","large",1524,1555.5,1609.344,1956.816,3459.48,3459.48,3535.68,3749.04,10.16,11,11,15,19,22,24,25
"55",4,7,"LCOR-510","LC-102 16-20","16-20","Escape","control","large",1003.3,1067.5,1106.424,1435.608,2865.12,2865.12,3108.96,3169.92,8.382,8.382,8.382,10.6,13,16,19,19
"56",5,7,"LCOR-474","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,976,990.6,1341.12,2179.32,2225.04,3078.48,3169.92,8.128,9,9,11,14,16,21,22
"57",6,7,"LCOR-181","LC-102 1C","1C","LC-102","transgenic","large",1422.4,1586,1633.728,1920.24,2926.08,2926.08,3596.64,3688.08,9.398,10,10,13,15.5,19,24,26
"58",7,7,"LCOR-148","LC-102 7","7","LC-102","transgenic","large",1346.2,1433.5,1499.616,1767.84,2575.56,2773.68,3749.04,3962.4,8.382,10,10,13,16,19,25,27
"59",8,7,"LCOR-400","LC-102 1C","1C","LC-102","transgenic","large",1600.2,1814.75,1877.568,2206.752,2407.92,3261.36,4023.36,4267.2,11.684,12,13,17.5,21,25,26.5,29
"60",9,7,"LCOR-530","LC-102 5","5","LC-102","transgenic","large",1422.4,1494.5,1563.624,1932.432,3078.48,3078.48,4023.36,4206.24,10.414,11,12,16,19,22,28,30
"61",12,7,"LCOR-094","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1464,1481.328,1828.8,2316.48,2651.76,3489.96,3596.64,8.89,10,10,13.9,16,19,23,24
"62",13,7,"LCOR-296","LC-102 13-15E","13-15E","LC-102","transgenic","large",1701.8,1860.5,1905,1905,1905,3169.92,3855.72,3931.92,12.7,14,14,18.5,22.5,25,28,29
"63",14,7,"LCOR-265","LC-102 4B","4B","LC-102","transgenic","large",1270,1311.5,1414.272,1716.024,2468.88,2682.24,3505.2,3779.52,8.128,9,10,13.5,17,20,23,24
"64",15,7,"LCOR-198","CT717 3","CT3","Control","control","large",1028.7,1098,1130.808,1411.224,1874.52,2179.32,2773.68,2773.68,6.35,8,9,11,13.5,15,17,18
"65",2,8,"LCOR-179","LC-102 1C","1C","LC-102","transgenic","large",1473.2,1860.5,1984.248,2410.968,2987.04,3718.56,4632.96,4907.28,11.176,14,15,20.5,25,31,35,36
"66",3,8,"LCOR-036","LC-102 5C","5C","LC-102","transgenic","large",1752.6,2424.75,2514.6,2895.6,3459.48,4160.52,4968.24,5212.08,14.478,18,19,24,33,37,40,40
"67",4,8,"LCOR-279","LC-102 5C","5C","LC-102","transgenic","large",1549.4,2013,2084.832,2423.16,2865.12,3566.16,4358.64,4511.04,10.922,14,16,20,27,31,34,35
"68",5,8,"LCOR-078","LC-102 13-15E","13-15E","LC-102","transgenic","large",1346.2,1433.5,1469.136,1737.36,2179.32,2712.72,3535.68,3566.16,8.636,10,10,14,17,19,23.5,34
"69",6,8,"LCOR-582","LC-102 5A","5A","LC-102","transgenic","large",1511.3,1921.5,1984.248,2392.68,2926.08,3642.36,4572,4815.84,11.176,13,14,19.1,24,28,32.5,34
"70",7,8,"LCOR-385","LC-102 7","7","LC-102","transgenic","large",1447.8,1677.5,1773.936,2100.072,2575.56,3185.16,4023.36,4328.16,9.398,11,12,16.9,22,25,29,30
"71",8,8,"LCOR-250","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1555.5,1615.44,2392.68,2407.92,3032.76,4008.12,4236.72,8.128,11,12,19.1,21,24,29,30
"72",9,8,"LCOR-034","LC-102 5C","5C","LC-102","transgenic","large",1663.7,2226.5,2273.808,2606.04,3078.48,3535.68,4312.92,4572,12.954,16,16,21.5,28,30,34,36
"73",10,8,"LCOR-255","LC-102 4B","4B","LC-102","transgenic","large",1473.2,1708,1819.656,2209.8,2773.68,3398.52,4069.08,4206.24,10.414,12,13,18,24,27,29,29
"74",11,8,"LCOR-238","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1551.432,1920.24,2392.68,2926.08,3566.16,3596.64,10.922,12,13,15.5,19,22,25,25
"75",12,8,"LCOR-254","LC-102 4B","4B","LC-102","transgenic","large",1549.4,1616.5,1652.016,1956.816,2316.48,2819.4,3550.92,3550.92,9.652,11,11,15,18,21,25,25
"76",13,8,"LCOR-469","LC-102 13-15B","13-15B","LC-102","transgenic","large",1130.3,1130.3,1130.3,1316.736,1600.2,1950.72,2712.72,3688.08,6.858,7,8,9.1,11,12,17,35
"77",14,8,"LCOR-167","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1563.624,1990.344,2468.88,3017.52,3627.12,5273.04,9.144,11,12,16.2,21,23,25,38
"78",15,8,"LCOR-274","LC-102 5C","5C","LC-102","transgenic","large",1168.4,1168.4,1203.96,1508.76,1874.52,2407.92,3078.48,3078.48,7.366,7.366,8,11,13,16,20,20
"79",2,9,"LCOR-581","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1542.288,1895.856,2407.92,3246.12,4419.6,4846.32,7.62,10,11,15,27.5,28,37.5,42
"80",3,9,"LCOR-001","LC-102 4A","4A","LC-102","transgenic","large",1752.6,2165.5,2279.904,2590.8,3154.68,3779.52,4754.88,4968.24,11.938,15,15,21,30,34,38,38
"81",4,9,"LCOR-342","CT717 3","CT3","Control","control","large",1422.4,1586,1645.92,1981.2,2468.88,3093.72,3931.92,4053.84,10.668,11,13,18.5,23,24,29,29
"82",5,9,"LCOR-471","LC-102 13-15B","13-15B","LC-102","transgenic","large",1562.1,1906.25,1975.104,2383.536,2834.64,3550.92,4450.08,4572,10.922,14,14,20,25,29,33.5,35
"83",6,9,"LCOR-380","LC-102 7","7","LC-102","transgenic","large",1625.6,2043.5,2130.552,2484.12,2987.04,3642.36,4419.6,4632.96,11.938,15,16,20,24,27,31,32
"84",7,9,"LCOR-076","LC-102 13-15E","13-15E","LC-102","transgenic","large",1041.4,1387.75,1472.184,1780.032,2255.52,2895.6,3810,3931.92,7.366,10,11,15.2,20,22,27.5,27.5
"85",8,9,"LCOR-163","LC-102 5A","5A","LC-102","transgenic","large",1524,1982.5,2048.256,2423.16,2895.6,3535.68,4480.56,4754.88,10.414,14,15,19.1,26,29,33,34
"86",10,9,"LCOR-217","LC-102 2H","2H","LC-102","transgenic","large",1422.4,1738.5,1789.176,2054.352,2590.8,2956.56,3825.24,3931.92,10.668,12,13,16.5,20,23,28,30
"87",11,9,"LCOR-231","LC-102 4A","4A","LC-102","transgenic","large",1320.8,1631.75,1691.64,1990.344,2407.92,2926.08,3779.52,3931.92,10.414,11,13,16,20,22,27.5,28
"88",12,9,"LCOR-075","LC-102 13-15E","13-15E","LC-102","transgenic","large",571.5,571.5,591.312,975.36,1188.72,1524,2255.52,2346.96,3.81,5,5,8,8,9,14,14
"89",13,9,"LCOR-504","CT717 3","CT3","Control","control","large",876.3,884.5,923.544,1280.16,1615.44,2011.68,2773.68,2865.12,5.08,6,7,9,11.5,14,18,19
"90",14,9,"LCOR-511","LC-102 16-20","16-20","Escape","control","large",1358.9,1358.9,1395.984,1716.024,2103.12,2651.76,3352.8,3413.76,8.128,9,10,12.1,16,18,23,23
"91",15,9,"LCOR-041","LC-102 5C","5C","LC-102","transgenic","large",1244.6,1555.5,1603.248,1926.336,2407.92,3063.24,3733.8,3733.8,8.382,10,11,15.9,21,22,26,28
"92",3,10,"LCOR-023","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1677.5,1746.504,2109.216,2560.32,3124.2,3810,3901.44,9.398,12,12,17,23,25,29.5,30
"93",4,10,"LCOR-020","LC-102 4B","4B","LC-102","transgenic","large",787.3999999,960.75,1008.888,1322.832,1737.36,2148.84,2987.04,3078.48,5.08,6,8,9.9,14,15,25,25
"94",5,10,"LCOR-010","LC-102 4A","4A","LC-102","transgenic","large",1168.4,1342,1423.416,1740.408,2286,2621.28,3505.2,3566.16,7.874,10,10,13,17,19,23,23
"95",6,10,"LCOR-292","LC-102 8-9D","8-9D","Escape","control","large",1219.2,1433.5,1478.28,1804.416,2164.08,2636.52,3383.28,3566.16,7.874,9,10,13,17,19,22,23
"96",7,10,"LCOR-420","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1616.5,1676.4,2008.632,2438.4,2987.04,3794.76,3901.44,9.398,11,11,15.5,20,22,26,26
"97",8,10,"LCOR-157","LC-102 5A","5A","LC-102","transgenic","large",1600.2,1708,1770.888,1950.72,2331.72,2926.08,3779.52,3931.92,10.668,11,13,13,17,20,26.5,28
"98",10,10,"LCOR-263","LC-102 4B","4B","LC-102","transgenic","large",1574.8,1769,1769,2109.216,2468.88,2910.84,3749.04,3810,10.668,12,12,16,19,21,26,26
"99",11,10,"LCOR-018","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1647,1709.928,2103.12,2575.56,3108.96,3931.92,4114.8,10.414,12,13,13,21,23,27,28
"100",12,10,"LCOR-286","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1433.5,1466.088,1770.888,2225.04,2682.24,3383.28,3413.76,8.636,11,11,12.2,16,17,21,22
"101",13,10,"LCOR-133","LC-102 5","5","LC-102","transgenic","large",939.7999999,939.7999999,981.456,1347.216,1737.36,2194.56,2773.68,3017.52,4.318,6,7,10.5,13,14,18,20
"102",14,10,"LCOR-039","LC-102 5C","5C","LC-102","transgenic","large",1295.4,1342,1356.36,1615.44,1950.72,2453.64,3276.6,3474.72,9.144,9.144,10,12.6,16,18,24,25
"103",15,10,"LCOR-203","CT717 3","CT3","Control","control","large",1219.2,1281,1353.312,1652.016,2087.88,2621.28,3383.28,3474.72,8.128,9,9,13,17,19,22.5,23
"104",2,11,"LCOR-164","LC-102 5A","5A","LC-102","transgenic","large",1320.8,1372.5,1435.608,1652.016,2164.08,2514.6,3535.68,3688.08,9.144,10,10,14,17,19,24,25
"105",3,11,"LCOR-529","LC-102 5","5","LC-102","transgenic","large",1498.6,1769,1798.32,2075.688,2438.4,2941.32,3718.56,3870.96,10.16,11,12,16,19,21,24,25
"106",4,11,"LCOR-386","LC-102 7","7","LC-102","transgenic","large",1231.9,1372.5,1417.32,1737.36,2133.6,2727.96,3520.44,3520.44,8.128,9,9,13,16,18,23,23
"107",5,11,"LCOR-028","LC-102 4B","4B","LC-102","transgenic","large",1244.6,1433.5,1496.568,1780.032,2072.64,2468.88,3246.12,3383.28,8.89,10,10,14,17,19,19,25
"108",6,11,"LCOR-527","LC-102 5","5","LC-102","transgenic","large",1625.6,1982.5,2045.208,2112.264,2910.84,3535.68,4297.68,4328.16,11.684,13,13,19,24,27,30,30
"109",8,11,"LCOR-150","LC-102 7","7","LC-102","transgenic","large",1422.4,1647,1709.928,2042.16,2529.84,3017.52,3901.44,3992.88,9.144,10,11,15,19,21,25,26
"110",9,11,"LCOR-233","LC-102 4A","4A","LC-102","transgenic","large",1219.2,1433.5,1478.28,1844.04,2194.56,2773.68,3520.44,3596.64,9.906,11,11,15.1,17,21,26,26
"111",10,11,"LCOR-161","LC-102 5A","5A","LC-102","transgenic","large",1270,1296.25,1338.072,1597.152,1981.2,2545.08,3352.8,3444.24,7.874,8,8,12.1,14,16,20,22
"112",11,11,"LCOR-019","LC-102 4B","4B","LC-102","transgenic","large",762,793,856.488,1136.904,1508.76,1965.96,2804.16,2895.6,6.604,7,7,9.2,12,13,18,19
"113",12,11,"LCOR-360","LC-102 1","1","LC-102","transgenic","large",1193.8,1387.75,1444.752,1749.552,2179.32,2667,3413.76,3535.68,8.89,10,10,14,18,20,24,24
"114",13,11,"LCOR-289","LC-102 8-9D","8-9D","Escape","control","large",1447.8,1525,1584.96,1828.8,2164.08,2560.32,3230.88,3931.92,9.398,11,11,14,18,19,23,24
"115",14,11,"LCOR-040","LC-102 5C","5C","LC-102","transgenic","large",1016,1037,1100.328,1322.832,1645.92,2026.92,2788.92,2895.6,6.858,8,8,10.1,11,11,17,18
"116",2,12,"LCOR-180","LC-102 1C","1C","LC-102","transgenic","large",1295.4,1372.5,1435.608,1712.976,2164.08,2590.8,3398.52,3398.52,8.382,9,9,13,16,19,24,25
"117",3,12,"LCOR-403","LC-102 1C","1C","LC-102","transgenic","large",1358.9,1494.5,1572.768,1618.488,2407.92,2926.08,3380.232,3718.56,9.398,10,11,15,19,22,24,26
"118",4,12,"LCOR-364","LC-102 1","1","LC-102","transgenic","large",1003.3,1250.5,1304.544,1682.496,2179.32,2727.96,3474.72,3566.16,7.62,9,9,13.1,18,19,24,24
"119",5,12,"LCOR-277","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1647,1706.88,2106.168,2621.28,3230.88,3840.48,3840.48,8.89,12,12,17,23,25,28,28
"120",7,12,"LCOR-111","LC-102 16-20","16-20","Escape","control","large",1473.2,1738.5,1780.032,2103.12,2499.36,3002.28,3688.08,3779.52,10.668,12,12,16.5,20,23,26,27
"121",8,12,"LCOR-303","LC-102 13-15E","13-15E","LC-102","transgenic","large",1511.3,1555.5,1603.248,1892.808,2286,2743.2,3444.24,3505.2,10.16,11,11,13.5,17,18,22,23
"122",9,12,"LCOR-588","LC-102 5A","5A","LC-102","transgenic","large",1358.9,1448.75,1496.568,1804.416,2255.52,2697.48,3307.08,3413.76,8.636,9,9,13.1,16,18,20,21
"123",10,12,"LCOR-561","LC-102 5C","5C","LC-102","transgenic","large",1447.8,1616.5,1630.68,1932.432,2331.72,2880.36,3657.6,3749.04,10.16,11,11,15,18,20,23,23
"124",11,12,"LCOR-035","LC-102 5C","5C","LC-102","transgenic","large",1384.3,1738.5,1792.224,2084.832,2423.16,2941.32,3596.64,3718.56,9.906,11,12,16,19,21,24,25
"125",12,12,"LCOR-241","LC-102 5A","5A","LC-102","transgenic","large",1384.3,1525,1525,2042.16,2286,2834.64,3566.16,3688.08,8.89,10,10,14.5,18,21,24,25
"126",13,12,"LCOR-218","LC-102 2H","2H","LC-102","transgenic","large",1524,1524,1524,1716.024,2133.6,2667,3291.84,3352.8,12.7,13,13,16,20,22,23.5,24
"127",14,12,"LCOR-002","LC-102 4A","4A","LC-102","transgenic","large",711.1999999,793,847.344,1136.904,1478.28,1767.84,2407.92,2529.84,5.842,6,6,9,12,12,15,16
"128",15,12,"LCOR-026","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1647,1761.744,2112.264,2560.32,3124.2,3779.52,3870.96,8.89,11,12,16,20,23,25,27
"129",2,13,"LCOR-066","LC-102 2H","2H","LC-102","transgenic","large",1041.4,1250.5,1353.312,1627.632,1981.2,2316.48,2941.32,2941.32,6.858,8,9,11,14,16,18,18
"130",3,13,"LCOR-423","LC-102 4B","4B","LC-102","transgenic","large",1219.2,1296.25,1478.28,1627.632,2087.88,2545.08,3108.96,3108.96,8.128,9,11,12,16,17,19,19
"131",4,13,"LCOR-200","CT717 3","CT3","Control","control","large",1320.8,1418.25,1551.432,1828.8,2255.52,2819.4,3474.72,3505.2,9.144,10,10,14,18,19,23,24
"132",6,13,"LCOR-137","LC-102 5","5","LC-102","transgenic","large",1270,1494.5,1725.168,1828.8,2148.84,2651.76,3444.24,3444.24,9.652,10,12,13.5,16,17,22,22
"133",7,13,"LCOR-338","CT717 3","CT3","Control","control","large",1409.7,1662.25,1662.25,2023.872,2438.4,2910.84,3581.4,3627.12,9.906,12,12,15.5,20,24,27,27
"134",8,13,"LCOR-544","LC-102 4A","4A","LC-102","transgenic","large",1041.4,1128.5,1770.888,1770.888,1770.888,2133.6,2941.32,2987.04,11.938,11.938,12,12,15,15,19,20
"135",9,13,"LCOR-320","LC-102 16-20","16-20","Escape","control","large",1524,1753.75,1753.75,2112.264,2468.88,2987.04,3596.64,3596.64,11.176,12,13,16,20,22,25,25
"136",10,13,"LCOR-077","LC-102 13-15E","13-15E","LC-102","transgenic","large",1270,1555.5,1555.5,1987.296,2453.64,3063.24,3901.44,3992.88,11.43,12,12,16.5,20,23,27,27
"137",12,13,"LCOR-088","LC-102 8-9D","8-9D","Escape","control","large",1206.5,1372.5,1834.896,1834.896,2194.56,2682.24,3520.44,3566.16,9.906,11,12,14,17,19,22,28
"138",13,13,"LCOR-030","LC-102 5C","5C","LC-102","transgenic","large",1587.5,1799.5,1799.5,2225.04,2621.28,3154.68,3520.44,3931.92,11.938,12,12,15,20,23,26,26
"139",14,13,"LCOR-156","LC-102 5A","5A","LC-102","transgenic","large",1346.2,1346.2,1463.04,1463.04,2026.92,2575.56,3474.72,3627.12,8.636,9,9,12,15,17,23,25
"140",15,13,"LCOR-051","LC-102 1","1","LC-102","transgenic","large",1155.7,1403,1530.096,1746.504,2103.12,2514.6,3261.36,3291.84,7.62,9,10,13,15,17,21,21
"141",2,14,"LCOR-060","LC-102 2H","2H","LC-102","transgenic","large",1295.4,1342,1368.552,1624.584,1981.2,2423.16,3017.52,3017.52,8.382,9,9,12.1,14,16,19.5,20
"142",3,14,"LCOR-604","LC-102 13-15E","13-15E","LC-102","transgenic","large",1536.7,1860.5,1908.048,2258.568,2743.2,3322.32,4145.28,4480.56,10.414,12,13,19,23,26,30,34
"143",4,14,"LCOR-368","LC-102 5","5","LC-102","transgenic","large",1104.9,1128.5,1146.048,1469.136,1889.76,2423.16,3596.64,3596.64,6.35,6.35,7,10.5,12.5,16,20,21
"144",5,14,"LCOR-046","LC-102 1","1","LC-102","transgenic","large",1282.7,1464,1508.76,1859.28,2255.52,2773.68,3596.64,3718.56,9.652,10,10,13.5,17,20,24,26
