Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
15,14,LCOR-264,19.8,10.07,,
16,14,LCOR-1206,,,,
1,15,LCOR-116,16.2,8.12,,
2,15,LCOR-486,27.2,13.67,,
3,15,LCOR-174,,,,dead
4,15,LCOR-357,26.7,12.12,,12.21
5,15,LCOR-473,26.1,11.75,,
6,15,LCOR-525,33.5,14.53,,
7,15,LCOR-437,29.9,14.15,,
8,15,LCOR-550,25.5,12.92,,13.02
9,15,LCOR-307,20.1,9.25,,
10,15,LCOR-449,28.1,13.31,,
11,15,LCOR-507,29.5,13.2,,
12,15,LCOR-154,32,14.5,,
13,15,LCOR-562,27,13.13,,
14,15,LCOR-334,28.9,12.93,,
15,15,LCOR-393,24.9,12.35,,
16,15,LCOR-1070,,,,
1,16,LCOR-442,20.9,10.12,,
2,16,LCOR-247,25,11.91,,
3,16,LCOR-611,19.1,9.31,,
4,16,LCOR-327,22,11.25,,
5,16,LCOR-528,22.1,8.42,,
6,16,LCOR-072,20,9.22,,
7,16,LCOR-610,21,10.42,,
8,16,LCOR-516,15,7.59,,7.59
9,16,LCOR-280,21.5,11.15,,
10,16,LCOR-033,21.5,10.16,,
11,16,LCOR-331,19,10.16,,
12,16,LCOR-372,21.6,11.77,,
13,16,LCOR-105,16.2,8.56,,8.67
14,16,LCOR-352,23.3,12.03,,
15,16,LCOR-614,19,9.93,,
16,16,LCOR-1035,,,,
1,17,LCOR-376,23.1,11.35,,
2,17,LCOR-016,21,10.61,,
3,17,LCOR-132,25,12.21,,
4,17,LCOR-574,24,12.3,,
5,17,LCOR-079,19.5,9.39,,
6,17,LCOR-458,23.8,11.52,,
7,17,LCOR-411,28,12.17,,
8,17,LCOR-394,29.6,13.73,,
9,17,LCOR-275,23.1,10.8,,
10,17,LCOR-601,22,10.95,,
11,17,LCOR-252,17.9,9.05,,
12,17,LCOR-134,23.1,10.39,,
13,17,LCOR-502,23.1,10.92,,
14,17,LCOR-481,22.1,10.82,,
15,17,LCOR-271,26.2,17.68,,
16,17,LCOR-1062,,,,
1,18,LCOR-377,25.5,17.1,,
2,18,LCOR-058,22.9,10.61,,
3,18,LCOR-052,18.1,9.43,,
4,18,LCOR-475,24.1,11.57,,
5,18,LCOR-085,22,11.5,,11.52
6,18,LCOR-351,22.9,10.55,,10.72
7,18,LCOR-053,,,,dead
8,18,LCOR-302,,,,dead
9,18,LCOR-1069,,,,
10,18,LCOR-306,26.6,11.92,,
11,18,LCOR-392,25,11.65,,
12,18,LCOR-243,30,13.89,,
13,18,LCOR-572,22.2,11.35,,
14,18,LCOR-463,22.9,11.35,,
15,18,LCOR-260,25,12.5,,
16,18,LCOR-1077,,,,
1,19,LCOR-548,19,8.19,,
2,19,LCOR-057,,,,dead
3,19,LCOR-406,17,8.6,,
4,19,LCOR-089,21,10.46,,
5,19,LCOR-491,20,9.6,,
6,19,LCOR-121,25,11.83,,
7,19,LCOR-585,20.1,8.15,,
8,19,LCOR-554,25.5,12.39,,
9,19,LCOR-152,28.9,12.61,,
10,19,LCOR-558,20,10.61,,
11,19,LCOR-138,20,9.69,,
12,19,LCOR-383,18.1,9.05,,
13,19,LCOR-568,19,9.49,,
14,19,LCOR-080,15,8.12,,
15,19,LCOR-391,24.4,11.4,,
16,19,LCOR-1086,,,,
1,20,LCOR-553,22.9,10.9,,
2,20,LCOR-162,25.63,17.65,,
3,20,LCOR-242,24.58,11.67,,
4,20,LCOR-330,23.97,10.05,,10.09
5,20,LCOR-166,25.58,11.42,,
6,20,LCOR-512,22.12,10.21,,
7,20,LCOR-059,28.03,13.05,,
8,20,LCOR-101,26.85,13.22,,
9,20,LCOR-067,24.51,11.81,,
10,20,LCOR-1100,,,,
11,20,LCOR-103,20.66,10.92,,10.94
12,20,LCOR-230,27.41,12.55,,
13,20,LCOR-534,24.37,11.87,,
14,20,LCOR-261,24.35,12.21,,
15,20,LCOR-493,20.36,10.44,,
16,20,LCOR-1087,,,,
1,21,LCOR-468,19.55,9.37,,
2,21,LCOR-098,23.47,9.86,,
3,21,LCOR-482,26.66,10.82,,
4,21,LCOR-350,24.61,9.98,,
5,21,LCOR-129,24.27,11.51,,
6,21,LCOR-012,29.29,13.01,,
7,21,LCOR-248,27.61,12.89,,
8,21,LCOR-476,23.55,10.77,,
9,21,LCOR-584,24.66,11.98,,
10,21,LCOR-518,23.23,11.99,,
11,21,LCOR-450,22.47,10.78,,
12,21,LCOR-017,28.01,12.15,,
13,21,LCOR-495,28.63,13.38,,
14,21,LCOR-144,22.98,11.28,,
15,21,LCOR-204,23.08,11.43,,
16,21,LCOR-1142,,,,
1,22,LCOR-470,16.54,8.16,,
2,22,LCOR-616,19.78,9.89,,
3,22,LCOR-245,12.29,7.25,,
4,22,LCOR-165,20.29,9.63,,
5,22,LCOR-209,25.57,11.75,,
6,22,LCOR-340,19.14,8.32,,
7,22,LCOR-326,25.35,11.91,,
8,22,LCOR-149,18.44,9.82,,
9,22,LCOR-1015,,,,
10,22,LCOR-169,22.56,11.34,,
11,22,LCOR-063,24.37,12.45,,
12,22,LCOR-483,25.88,12.25,,
13,22,LCOR-514,25.62,11.27,,
14,22,LCOR-266,26.02,2.66,,
15,22,LCOR-122,21.42,11.15,,
16,22,LCOR-1148,,,,
1,23,LCOR-485,31.49,12.63,,
2,23,LCOR-398,19.75,9.25,,
3,23,LCOR-171,15.87,8.79,,
4,23,LCOR-422,23.26,11.05,,
5,23,LCOR-319,16.7,9.49,,
6,23,LCOR-106,22.45,9.88,,
7,23,LCOR-445,26.52,12.21,,
8,23,LCOR-401,20.45,9.75,,
9,23,LCOR-291,23.59,10.64,,
10,23,LCOR-207,22.77,11.87,,
11,23,LCOR-090,32.94,14.15,,
12,23,LCOR-015,24.29,11.73,,
13,23,LCOR-202,27,12.34,,
14,23,LCOR-290,27.43,13.45,,
15,23,LCOR-333,21.47,9.76,,
16,23,LCOR-1155,,,,
1,24,LCOR-489,21.88,10.31,,
2,24,LCOR-178,23.2,11.67,,
3,24,LCOR-367,20.33,10.61,,
4,24,LCOR-608,22.87,11.08,,
