row,column,ID,Caliper,DBH,Height
13,28,LCOR-559,32.21,24.01,15.4
15,28,LCOR-083,25.15,18.43,12.3
1,29,LCOR-024,29.26,19.73,11.8
2,29,LCOR-557,28.8,21.5,13.7
3,29,LCOR-297,17.36,8.99,8.1
4,29,LCOR-381,15.77,8.77,7.9
5,29,LCOR-382,22.04,15.09,11.2
6,29,LCOR-185,28.58,19.99,12.8
7,29,LCOR-044,24.33,16.33,11.5
9,29,LCOR-127,33.07,24.14,14.5
1,30,LCOR-424,22.34,10.12,8.8
3,30,LCOR-583,22.3,13.43,10.4
4,30,LCOR-093,24.03,16.18,11.3
5,30,LCOR-281,20.9,12.95,9.8
3,45,LCOR-316,18.8,7.38,6.9
4,45,LCOR-100,18.67,10.19,8.9
5,45,LCOR-304,9.84,1.84,5.3
6,45,LCOR-494,17.57,8.98,8.1
7,45,LCOR-439,23.81,14.23,10.5
8,45,LCOR-378,30.72,20.27,14
11,45,LCOR-371,38.04,24.58,15.8
12,45,LCOR-234,35.13,22.31,16.2
13,45,LCOR-461,42.67,27.71,16.7
14,45,LCOR-519,34.7,25.37,16.3
2,46,LCOR-112,13.05,2.65,5.4
3,46,LCOR-190,26.58,16.63,10.7
4,46,LCOR-313,15.5,6.175,6.9
5,46,LCOR-446,25.87,16.75,11.7
6,46,LCOR-032,50.66,40.03,17.7
7,46,LCOR-492,20.78,11.79,9.5
8,46,LCOR-311,29.02,16.08,11.7
9,46,LCOR-523,24.53,15.36,11.2
10,46,LCOR-432,31.94,21.11,13.9
11,46,LCOR-025,44.47,29.42,18.2
13,46,LCOR-102,43.76,26.5,16.8
14,46,LCOR-155,39.22,24.62,16.1
15,46,LCOR-490,16.88,10.26,9
2,47,LCOR-374,31.72,17.86,10.9
3,47,LCOR-521,14.56,6.78,7.1
4,47,LCOR-232,34.8,22.85,14.5
5,47,LCOR-315,56.87,34.62,17.1
6,47,LCOR-419,37.62,25.94,16.9
7,47,LCOR-365,29.37,19.88,13
8,47,LCOR-480,20.64,11.6,10.2
9,47,LCOR-433,34.48,23.8,14.3
10,47,LCOR-453,24.91,14.11,11.4
11,47,LCOR-223,10.37,1.78,4.8
13,47,LCOR-216,22.56,13.22,10.9
14,47,LCOR-159,31.56,21.74,14.9
15,47,LCOR-426,18.72,11.15,8.9
3,48,LCOR-505,59.24,35.91,15.1
4,48,LCOR-153,40.85,30.33,16.7
6,48,LCOR-412,37.7,20.91,14.1
7,48,LCOR-509,30.4,19.62,13.3
8,48,LCOR-549,26.33,17.81,12.6
9,48,LCOR-466,12.41,4.25,6.6
10,48,LCOR-547,10.5,3.94,6.1
12,48,LCOR-464,31,22.04,13.9
13,48,LCOR-555,8.94,1.96,5.4
14,48,LCOR-189,19.63,10.22,8.7
