row,column,ID,event,event_short,construct,construct2,block
4,6,LCOR-043,LC-102 1,1,LC-102,transgenic,large
5,6,LCOR-062,LC-102 2H,2H,LC-102,transgenic,large
6,6,LCOR-135,LC-102 5,5,LC-102,transgenic,large
7,6,LCOR-003,LC-102 4A,4A,LC-102,transgenic,large
8,6,LCOR-191,LC-102 13-15B,13-15B,LC-102,transgenic,large
9,6,LCOR-310,LC-102 16-20,16-20,Escape,control,large
10,6,LCOR-251,LC-102 5A,5A,LC-102,transgenic,large
11,6,LCOR-358,LC-102 1,1,LC-102,transgenic,large
12,6,LCOR-363,LC-102 1,1,LC-102,transgenic,large
13,6,LCOR-355,LC-102 1,1,LC-102,transgenic,large
14,6,LCOR-472,LC-102 13-15B,13-15B,LC-102,transgenic,large
15,6,LCOR-421,LC-102 4B,4B,LC-102,transgenic,large
2,7,LCOR-177,LC-102 1C,1C,LC-102,transgenic,large
3,7,LCOR-073,LC-102 13-15E,13-15E,LC-102,transgenic,large
4,7,LCOR-510,LC-102 16-20,16-20,Escape,control,large
5,7,LCOR-474,LC-102 13-15B,13-15B,LC-102,transgenic,large
6,7,LCOR-181,LC-102 1C,1C,LC-102,transgenic,large
7,7,LCOR-148,LC-102 7,7,LC-102,transgenic,large
8,7,LCOR-400,LC-102 1C,1C,LC-102,transgenic,large
9,7,LCOR-530,LC-102 5,5,LC-102,transgenic,large
12,7,LCOR-094,LC-102 8-9D,8-9D,Escape,control,large
13,7,LCOR-296,LC-102 13-15E,13-15E,LC-102,transgenic,large
14,7,LCOR-265,LC-102 4B,4B,LC-102,transgenic,large
15,7,LCOR-198,CT717 3,CT3,Control,control,large
2,8,LCOR-179,LC-102 1C,1C,LC-102,transgenic,large
3,8,LCOR-036,LC-102 5C,5C,LC-102,transgenic,large
4,8,LCOR-279,LC-102 5C,5C,LC-102,transgenic,large
5,8,LCOR-078,LC-102 13-15E,13-15E,LC-102,transgenic,large
6,8,LCOR-582,LC-102 5A,5A,LC-102,transgenic,large
7,8,LCOR-385,LC-102 7,7,LC-102,transgenic,large
8,8,LCOR-250,LC-102 5A,5A,LC-102,transgenic,large
9,8,LCOR-034,LC-102 5C,5C,LC-102,transgenic,large
10,8,LCOR-255,LC-102 4B,4B,LC-102,transgenic,large
11,8,LCOR-238,LC-102 4A,4A,LC-102,transgenic,large
12,8,LCOR-254,LC-102 4B,4B,LC-102,transgenic,large
13,8,LCOR-469,LC-102 13-15B,13-15B,LC-102,transgenic,large
14,8,LCOR-167,LC-102 5A,5A,LC-102,transgenic,large
15,8,LCOR-274,LC-102 5C,5C,LC-102,transgenic,large
2,9,LCOR-581,LC-102 5A,5A,LC-102,transgenic,large
3,9,LCOR-001,LC-102 4A,4A,LC-102,transgenic,large
4,9,LCOR-342,CT717 3,CT3,Control,control,large
5,9,LCOR-471,LC-102 13-15B,13-15B,LC-102,transgenic,large
6,9,LCOR-380,LC-102 7,7,LC-102,transgenic,large
7,9,LCOR-076,LC-102 13-15E,13-15E,LC-102,transgenic,large
8,9,LCOR-163,LC-102 5A,5A,LC-102,transgenic,large
10,9,LCOR-217,LC-102 2H,2H,LC-102,transgenic,large
11,9,LCOR-231,LC-102 4A,4A,LC-102,transgenic,large
12,9,LCOR-075,LC-102 13-15E,13-15E,LC-102,transgenic,large
13,9,LCOR-504,CT717 3,CT3,Control,control,large
14,9,LCOR-511,LC-102 16-20,16-20,Escape,control,large
15,9,LCOR-041,LC-102 5C,5C,LC-102,transgenic,large
3,10,LCOR-023,LC-102 4B,4B,LC-102,transgenic,large
4,10,LCOR-020,LC-102 4B,4B,LC-102,transgenic,large
5,10,LCOR-010,LC-102 4A,4A,LC-102,transgenic,large
6,10,LCOR-292,LC-102 8-9D,8-9D,Escape,control,large
7,10,LCOR-420,LC-102 8-9D,8-9D,Escape,control,large
8,10,LCOR-157,LC-102 5A,5A,LC-102,transgenic,large
10,10,LCOR-263,LC-102 4B,4B,LC-102,transgenic,large
11,10,LCOR-018,LC-102 4B,4B,LC-102,transgenic,large
12,10,LCOR-286,LC-102 8-9D,8-9D,Escape,control,large
13,10,LCOR-133,LC-102 5,5,LC-102,transgenic,large
14,10,LCOR-039,LC-102 5C,5C,LC-102,transgenic,large
15,10,LCOR-203,CT717 3,CT3,Control,control,large
2,11,LCOR-164,LC-102 5A,5A,LC-102,transgenic,large
3,11,LCOR-529,LC-102 5,5,LC-102,transgenic,large
4,11,LCOR-386,LC-102 7,7,LC-102,transgenic,large
5,11,LCOR-028,LC-102 4B,4B,LC-102,transgenic,large
6,11,LCOR-527,LC-102 5,5,LC-102,transgenic,large
8,11,LCOR-150,LC-102 7,7,LC-102,transgenic,large
9,11,LCOR-233,LC-102 4A,4A,LC-102,transgenic,large
10,11,LCOR-161,LC-102 5A,5A,LC-102,transgenic,large
11,11,LCOR-019,LC-102 4B,4B,LC-102,transgenic,large
12,11,LCOR-360,LC-102 1,1,LC-102,transgenic,large
13,11,LCOR-289,LC-102 8-9D,8-9D,Escape,control,large
14,11,LCOR-040,LC-102 5C,5C,LC-102,transgenic,large
2,12,LCOR-180,LC-102 1C,1C,LC-102,transgenic,large
3,12,LCOR-403,LC-102 1C,1C,LC-102,transgenic,large
4,12,LCOR-364,LC-102 1,1,LC-102,transgenic,large
5,12,LCOR-277,LC-102 5C,5C,LC-102,transgenic,large
7,12,LCOR-111,LC-102 16-20,16-20,Escape,control,large
8,12,LCOR-303,LC-102 13-15E,13-15E,LC-102,transgenic,large
9,12,LCOR-588,LC-102 5A,5A,LC-102,transgenic,large
10,12,LCOR-561,LC-102 5C,5C,LC-102,transgenic,large
11,12,LCOR-035,LC-102 5C,5C,LC-102,transgenic,large
12,12,LCOR-241,LC-102 5A,5A,LC-102,transgenic,large
13,12,LCOR-218,LC-102 2H,2H,LC-102,transgenic,large
14,12,LCOR-002,LC-102 4A,4A,LC-102,transgenic,large
15,12,LCOR-026,LC-102 4B,4B,LC-102,transgenic,large
2,13,LCOR-066,LC-102 2H,2H,LC-102,transgenic,large
3,13,LCOR-423,LC-102 4B,4B,LC-102,transgenic,large
4,13,LCOR-200,CT717 3,CT3,Control,control,large
6,13,LCOR-137,LC-102 5,5,LC-102,transgenic,large
7,13,LCOR-338,CT717 3,CT3,Control,control,large
8,13,LCOR-544,LC-102 4A,4A,LC-102,transgenic,large
9,13,LCOR-320,LC-102 16-20,16-20,Escape,control,large
10,13,LCOR-077,LC-102 13-15E,13-15E,LC-102,transgenic,large
12,13,LCOR-088,LC-102 8-9D,8-9D,Escape,control,large
13,13,LCOR-030,LC-102 5C,5C,LC-102,transgenic,large
14,13,LCOR-156,LC-102 5A,5A,LC-102,transgenic,large
15,13,LCOR-051,LC-102 1,1,LC-102,transgenic,large
2,14,LCOR-060,LC-102 2H,2H,LC-102,transgenic,large
3,14,LCOR-604,LC-102 13-15E,13-15E,LC-102,transgenic,large
4,14,LCOR-368,LC-102 5,5,LC-102,transgenic,large
5,14,LCOR-046,LC-102 1,1,LC-102,transgenic,large
6,14,LCOR-031,LC-102 5C,5C,LC-102,transgenic,large
7,14,LCOR-347,CT717 3,CT3,Control,control,large
8,14,LCOR-176,LC-102 1C,1C,LC-102,transgenic,large
9,14,LCOR-269,LC-102 5C,5C,LC-102,transgenic,large
10,14,LCOR-147,LC-102 7,7,LC-102,transgenic,large
11,14,LCOR-257,LC-102 4B,4B,LC-102,transgenic,large
12,14,LCOR-256,LC-102 4B,4B,LC-102,transgenic,large
13,14,LCOR-014,LC-102 4A,4A,LC-102,transgenic,large
14,14,LCOR-091,LC-102 8-9D,8-9D,Escape,control,large
15,14,LCOR-264,LC-102 4B,4B,LC-102,transgenic,large
2,15,LCOR-486,LC-102 1C,1C,LC-102,transgenic,large
4,15,LCOR-357,LC-102 1,1,LC-102,transgenic,large
5,15,LCOR-473,LC-102 13-15B,13-15B,LC-102,transgenic,large
6,15,LCOR-525,LC-102 5,5,LC-102,transgenic,large
7,15,LCOR-437,LC-102 1,1,LC-102,transgenic,large
8,15,LCOR-550,LC-102 7,7,LC-102,transgenic,large
9,15,LCOR-307,LC-102 13-15E,13-15E,LC-102,transgenic,large
10,15,LCOR-449,LC-102 2H,2H,LC-102,transgenic,large
11,15,LCOR-507,LC-102 16-20,16-20,Escape,control,large
12,15,LCOR-154,LC-102 7,7,LC-102,transgenic,large
13,15,LCOR-562,LC-102 5C,5C,LC-102,transgenic,large
15,15,LCOR-393,LC-102 1C,1C,LC-102,transgenic,large
2,16,LCOR-247,LC-102 5A,5A,LC-102,transgenic,large
3,16,LCOR-611,LC-102 13-15E,13-15E,LC-102,transgenic,large
5,16,LCOR-528,LC-102 5,5,LC-102,transgenic,large
6,16,LCOR-072,LC-102 13-15E,13-15E,LC-102,transgenic,large
7,16,LCOR-610,LC-102 13-15E,13-15E,LC-102,transgenic,large
8,16,LCOR-516,LC-102 16-20,16-20,Escape,control,large
9,16,LCOR-280,LC-102 5C,5C,LC-102,transgenic,large
10,16,LCOR-033,LC-102 5C,5C,LC-102,transgenic,large
12,16,LCOR-372,LC-102 5,5,LC-102,transgenic,large
13,16,LCOR-105,LC-102 16-20,16-20,Escape,control,large
14,16,LCOR-352,LC-102 1,1,LC-102,transgenic,large
15,16,LCOR-614,LC-102 13-15E,13-15E,LC-102,transgenic,large
2,17,LCOR-016,LC-102 4B,4B,LC-102,transgenic,large
3,17,LCOR-132,LC-102 5,5,LC-102,transgenic,large
4,17,LCOR-574,LC-102 5C,5C,LC-102,transgenic,large
5,17,LCOR-079,LC-102 13-15E,13-15E,LC-102,transgenic,large
6,17,LCOR-458,LC-102 2H,2H,LC-102,transgenic,large
7,17,LCOR-411,LC-102 8-9D,8-9D,Escape,control,large
8,17,LCOR-394,LC-102 1C,1C,LC-102,transgenic,large
9,17,LCOR-275,LC-102 5C,5C,LC-102,transgenic,large
12,17,LCOR-134,LC-102 5,5,LC-102,transgenic,large
13,17,LCOR-502,CT717 3,CT3,Control,control,large
14,17,LCOR-481,LC-102 1C,1C,LC-102,transgenic,large
15,17,LCOR-271,LC-102 5C,5C,LC-102,transgenic,large
2,18,LCOR-058,LC-102 2H,2H,LC-102,transgenic,large
3,18,LCOR-052,LC-102 1,1,LC-102,transgenic,large
4,18,LCOR-475,LC-102 13-15B,13-15B,LC-102,transgenic,large
5,18,LCOR-085,LC-102 8-9D,8-9D,Escape,control,large
6,18,LCOR-351,LC-102 1,1,LC-102,transgenic,large
10,18,LCOR-306,LC-102 13-15E,13-15E,LC-102,transgenic,large
11,18,LCOR-392,LC-102 7,7,LC-102,transgenic,large
12,18,LCOR-243,LC-102 5A,5A,LC-102,transgenic,large
13,18,LCOR-572,LC-102 5C,5C,LC-102,transgenic,large
14,18,LCOR-463,LC-102 13-15B,13-15B,LC-102,transgenic,large
15,18,LCOR-260,LC-102 4B,4B,LC-102,transgenic,large
3,19,LCOR-406,LC-102 1C,1C,LC-102,transgenic,large
4,19,LCOR-089,LC-102 8-9D,8-9D,Escape,control,large
5,19,LCOR-491,CT717 3,CT3,Control,control,large
7,19,LCOR-585,LC-102 5A,5A,LC-102,transgenic,large
8,19,LCOR-554,LC-102 7,7,LC-102,transgenic,large
9,19,LCOR-152,LC-102 7,7,LC-102,transgenic,large
10,19,LCOR-558,LC-102 7,7,LC-102,transgenic,large
11,19,LCOR-138,LC-102 5,5,LC-102,transgenic,large
12,19,LCOR-383,LC-102 7,7,LC-102,transgenic,large
13,19,LCOR-568,LC-102 5C,5C,LC-102,transgenic,large
14,19,LCOR-080,LC-102 13-15E,13-15E,LC-102,transgenic,large
15,19,LCOR-391,LC-102 7,7,LC-102,transgenic,large
2,20,LCOR-162,LC-102 5A,5A,LC-102,transgenic,large
3,20,LCOR-242,LC-102 5A,5A,LC-102,transgenic,large
5,20,LCOR-166,LC-102 5A,5A,LC-102,transgenic,large
7,20,LCOR-059,LC-102 2H,2H,LC-102,transgenic,large
8,20,LCOR-101,LC-102 16-20,16-20,Escape,control,large
9,20,LCOR-067,LC-102 2H,2H,LC-102,transgenic,large
11,20,LCOR-103,LC-102 16-20,16-20,Escape,control,large
12,20,LCOR-230,LC-102 4A,4A,LC-102,transgenic,large
13,20,LCOR-534,LC-102 4A,4A,LC-102,transgenic,large
14,20,LCOR-261,LC-102 4B,4B,LC-102,transgenic,large
15,20,LCOR-493,CT717 3,CT3,Control,control,large
2,21,LCOR-098,LC-102 8-9D,8-9D,Escape,control,large
3,21,LCOR-482,LC-102 1C,1C,LC-102,transgenic,large
4,21,LCOR-350,CT717 3,CT3,Control,control,large
5,21,LCOR-129,LC-102 5,5,LC-102,transgenic,large
6,21,LCOR-012,LC-102 4A,4A,LC-102,transgenic,large
7,21,LCOR-248,LC-102 5A,5A,LC-102,transgenic,large
8,21,LCOR-476,LC-102 13-15B,13-15B,LC-102,transgenic,large
9,21,LCOR-584,LC-102 5A,5A,LC-102,transgenic,large
10,21,LCOR-518,LC-102 16-20,16-20,Escape,control,large
11,21,LCOR-450,LC-102 2H,2H,LC-102,transgenic,large
12,21,LCOR-017,LC-102 4B,4B,LC-102,transgenic,large
13,21,LCOR-495,CT717 3,CT3,Control,control,large
14,21,LCOR-144,LC-102 7,7,LC-102,transgenic,large
15,21,LCOR-204,CT717 3,CT3,Control,control,large
2,22,LCOR-616,LC-102 13-15E,13-15E,LC-102,transgenic,large
3,22,LCOR-245,LC-102 5A,5A,LC-102,transgenic,large
4,22,LCOR-165,LC-102 5A,5A,LC-102,transgenic,large
5,22,LCOR-209,CT717 3,CT3,Control,control,large
6,22,LCOR-340,CT717 3,CT3,Control,control,large
8,22,LCOR-149,LC-102 7,7,LC-102,transgenic,large
10,22,LCOR-169,LC-102 1C,1C,LC-102,transgenic,large
11,22,LCOR-063,LC-102 2H,2H,LC-102,transgenic,large
12,22,LCOR-483,LC-102 1C,1C,LC-102,transgenic,large
13,22,LCOR-514,LC-102 16-20,16-20,Escape,control,large
14,22,LCOR-266,LC-102 4B,4B,LC-102,transgenic,large
2,23,LCOR-398,LC-102 1C,1C,LC-102,transgenic,large
3,23,LCOR-171,LC-102 1C,1C,LC-102,transgenic,large
4,23,LCOR-422,LC-102 4B,4B,LC-102,transgenic,large
5,23,LCOR-319,LC-102 16-20,16-20,Escape,control,large
6,23,LCOR-106,LC-102 16-20,16-20,Escape,control,large
7,23,LCOR-445,LC-102 1,1,LC-102,transgenic,large
8,23,LCOR-401,LC-102 1C,1C,LC-102,transgenic,large
9,23,LCOR-291,LC-102 8-9D,8-9D,Escape,control,large
10,23,LCOR-207,CT717 3,CT3,Control,control,large
11,23,LCOR-090,LC-102 8-9D,8-9D,Escape,control,large
12,23,LCOR-015,LC-102 4B,4B,LC-102,transgenic,large
13,23,LCOR-202,CT717 3,CT3,Control,control,large
14,23,LCOR-290,LC-102 8-9D,8-9D,Escape,control,large
2,24,LCOR-178,LC-102 1C,1C,LC-102,transgenic,large
3,24,LCOR-367,LC-102 5,5,LC-102,transgenic,large
4,24,LCOR-608,LC-102 13-15E,13-15E,LC-102,transgenic,large
5,24,LCOR-229,LC-102 4A,4A,LC-102,transgenic,large
6,24,LCOR-503,CT717 3,CT3,Control,control,large
7,24,LCOR-339,CT717 3,CT3,Control,control,large
8,24,LCOR-348,CT717 3,CT3,Control,control,large
9,24,LCOR-182,LC-102 1C,1C,LC-102,transgenic,large
10,24,LCOR-546,LC-102 4A,4A,LC-102,transgenic,large
11,24,LCOR-212,LC-102 2H,2H,LC-102,transgenic,large
12,24,LCOR-404,LC-102 1C,1C,LC-102,transgenic,large
13,24,LCOR-084,LC-102 13-15E,13-15E,LC-102,transgenic,large
14,24,LCOR-309,LC-102 16-20,16-20,Escape,control,large
15,24,LCOR-318,LC-102 16-20,16-20,Escape,control,large
2,25,LCOR-192,LC-102 13-15B,13-15B,LC-102,transgenic,large
3,25,LCOR-130,LC-102 5,5,LC-102,transgenic,large
4,25,LCOR-606,LC-102 13-15E,13-15E,LC-102,transgenic,large
5,25,LCOR-022,LC-102 4B,4B,LC-102,transgenic,large
6,25,LCOR-434,LC-102 4B,4B,LC-102,transgenic,large
7,25,LCOR-160,LC-102 5A,5A,LC-102,transgenic,large
8,25,LCOR-199,CT717 3,CT3,Control,control,large
9,25,LCOR-506,LC-102 16-20,16-20,Escape,control,large
10,25,LCOR-049,LC-102 1,1,LC-102,transgenic,large
11,25,LCOR-065,LC-102 2H,2H,LC-102,transgenic,large
12,25,LCOR-055,LC-102 1,1,LC-102,transgenic,large
13,25,LCOR-448,LC-102 1,1,LC-102,transgenic,large
14,25,LCOR-379,LC-102 7,7,LC-102,transgenic,large
15,25,LCOR-301,LC-102 13-15E,13-15E,LC-102,transgenic,large
2,26,LCOR-293,LC-102 8-9D,8-9D,Escape,control,large
3,26,LCOR-605,LC-102 13-15E,13-15E,LC-102,transgenic,large
4,26,LCOR-170,LC-102 1C,1C,LC-102,transgenic,large
5,26,LCOR-487,LC-102 1C,1C,LC-102,transgenic,large
6,26,LCOR-278,LC-102 5C,5C,LC-102,transgenic,large
7,26,LCOR-613,LC-102 13-15E,13-15E,LC-102,transgenic,large
8,26,LCOR-300,LC-102 13-15E,13-15E,LC-102,transgenic,large
9,26,LCOR-341,CT717 3,CT3,Control,control,large
10,26,LCOR-095,LC-102 8-9D,8-9D,Escape,control,large
11,26,LCOR-361,LC-102 1,1,LC-102,transgenic,large
12,26,LCOR-387,LC-102 7,7,LC-102,transgenic,large
13,26,LCOR-356,LC-102 1,1,LC-102,transgenic,large
14,26,LCOR-484,LC-102 1C,1C,LC-102,transgenic,large
15,26,LCOR-508,LC-102 16-20,16-20,Escape,control,large
2,27,LCOR-441,LC-102 1,1,LC-102,transgenic,large
4,27,LCOR-399,LC-102 1C,1C,LC-102,transgenic,large
7,27,LCOR-197,CT717 3,CT3,Control,control,large
8,27,LCOR-373,LC-102 5,5,LC-102,transgenic,large
9,27,LCOR-206,CT717 3,CT3,Control,control,large
10,27,LCOR-322,LC-102 16-20,16-20,Escape,control,large
11,27,LCOR-048,LC-102 1,1,LC-102,transgenic,large
12,27,LCOR-175,LC-102 1C,1C,LC-102,transgenic,large
13,27,LCOR-295,LC-102 13-15E,13-15E,LC-102,transgenic,large
14,27,LCOR-388,LC-102 7,7,LC-102,transgenic,large
15,27,LCOR-429,LC-102 4B,4B,LC-102,transgenic,large
2,28,LCOR-276,LC-102 5C,5C,LC-102,transgenic,large
3,28,LCOR-086,LC-102 8-9D,8-9D,Escape,control,large
4,28,LCOR-425,LC-102 4B,4B,LC-102,transgenic,large
6,28,LCOR-227,LC-102 4A,4A,LC-102,transgenic,large
8,28,LCOR-128,LC-102 5,5,LC-102,transgenic,large
9,28,LCOR-551,LC-102 7,7,LC-102,transgenic,large
10,28,LCOR-337,CT717 3,CT3,Control,control,large
11,28,LCOR-096,LC-102 8-9D,8-9D,Escape,control,large
12,28,LCOR-405,LC-102 1C,1C,LC-102,transgenic,large
13,28,LCOR-559,LC-102 7,7,LC-102,transgenic,large
15,28,LCOR-083,LC-102 13-15E,13-15E,LC-102,transgenic,large
2,29,LCOR-557,LC-102 7,7,LC-102,transgenic,large
3,29,LCOR-297,LC-102 13-15E,13-15E,LC-102,transgenic,large
4,29,LCOR-381,LC-102 7,7,LC-102,transgenic,large
5,29,LCOR-382,LC-102 7,7,LC-102,transgenic,large
6,29,LCOR-185,LC-102 13-15B,13-15B,LC-102,transgenic,large
7,29,LCOR-044,LC-102 1,1,LC-102,transgenic,large
9,29,LCOR-127,LC-102 5,5,LC-102,transgenic,large
3,45,LCOR-316,LC-102 16-20,16-20,Escape,control,small
4,45,LCOR-100,LC-102 16-20,16-20,Escape,control,small
5,45,LCOR-304,LC-102 13-15E,13-15E,LC-102,transgenic,small
6,45,LCOR-494,CT717 3,CT3,Control,control,small
7,45,LCOR-439,LC-102 1,1,LC-102,transgenic,small
8,45,LCOR-378,LC-102 5,5,LC-102,transgenic,small
11,45,LCOR-371,LC-102 5,5,LC-102,transgenic,small
12,45,LCOR-234,LC-102 4A,4A,LC-102,transgenic,small
13,45,LCOR-461,LC-102 2H,2H,LC-102,transgenic,small
14,45,LCOR-519,LC-102 5,5,LC-102,transgenic,small
2,46,LCOR-112,LC-102 16-20,16-20,Escape,control,small
3,46,LCOR-190,LC-102 13-15B,13-15B,LC-102,transgenic,small
4,46,LCOR-313,LC-102 16-20,16-20,Escape,control,small
5,46,LCOR-446,LC-102 1,1,LC-102,transgenic,small
6,46,LCOR-032,LC-102 5C,5C,LC-102,transgenic,small
7,46,LCOR-492,CT717 3,CT3,Control,control,small
8,46,LCOR-311,LC-102 16-20,16-20,Escape,control,small
9,46,LCOR-523,LC-102 5,5,LC-102,transgenic,small
10,46,LCOR-432,LC-102 4B,4B,LC-102,transgenic,small
11,46,LCOR-025,LC-102 4B,4B,LC-102,transgenic,small
13,46,LCOR-102,LC-102 16-20,16-20,Escape,control,small
14,46,LCOR-155,LC-102 5A,5A,LC-102,transgenic,small
15,46,LCOR-490,LC-102 1C,1C,LC-102,transgenic,small
2,47,LCOR-374,LC-102 5,5,LC-102,transgenic,small
3,47,LCOR-521,LC-102 5,5,LC-102,transgenic,small
4,47,LCOR-232,LC-102 4A,4A,LC-102,transgenic,small
5,47,LCOR-315,LC-102 16-20,16-20,Escape,control,small
6,47,LCOR-419,LC-102 8-9D,8-9D,Escape,control,small
7,47,LCOR-365,LC-102 5,5,LC-102,transgenic,small
8,47,LCOR-480,LC-102 1C,1C,LC-102,transgenic,small
9,47,LCOR-433,LC-102 4B,4B,LC-102,transgenic,small
10,47,LCOR-453,LC-102 2H,2H,LC-102,transgenic,small
11,47,LCOR-223,LC-102 2H,2H,LC-102,transgenic,small
13,47,LCOR-216,LC-102 2H,2H,LC-102,transgenic,small
14,47,LCOR-159,LC-102 5A,5A,LC-102,transgenic,small
15,47,LCOR-426,LC-102 4B,4B,LC-102,transgenic,small
3,48,LCOR-505,LC-102 16-20,16-20,Escape,control,small
4,48,LCOR-153,LC-102 7,7,LC-102,transgenic,small
6,48,LCOR-412,LC-102 8-9D,8-9D,Escape,control,small
7,48,LCOR-509,LC-102 16-20,16-20,Escape,control,small
8,48,LCOR-549,LC-102 7,7,LC-102,transgenic,small
9,48,LCOR-466,LC-102 13-15B,13-15B,LC-102,transgenic,small
10,48,LCOR-547,LC-102 7,7,LC-102,transgenic,small
12,48,LCOR-464,LC-102 13-15B,13-15B,LC-102,transgenic,small
13,48,LCOR-555,LC-102 7,7,LC-102,transgenic,small
14,48,LCOR-189,LC-102 13-15B,13-15B,LC-102,transgenic,small
15,48,LCOR-447,LC-102 1,1,LC-102,transgenic,small
3,49,LCOR-270,LC-102 5C,5C,LC-102,transgenic,small
6,49,LCOR-029,LC-102 5C,5C,LC-102,transgenic,small
7,49,LCOR-056,LC-102 1,1,LC-102,transgenic,small
8,49,LCOR-578,LC-102 5A,5A,LC-102,transgenic,small
9,49,LCOR-586,LC-102 5A,5A,LC-102,transgenic,small
10,49,LCOR-531,LC-102 5,5,LC-102,transgenic,small
11,49,LCOR-477,LC-102 1C,1C,LC-102,transgenic,small
12,49,LCOR-460,LC-102 2H,2H,LC-102,transgenic,small
13,49,LCOR-615,LC-102 13-15E,13-15E,LC-102,transgenic,small
15,49,LCOR-456,LC-102 2H,2H,LC-102,transgenic,small
2,50,LCOR-500,CT717 3,CT3,Control,control,small
4,50,LCOR-375,LC-102 5,5,LC-102,transgenic,small
5,50,LCOR-208,CT717 3,CT3,Control,control,small
6,50,LCOR-457,LC-102 2H,2H,LC-102,transgenic,small
7,50,LCOR-440,LC-102 1,1,LC-102,transgenic,small
8,50,LCOR-501,CT717 3,CT3,Control,control,small
10,50,LCOR-262,LC-102 4B,4B,LC-102,transgenic,small
11,50,LCOR-172,LC-102 1C,1C,LC-102,transgenic,small
12,50,LCOR-081,LC-102 13-15E,13-15E,LC-102,transgenic,small
13,50,LCOR-210,CT717 3,CT3,Control,control,small
14,50,LCOR-417,LC-102 8-9D,8-9D,Escape,control,small
15,50,LCOR-390,LC-102 7,7,LC-102,transgenic,small
4,51,LCOR-219,LC-102 2H,2H,LC-102,transgenic,small
5,51,LCOR-532,LC-102 5,5,LC-102,transgenic,small
6,51,LCOR-431,LC-102 4B,4B,LC-102,transgenic,small
7,51,LCOR-479,LC-102 1C,1C,LC-102,transgenic,small
9,51,LCOR-108,LC-102 16-20,16-20,Escape,control,small
10,51,LCOR-312,LC-102 16-20,16-20,Escape,control,small
11,51,LCOR-225,LC-102 4A,4A,LC-102,transgenic,small
13,51,LCOR-478,LC-102 1C,1C,LC-102,transgenic,small
14,51,LCOR-567,LC-102 5C,5C,LC-102,transgenic,small
15,51,LCOR-413,LC-102 8-9D,8-9D,Escape,control,small
3,52,LCOR-389,LC-102 7,7,LC-102,transgenic,small
4,52,LCOR-246,LC-102 5A,5A,LC-102,transgenic,small
6,52,LCOR-430,LC-102 4B,4B,LC-102,transgenic,small
7,52,LCOR-465,LC-102 13-15B,13-15B,LC-102,transgenic,small
9,52,LCOR-183,LC-102 13-15B,13-15B,LC-102,transgenic,small
12,52,LCOR-215,LC-102 2H,2H,LC-102,transgenic,small
13,52,LCOR-187,LC-102 13-15B,13-15B,LC-102,transgenic,small
15,52,LCOR-576,LC-102 5A,5A,LC-102,transgenic,small
