"","X","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","D49","D144","D299","D335","D357","D385","D421","D497","V49","V144","V299","V335","V357","V385","V421","V497","V49_cm","V144_cm","V299_cm","V335_cm","V357_cm","V385_cm","V421_cm","V497_cm","event2"
"11",11,13,3,"LCOR-294","LC-102 8-9D","8-9D","Escape","control","large",1181.1,1181.1,1181.1,1255.776,1341.12,1630.68,2103.12,2103.12,7.366,8,8,8,9,10,14,14,64084.0718316,75590.4,75590.4,80369.664,108630.72,163068,412211.52,412211.52,64.0840718316,75.5904,75.5904,80.369664,108.63072,163.068,412.21152,412.21152,"escape"
"12",12,14,3,"LCOR-253","LC-102 4B","4B","LC-102","transgenic","large",990.6,990.6,990.6,1188.72,1493.52,1905,2636.52,2712.72,6.604,7,7,9.5,12,14,17.5,17.5,43202.8555296,48539.4,48539.4,107281.98,215066.88,373380,807434.25,830770.5,43.2028555296,48.5394,48.5394,107.28198,215.06688,373.38,807.43425,830.7705,"LC-102 4B"
"13",13,15,3,"LCOR-213","LC-102 2H","2H","LC-102","transgenic","large",825.4999999,825.4999999,871.728,1219.2,1554.48,2011.68,2849.88,2895.6,5.588,7,7,9,12,14,19,19,25776.8516688774,40449.4999951,42714.672,98755.2,223845.12,394289.28,1028806.68,1045311.6,25.7768516688774,40.4494999951,42.714672,98.7552,223.84512,394.28928,1028.80668,1045.3116,"LC-102 2H"
"14",14,2,4,"LCOR-087","LC-102 8-9D","8-9D","Escape","control","large",1498.6,1555.5,1633.728,1923.288,2316.48,2758.44,3429,3429,9.652,11,11,14.1,17.5,19,22.5,23,139611.2304544,188215.5,197681.088,382368.88728,709422,995796.84,1735931.25,1813941,139.6112304544,188.2155,197.681088,382.36888728,709.422,995.79684,1735.93125,1813.941,"escape"
"15",15,3,4,"LCOR-308","LC-102 13-15E","13-15E","LC-102","transgenic","large",1384.3,1601.25,1615.44,1923.288,2346.96,2865.12,3550.92,3566.16,9.906,11,12,14.1,18,20,24,24,135839.7476748,193751.25,232623.36,382368.88728,760415.04,1146048,2045329.92,2054108.16,135.8397476748,193.75125,232.62336,382.36888728,760.41504,1146.048,2045.32992,2054.10816,"LC-102 13-15E"
"16",16,4,4,"LCOR-249","LC-102 5A","5A","LC-102","transgenic","large",952.5,1067.5,1067.5,1280.16,1645.92,2072.64,2849.88,2895.6,5.842,6,7,9.5,12,14,18,19,32507.83821,38430,52307.5,115534.44,237012.48,406237.44,923361.12,1045311.6,32.50783821,38.43,52.3075,115.53444,237.01248,406.23744,923.36112,1045.3116,"LC-102 5A"
"17",17,5,4,"LCOR-244","LC-102 5A","5A","LC-102","transgenic","large",533.4,1189.5,1189.5,1189.5,1189.5,1189.5,1950.72,2042.16,3.048,4,4,4,7,8,11.5,12,4955.4481536,19032,19032,19032,58285.5,76128,257982.72,294071.04,4.9554481536,19.032,19.032,19.032,58.2855,76.128,257.98272,294.07104,"LC-102 5A"
"18",18,6,4,"LCOR-607","LC-102 13-15E","13-15E","LC-102","transgenic","large",419.1,1555.5,1555.5,1555.5,1555.5,1555.5,2148.84,2286,2.286,3,3,4.1,6,8,14,15,2190.1311036,13999.5,13999.5,26147.955,55998,99552,421172.64,514350,2.1901311036,13.9995,13.9995,26.147955,55.998,99.552,421.17264,514.35,"LC-102 13-15E"
"19",19,7,4,"LCOR-396","LC-102 1C","1C","LC-102","transgenic","large",952.5,952.5,1139.952,1414.272,1798.32,2286,3185.16,3291.84,6.604,8,8,11.1,14,16,21,23,41541.20724,60960,72956.928,174252.45312,352470.72,585216,1404655.56,1741383.36,41.54120724,60.96,72.956928,174.25245312,352.47072,585.216,1404.65556,1741.38336,"LC-102 1C"
"20",20,9,4,"LCOR-054","LC-102 1","1","LC-102","transgenic","large",1447.8,1447.8,1780.032,2075.688,2560.32,3108.96,3931.92,4145.28,9.906,12,12,15.8,19,22,28,29,142070.9287608,208483.2,256324.608,518174.75232,924275.52,1504736.64,3082625.28,3486180.48,142.0709287608,208.4832,256.324608,518.17475232,924.27552,1504.73664,3082.62528,3486.18048,"LC-102 1"
"21",21,11,4,"LCOR-268","LC-102 5C","5C","LC-102","transgenic","large",1397,1397,1648.968,2011.68,2438.4,2926.08,3764.28,3870.96,9.144,11,11,15,18,20,24.5,24.5,116806.992192,169037,199525.128,452628,790041.6,1170432,2259509.07,2323543.74,116.806992192,169.037,199.525128,452.628,790.0416,1170.432,2259.50907,2323.54374,"LC-102 5C"
"22",22,13,4,"LCOR-107","LC-102 16-20","16-20","Escape","control","large",1041.4,1041.4,1103.376,1405.128,1798.32,2255.52,3124.2,3230.88,7.366,7.366,8,10.1,14,17,21,23,56504.2353784,56504.2353784,70616.064,143337.10728,352470.72,651845.28,1377772.2,1709135.52,56.5042353784,56.5042353784,70.616064,143.33710728,352.47072,651.84528,1377.7722,1709.13552,"escape"
"23",23,14,4,"LCOR-201","CT717 3","CT3","Control","control","large",1498.6,1555.5,1682.496,1987.296,2377.44,2956.56,3688.08,3749.04,10.922,12,12,15.2,19,22,25,25,178768.1198824,223992,242279.424,459144.86784,858255.84,1430975.04,2305050,2343150,178.7681198824,223.992,242.279424,459.14486784,858.25584,1430.97504,2305.05,2343.15,"CT717 3"
"24",24,15,4,"LCOR-211","LC-102 2H","2H","LC-102","transgenic","large",1409.7,1586,1624.584,1950.72,2346.96,2773.68,3459.48,3505.2,9.652,11,11,14.9,18,20,24,24,131329.2083088,191906,196574.664,433079.3472,760415.04,1109472,1992660.48,2018995.2,131.3292083088,191.906,196.574664,433.0793472,760.41504,1109.472,1992.66048,2018.9952,"LC-102 2H"
"25",25,1,5,"LCOR-082","LC-102 13-15E","13-15E","LC-102","transgenic","large",1117.6,1189.5,1207.008,1524,1905,2346.96,3169.92,3230.88,6.858,8,8,10.1,14.5,16,21.5,21.5,52563.1464864,76128,77248.512,155463.24,400526.25,600821.76,1465295.52,1493474.28,52.5631464864,76.128,77.248512,155.46324,400.52625,600.82176,1465.29552,1493.47428,"LC-102 13-15E"
"26",26,2,5,"LCOR-344","CT717 3","CT3","Control","control","large",1117.6,1220,1264.92,1584.96,2011.68,2545.08,3322.32,3596.64,7.62,10,10,13,15,18,23,23,64892.77344,122000,126492,267858.24,452628,824605.92,1757507.28,1902622.56,64.89277344,122,126.492,267.85824,452.628,824.60592,1757.50728,1902.62256,"CT717 3"
"27",27,3,5,"LCOR-070","LC-102 2H","2H","LC-102","transgenic","large",1435.1,1435.1,1453.896,1539.24,2042.16,2499.36,3230.88,3291.84,9.144,10,10,12.2,15,15,20.5,23,119992.6374336,143510,145389.6,229100.4816,459486,562356,1357777.32,1741383.36,119.9926374336,143.51,145.3896,229.1004816,459.486,562.356,1357.77732,1741.38336,"LC-102 2H"
"28",28,4,5,"LCOR-282","LC-102 8-9D","8-9D","Escape","control","large",1409.7,1494.5,1539.24,1889.76,2316.48,2834.64,3550.92,3596.64,9.144,10,11,14.9,19,20,24,24,117868.8739392,149450,186248.04,419545.6176,836249.28,1133856,2045329.92,2071664.64,117.8688739392,149.45,186.24804,419.5456176,836.24928,1133.856,2045.32992,2071.66464,"escape"
"29",29,5,5,"LCOR-027","LC-102 4B","4B","LC-102","transgenic","large",1320.8,1342,1399.032,1706.88,2164.08,2697.48,3566.16,3627.12,8.382,9,10,13.1,17,20,24,24,92796.6660192,108702,139903.2,292917.6768,625419.12,1078992,2054108.16,2089221.12,92.7966660192,108.702,139.9032,292.9176768,625.41912,1078.992,2054.10816,2089.22112,"LC-102 4B"
"30",30,6,5,"LCOR-573","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1403,1463.04,1798.32,2225.04,2682.24,3596.64,3810,8.636,11,11,13.1,17.5,19,24,24,90928.5407232,169763,177027.84,308609.6952,681418.5,968288.64,2071664.64,2194560,90.9285407232,169.763,177.02784,308.6096952,681.4185,968.28864,2071.66464,2194.56,"LC-102 5C"
"31",31,7,5,"LCOR-068","LC-102 2H","2H","LC-102","transgenic","large",1295.4,1418.25,1508.76,1859.28,2316.48,2895.6,3611.88,3688.08,8.128,10,10,14,18,21,24,24,85579.8030336,141825,150876,364418.88,750539.52,1276959.6,2080442.88,2124334.08,85.5798030336,141.825,150.876,364.41888,750.53952,1276.9596,2080.44288,2124.33408,"LC-102 2H"
"32",32,8,5,"LCOR-575","LC-102 5A","5A","LC-102","transgenic","large",1612.9,2196,2279.904,2667,3230.88,3947.16,5044.44,5273.04,12.446,16,17,23,30,35,40,40,249842.9132164,562176,658892.256,1410843,2907792,4835271,8071104,8436864,249.8429132164,562.176,658.892256,1410.843,2907.792,4835.271,8071.104,8436.864,"LC-102 5A"
"33",33,9,5,"LCOR-346","CT717 3","CT3","Control","control","large",1155.7,1342,1392.936,1828.8,2255.52,2834.64,3688.08,3840.48,9.652,12,12,15.9,19,22,26,26,107666.2878928,193248,200582.784,462338.928,814242.72,1371965.76,2493142.08,2596164.48,107.6662878928,193.248,200.582784,462.338928,814.24272,1371.96576,2493.14208,2596.16448,"CT717 3"
"34",34,10,5,"LCOR-092","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1346.2,1346.2,1645.92,2011.68,2849.88,3291.84,3322.32,8.636,9,9,12,15.5,18,23,23,100400.2637152,109042.2,109042.2,237012.48,483306.12,923361.12,1741383.36,1757507.28,100.4002637152,109.0422,109.0422,237.01248,483.30612,923.36112,1741.38336,1757.50728,"escape"
"35",35,11,5,"LCOR-142","LC-102 7","7","LC-102","transgenic","large",965.2000001,1037,1037,1310.64,1676.4,2057.4,2910.84,2987.04,6.096,7,7,10.9,12.5,15,19,20,35868.0056869161,50813,50813,155717.1384,261937.5,462915,1050813.24,1194816,35.8680056869161,50.813,50.813,155.7171384,261.9375,462.915,1050.81324,1194.816,"LC-102 7"
"36",36,12,5,"LCOR-563","LC-102 5C","5C","LC-102","transgenic","large",1231.9,1250.5,1286.256,1554.48,2011.68,2529.84,3413.76,3535.68,7.366,7.366,8,12.1,14,17,21,22,66840.3759964,67849.573978,82320.384,227591.4168,394289.28,731123.76,1505468.16,1711269.12,66.8403759964,67.849573978,82.320384,227.5914168,394.28928,731.12376,1505.46816,1711.26912,"LC-102 5C"
"37",37,14,5,"LCOR-314","LC-102 16-20","16-20","Escape","control","large",1333.5,1433.5,1490.472,1798.32,2240.28,2788.92,3596.64,3749.04,8.89,10,10,14.1,17.5,21,25,25,105389.30535,143350,149047.2,357523.9992,686085.75,1229913.72,2247900,2343150,105.38930535,143.35,149.0472,357.5239992,686.08575,1229.91372,2247.9,2343.15,"escape"
"38",38,15,5,"LCOR-042","LC-102 5C","5C","LC-102","transgenic","large",1320.8,1433.5,1487.424,1822.704,2225.04,2773.68,3474.72,3505.2,8.89,10,10,15,18,19,23,23,104385.59768,143350,148742.4,410108.4,720912.96,1001298.48,1838126.88,1854250.8,104.38559768,143.35,148.7424,410.1084,720.91296,1001.29848,1838.12688,1854.2508,"LC-102 5C"
"39",39,2,6,"LCOR-577","LC-102 5A","5A","LC-102","transgenic","large",736.6000001,762.5,798.576,1103.376,1584.96,2103.12,3017.52,3078.48,4.572,5,6,9.5,11,14,20,21,15397.2853364903,19062.5,28748.736,99579.684,191780.16,412211.52,1207008,1357609.68,15.3972853364903,19.0625,28.748736,99.579684,191.78016,412.21152,1207.008,1357.60968,"LC-102 5A"
"40",40,3,6,"LCOR-069","LC-102 2H","2H","LC-102","transgenic","large",1498.6,1555.5,1594.104,1950.72,2316.48,2773.68,3566.16,3749.04,9.144,11,11,14,18,21,24,25,125302.0461696,188215.5,192886.584,382341.12,750539.52,1223192.88,2054108.16,2343150,125.3020461696,188.2155,192.886584,382.34112,750.53952,1223.19288,2054.10816,2343.15,"LC-102 2H"
"41",41,4,6,"LCOR-043","LC-102 1","1","LC-102","transgenic","large",1409.7,1464,1539.24,1889.76,2316.48,2819.4,3383.28,3474.72,8.89,10,10,15.9,17,19,21,22,111411.55137,146400,153924,477750.2256,669462.72,1017803.4,1492026.48,1681764.48,111.41155137,146.4,153.924,477.7502256,669.46272,1017.8034,1492.02648,1681.76448,"LC-102 1"
"42",42,5,6,"LCOR-062","LC-102 2H","2H","LC-102","transgenic","large",990.6,1067.5,1088.136,1432.56,1767.84,2255.52,3078.48,3108.96,8.636,10,10,12,14,16,20,21,73879.4393376,106750,108813.6,206288.64,346496.64,577413.12,1231392,1371051.36,73.8794393376,106.75,108.8136,206.28864,346.49664,577.41312,1231.392,1371.05136,"LC-102 2H"
"43",43,6,6,"LCOR-135","LC-102 5","5","LC-102","transgenic","large",1168.4,1372.5,1429.512,1706.88,2133.6,2727.96,3657.6,3779.52,9.906,11,11,13.2,16,19,24.5,25,114653.7319824,166072.5,172970.952,297406.7712,546201.6,984793.56,2195474.4,2362200,114.6537319824,166.0725,172.970952,297.4067712,546.2016,984.79356,2195.4744,2362.2,"LC-102 5"
"44",44,7,6,"LCOR-003","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1557.528,1920.24,2316.48,2865.12,3779.52,3962.4,9.652,11,11,15,18.5,21,26,26,120680.8941216,180834.5,188460.888,432054,792815.28,1263517.92,2554955.52,2678582.4,120.6808941216,180.8345,188.460888,432.054,792.81528,1263.51792,2554.95552,2678.5824,"LC-102 4A"
"45",45,8,6,"LCOR-191","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,960.75,1005.84,1341.12,1767.84,2179.32,2926.08,3078.48,5.842,6,6,10.3,12,14,18.5,19,32074.4003637871,34587,36210.24,142279.4208,254568.96,427146.72,1001450.88,1111331.28,32.0744003637871,34.587,36.21024,142.2794208,254.56896,427.14672,1001.45088,1111.33128,"LC-102 13-15B"
"46",46,9,6,"LCOR-310","LC-102 16-20","16-20","Escape","control","large",1092.2,1159,1194.816,1493.52,1767.84,2194.56,2880.36,2895.6,9.906,12,12,14,15,16,19,20,107176.3146792,166896,172053.504,292729.92,397764,561807.36,1039809.96,1158240,107.1763146792,166.896,172.053504,292.72992,397.764,561.80736,1039.80996,1158.24,"escape"
"47",47,10,6,"LCOR-251","LC-102 5A","5A","LC-102","transgenic","large",1676.4,2135,2215.896,2529.84,2926.08,3459.48,4328.16,4480.56,13.97,16,16,19,22,24,29.5,30,327167.73276,546560,567269.376,913272.24,1416222.72,1992660.48,3766581.24,4032504,327.16773276,546.56,567.269376,913.27224,1416.22272,1992.66048,3766.58124,4032.504,"LC-102 5A"
"48",48,11,6,"LCOR-358","LC-102 1","1","LC-102","transgenic","large",1447.8,1647,1752.6,2072.64,2651.76,3429,4434.84,4632.96,9.652,12,12,16.1,22,26,33,34,134878.6463712,237168,252374.4,537249.0144,1283451.84,2318004,4829540.76,5355701.76,134.8786463712,237.168,252.3744,537.2490144,1283.45184,2318.004,4829.54076,5355.70176,"LC-102 1"
"49",49,12,6,"LCOR-363","LC-102 1","1","LC-102","transgenic","large",1206.5,1206.5,1206.5,1206.5,1356.36,1615.44,2225.04,2225.04,7.366,9,9,9,9,9,14.5,15,65462.223914,97726.5,97726.5,97726.5,109865.16,130850.64,467814.66,500634,65.462223914,97.7265,97.7265,97.7265,109.86516,130.85064,467.81466,500.634,"LC-102 1"
"50",50,13,6,"LCOR-355","LC-102 1","1","LC-102","transgenic","large",1155.7,1220,1313.688,1645.92,2072.64,2560.32,3307.08,3413.76,7.366,9,9,13,19,19,20,21,62705.9197492,98820,106408.728,278160.48,748223.04,924275.52,1322832,1505468.16,62.7059197492,98.82,106.408728,278.16048,748.22304,924.27552,1322.832,1505.46816,"LC-102 1"
"51",51,14,6,"LCOR-472","LC-102 13-15B","13-15B","LC-102","transgenic","large",1689.1,1921.5,1990.344,2261.616,2682.24,3185.16,3794.76,4053.84,12.7,14,14,17,20,22,24,26,272434.939,376614,390107.424,653607.024,1072896,1541617.44,2185781.76,2740395.84,272.434939,376.614,390.107424,653.607024,1072.896,1541.61744,2185.78176,2740.39584,"LC-102 13-15B"
"52",52,15,6,"LCOR-421","LC-102 4B","4B","LC-102","transgenic","large",1016,1250.5,1338.072,1709.928,2164.08,2651.76,3276.6,3291.84,8.636,10,10,14,18,20,21.5,22,75773.783936,125050,133807.2,335145.888,701161.92,1060704,1514608.35,1593250.56,75.773783936,125.05,133.8072,335.145888,701.16192,1060.704,1514.60835,1593.25056,"LC-102 4B"
"53",53,2,7,"LCOR-177","LC-102 1C","1C","LC-102","transgenic","large",1409.7,1616.5,1697.736,2066.544,2987.04,3215.64,4236.72,4511.04,9.144,11,11,14.5,21,24,31,32,117868.8739392,195596.5,205426.056,434490.876,1317284.64,1852208.64,4071487.92,4619304.96,117.8688739392,195.5965,205.426056,434.490876,1317.28464,1852.20864,4071.48792,4619.30496,"LC-102 1C"
"54",54,3,7,"LCOR-073","LC-102 13-15E","13-15E","LC-102","transgenic","large",1524,1555.5,1609.344,1956.816,3459.48,3459.48,3535.68,3749.04,10.16,11,11,15,19,22,24,25,157315.8144,188215.5,194730.624,440283.6,1248872.28,1674388.32,2036551.68,2343150,157.3158144,188.2155,194.730624,440.2836,1248.87228,1674.38832,2036.55168,2343.15,"LC-102 13-15E"
"55",55,4,7,"LCOR-510","LC-102 16-20","16-20","Escape","control","large",1003.3,1067.5,1106.424,1435.608,2865.12,2865.12,3108.96,3169.92,8.382,8.382,8.382,10.6,13,16,19,19,70489.7751492,75000.33387,77735.053303776,161304.91488,484205.28,733470.72,1122334.56,1144341.12,70.4897751492,75.00033387,77.735053303776,161.30491488,484.20528,733.47072,1122.33456,1144.34112,"escape"
"56",56,5,7,"LCOR-474","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,976,990.6,1341.12,2179.32,2225.04,3078.48,3169.92,8.128,9,9,11,14,16,21,22,62087.3080765936,79056,80238.6,162275.52,427146.72,569610.24,1357609.68,1534241.28,62.0873080765936,79.056,80.2386,162.27552,427.14672,569.61024,1357.60968,1534.24128,"LC-102 13-15B"
"57",57,6,7,"LCOR-181","LC-102 1C","1C","LC-102","transgenic","large",1422.4,1586,1633.728,1920.24,2926.08,2926.08,3596.64,3688.08,9.398,10,10,13,15.5,19,24,26,125629.7874496,158600,163372.8,324520.56,702990.72,1056314.88,2071664.64,2493142.08,125.6297874496,158.6,163.3728,324.52056,702.99072,1056.31488,2071.66464,2493.14208,"LC-102 1C"
"58",58,7,7,"LCOR-148","LC-102 7","7","LC-102","transgenic","large",1346.2,1433.5,1499.616,1767.84,2575.56,2773.68,3749.04,3962.4,8.382,10,10,13,16,19,25,27,94581.2172888,143350,149961.6,298764.96,659343.36,1001298.48,2343150,2888589.6,94.5812172888,143.35,149.9616,298.76496,659.34336,1001.29848,2343.15,2888.5896,"LC-102 7"
"59",59,8,7,"LCOR-400","LC-102 1C","1C","LC-102","transgenic","large",1600.2,1814.75,1877.568,2206.752,2407.92,3261.36,4023.36,4267.2,11.684,12,13,17.5,21,25,26.5,29,218452.6727712,261324,317308.992,675817.8,1061892.72,2038350,2825404.56,3588715.2,218.4526727712,261.324,317.308992,675.8178,1061.89272,2038.35,2825.40456,3588.7152,"LC-102 1C"
"60",60,9,7,"LCOR-530","LC-102 5","5","LC-102","transgenic","large",1422.4,1494.5,1563.624,1932.432,3078.48,3078.48,4023.36,4206.24,10.414,11,12,16,19,22,28,30,154261.2656704,180834.5,225161.856,494702.592,1111331.28,1489984.32,3154314.24,3785616,154.2612656704,180.8345,225.161856,494.702592,1111.33128,1489.98432,3154.31424,3785.616,"LC-102 5"
"61",61,12,7,"LCOR-094","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1464,1481.328,1828.8,2316.48,2651.76,3489.96,3596.64,8.89,10,10,13.9,16,19,23,24,106393.01302,146400,148132.8,353342.448,593018.88,957285.36,1846188.84,2071664.64,106.39301302,146.4,148.1328,353.342448,593.01888,957.28536,1846.18884,2071.66464,"escape"
"62",62,13,7,"LCOR-296","LC-102 13-15E","13-15E","LC-102","transgenic","large",1701.8,1860.5,1905,1905,1905,3169.92,3855.72,3931.92,12.7,14,14,18.5,22.5,25,28,29,274483.322,364658,373380,651986.25,964406.25,1981200,3022884.48,3306744.72,274.483322,364.658,373.38,651.98625,964.40625,1981.2,3022.88448,3306.74472,"LC-102 13-15E"
"63",63,14,7,"LCOR-265","LC-102 4B","4B","LC-102","transgenic","large",1270,1311.5,1414.272,1716.024,2468.88,2682.24,3505.2,3779.52,8.128,9,10,13.5,17,20,23,24,83901.76768,106231.5,141427.2,312745.374,713506.32,1072896,1854250.8,2177003.52,83.90176768,106.2315,141.4272,312.745374,713.50632,1072.896,1854.2508,2177.00352,"LC-102 4B"
"64",64,15,7,"LCOR-198","CT717 3","CT3","Control","control","large",1028.7,1098,1130.808,1411.224,1874.52,2179.32,2773.68,2773.68,6.35,8,9,11,13.5,15,17,18,41479.75575,70272,91595.448,170758.104,341631.27,490347,801593.52,898672.32,41.47975575,70.272,91.595448,170.758104,341.63127,490.347,801.59352,898.67232,"CT717 3"
"65",65,2,8,"LCOR-179","LC-102 1C","1C","LC-102","transgenic","large",1473.2,1860.5,1984.248,2410.968,2987.04,3718.56,4632.96,4907.28,11.176,14,15,20.5,25,31,35,36,184007.0642432,364658,446455.8,1013209.302,1866900,3573536.16,5675376,6359834.88,184.0070642432,364.658,446.4558,1013.209302,1866.9,3573.53616,5675.376,6359.83488,"LC-102 1C"
"66",66,3,8,"LCOR-036","LC-102 5C","5C","LC-102","transgenic","large",1752.6,2424.75,2514.6,2895.6,3459.48,4160.52,4968.24,5212.08,14.478,18,19,24,33,37,40,40,367366.8394584,785619,907770.6,1667865.6,3767373.72,5695751.88,7949184,8339328,367.3668394584,785.619,907.7706,1667.8656,3767.37372,5695.75188,7949.184,8339.328,"LC-102 5C"
"67",67,4,8,"LCOR-279","LC-102 5C","5C","LC-102","transgenic","large",1549.4,2013,2084.832,2423.16,2865.12,3566.16,4358.64,4511.04,10.922,14,16,20,27,31,34,35,184828.0561496,394548,533716.992,969264,2088672.48,3427079.76,5038587.84,5526024,184.8280561496,394.548,533.716992,969.264,2088.67248,3427.07976,5038.58784,5526.024,"LC-102 5C"
"68",68,5,8,"LCOR-078","LC-102 13-15E","13-15E","LC-102","transgenic","large",1346.2,1433.5,1469.136,1737.36,2179.32,2712.72,3535.68,3566.16,8.636,10,10,14,17,19,23.5,34,100400.2637152,143350,146913.6,340522.56,629823.48,979291.92,1952579.28,4122480.96,100.4002637152,143.35,146.9136,340.52256,629.82348,979.29192,1952.57928,4122.48096,"LC-102 13-15E"
"69",69,6,8,"LCOR-582","LC-102 5A","5A","LC-102","transgenic","large",1511.3,1921.5,1984.248,2392.68,2926.08,3642.36,4572,4815.84,11.176,13,14,19.1,24,28,32.5,34,188765.8676288,324733.5,388912.608,872873.5908,1685422.08,2855610.24,4829175,5567111.04,188.7658676288,324.7335,388.912608,872.8735908,1685.42208,2855.61024,4829.175,5567.11104,"LC-102 5A"
"70",70,7,8,"LCOR-385","LC-102 7","7","LC-102","transgenic","large",1447.8,1677.5,1773.936,2100.072,2575.56,3185.16,4023.36,4328.16,9.398,11,12,16.9,22,25,29,30,127873.1765112,202977.5,255446.784,599801.56392,1246571.04,1990725,3383645.76,3895344,127.8731765112,202.9775,255.446784,599.80156392,1246.57104,1990.725,3383.64576,3895.344,"LC-102 7"
"71",71,8,8,"LCOR-250","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1555.5,1615.44,2392.68,2407.92,3032.76,4008.12,4236.72,8.128,11,12,19.1,21,24,29,30,77189.6262656,188215.5,232623.36,872873.5908,1061892.72,1746869.76,3370828.92,3813048,77.1896262656,188.2155,232.62336,872.8735908,1061.89272,1746.86976,3370.82892,3813.048,"LC-102 5A"
