"","tree","Vcmax","Jmax","Rd","Jmax_Vcmax_ratio","A_A_410","A_A_400a","A_A_200","A_A_100","A_A_50","A_A_0","A_A_400b","A_A_400c","A_A_600","A_A_800","A_A_1000","A_A_1200","A_A_1500","A_A_2000","A_A_300","gsw_A_410","gsw_A_400a","gsw_A_200","gsw_A_100","gsw_A_50","gsw_A_0","gsw_A_400b","gsw_A_400c","gsw_A_600","gsw_A_800","gsw_A_1000","gsw_A_1200","gsw_A_1500","gsw_A_2000","gsw_A_300","Ci_A_410","Ci_A_400a","Ci_A_200","Ci_A_100","Ci_A_50","Ci_A_0","Ci_A_400b","Ci_A_400c","Ci_A_600","Ci_A_800","Ci_A_1000","Ci_A_1200","Ci_A_1500","Ci_A_2000","Ci_A_300","Air_temp","Air_VPD","spad"
"58","LCOR-460",190.624008622896,213.052057186698,1.27962812016574,1.11765594861752,24.96085508,24.27282173,9.957102876,2.049773577,-2.105667101,-5.461802125,24.27037347,25.07120863,32.09170436,41.09551462,42.32438626,44.25273462,41.22676252,40.58582881,17.56576783,0.379039361,0.526317918,0.397424413,0.400087791,0.405908386,0.41560066,0.394495864,0.398814731,0.388606827,0.380888885,0.392338266,0.37830613,0.369708098,0.348843048,0.397592153,289.1286371,312.1469007,153.7238827,90.43821391,59.29731584,32.1385013,283.9155683,284.8701054,446.2939796,598.7462541,793.7527891,973.4423476,1276.541677,1756.543964,219.0799067,28.5216666666667,1.90783333333333,40.2
"59","LCOR-577",207.95917049261,305.156408356738,1.32703544367842,1.46738615870552,34.56414959,34.12747441,14.06436933,3.762109054,-1.723888914,-4.96989411,30.40084922,33.02613555,46.25467195,54.01993433,59.59789429,62.52016234,63.04740031,64.22074337,24.27998108,0.422765292,0.474956011,0.500543649,0.519489185,0.452786695,0.527479506,0.493720826,0.487811356,0.505973204,0.488446945,0.497064543,0.48112154,0.425564952,0.489173587,0.495947682,262.7388714,268.5004769,148.2575681,86.60369831,57.17187193,26.41283089,282.5569929,274.7384861,430.0918986,591.7100331,770.1195116,949.063306,1212.858842,1727.114905,210.2544724,21.97,0.863333333333333,43.8
"60","LCOR-012",195.999595023541,243.362365674688,0.783019802599734,1.24164728832965,33.61710064,33.76974413,14.08393534,3.721245362,-1.709034675,-5.720432127,31.81756974,33.13132264,43.58250446,48.92212949,51.27246178,50.42851376,48.18460768,46.87376571,24.35143419,0.56155904,0.573055077,0.594303312,0.586496912,0.591046678,0.604485773,0.591804544,0.624168655,0.586305864,0.609928253,0.599565363,0.621358586,0.613477359,0.600442018,0.542007723,296.8430455,288.7062885,155.707914,87.6199321,55.0769726,25.33470725,296.3730859,297.8420359,454.9102616,640.1198608,825.9436105,1029.491942,1327.489859,1815.982636,216.1043827,25.375,1.415,39.5
"61","LCOR-611",173.222682993445,215.076660496257,1.03309273528805,1.24161949682072,30.58394763,29.80974432,12.65366396,3.519117425,-1.243453699,-5.18150565,26.64963222,29.35741239,36.70242833,41.19532009,42.80384395,43.29092538,42.32497524,45.54008226,21.61885717,0.466143578,0.436210199,0.497299948,0.523508053,0.550751585,0.540854072,0.515481949,0.52428899,0.54838219,0.51863099,0.463291422,0.521288274,0.510286239,0.091706262,0.513274263,290.728271,275.2594314,152.7028671,87.52475734,54.24279705,26.14794833,298.8623213,294.6798906,470.7667613,644.1672102,817.6288371,1028.84287,1320.855955,1165.888178,221.2541655,23.275,1.058,37.1
"62","LCOR-573",198.589891380944,269.374749333937,0.0403379707390848,1.35643736678022,36.68869051,36.08279709,15.38214789,3.808991585,-1.426358286,-5.680415588,32.80793515,35.3996934,48.31497043,54.13898879,55.54336964,54.72191445,54.99838239,57.1944534,25.99288197,0.690945308,0.740274764,0.756776179,0.525197032,0.752704332,0.734424253,0.704796147,0.743461392,0.52599838,0.677339348,0.716727192,0.711524281,0.684119676,0.685553495,0.52417077,307.0464465,304.6737389,160.2710662,87.00721877,52.34646437,22.38955686,307.4069173,306.0722212,429.0883173,640.0338931,838.6754872,1035.954295,1317.705729,1799.439096,210.7933536,26.9883333333333,1.71933333333333,43.5
"63","LCOR-148",165.049858323215,217.382227000853,2.93918315409973,1.31707006118815,24.67810417,24.82986354,9.850956346,1.91299165,-2.302734241,-5.965359699,24.65139984,24.59766693,33.89909671,39.00436591,41.82804329,42.67304505,42.47546244,42.7687715,17.62554749,0.383025933,0.410261564,0.41581206,0.423638548,0.430114543,0.436251755,0.375982107,0.377582976,0.384638208,0.393765541,0.389352764,0.392871483,0.378165294,0.354951743,0.399729913,292.4654636,288.6742748,156.2567603,91.25612462,59.38337607,33.51545122,276.3165965,281.1663842,437.345832,613.8600955,793.7240335,987.882551,1274.211243,1750.5485,219.2242855,22.46,0.831,32.5
"64","LCOR-450",161.784266720197,218.204156436454,1.6064929205452,1.34873533044987,28.31594054,27.8720318,11.53613165,2.85164484,-1.291203196,-5.25517516,24.80615292,29.62437877,34.83868581,40.58319649,44.60110156,42.68815946,45.27751605,46.31499475,20.09513678,0.475761774,0.539209187,0.571663418,0.569909299,0.492977831,0.590964053,0.56851374,0.064208701,0.50350494,0.5802991,0.572340803,0.553510924,0.088462741,0.692433465,0.556748861,298.5482032,301.8269069,160.7264284,90.44927597,54.84863811,25.09267463,312.2661614,-344.855605,466.9317721,659.8614984,838.1547475,1038.187624,650.2553047,1861.618183,230.545898,25.375,1.415,37.1
"65","LCOR-469",153.914296675578,227.014704876333,0.99175835028001,1.4749422878814,28.32685498,28.00068341,11.54710676,2.914450653,-1.100659288,-4.773074721,25.86299397,27.66764331,38.33252869,44.83237223,46.04652973,47.09879859,41.02382668,44.38086386,19.84136798,0.469188829,0.561066375,0.53849531,0.548179818,0.550590522,0.491699676,0.552828241,0.571848204,0.53649173,0.552417754,0.481335604,0.565090091,0.570972448,0.558722792,0.54415665,297.2762151,304.5181204,158.5938959,89.93240054,53.44657056,25.98585039,306.6696354,307.1320604,463.2535342,641.1204479,811.6917852,1025.987637,1342.10115,1815.882803,230.8509473,27.4283333333333,1.80233333333333,40.2
"66","LCOR-516",115.479376651346,165.446924970072,0.855818963237031,1.43269672704926,24.09768282,23.80739663,9.649671758,2.573462595,-1.227776379,-4.034855468,20.55546389,21.93169556,29.1035205,32.69731999,34.58706713,34.67504158,34.28832673,33.18348883,16.77669199,0.515104831,0.507857622,0.515347227,0.524339075,0.4978418,0.52441677,0.505979044,0.521346566,0.507295341,0.500856444,0.514717489,0.516182443,0.504681981,0.510036308,0.507430343,320.4035197,310.9113719,164.9005314,90.36015371,53.9653129,18.86407657,320.0081287,317.9139054,485.7123467,667.2533559,859.9635686,1053.671195,1344.274174,1839.7168,238.1016719,21.74,0.712333333333333,31.15
"67","LCOR-411",78.0224913653017,100.50241979258,0.721960768819043,1.2881211306369,14.42503789,14.11613174,5.740577394,1.359654196,-0.932637292,-3.126970109,12.92855678,13.32576175,17.67378705,19.44134967,20.47039932,20.84732952,20.6311009,20.63491747,10.09508226,0.327883313,0.321792087,0.300369231,0.300027777,0.310425859,0.319355864,0.336691507,0.34929205,0.356008464,0.354204909,0.348801913,0.337850522,0.341085973,0.339007372,0.30991407,327.0612584,317.5106346,164.2939305,91.00605183,54.56864128,21.4558597,325.1562573,325.987418,501.6355725,688.6803153,876.0580815,1065.601904,1361.642724,1848.099663,239.9523559,24.0083333333333,1.08833333333333,22.8
"68","LCOR-209",178.654600992826,237.923295158877,0.686395807469323,1.33175016952645,29.72822294,29.27078654,11.95595128,3.014142272,-1.530266921,-5.269154642,27.88218446,28.99021717,41.11534782,47.10229435,49.14092722,49.65331489,46.38307555,45.46397563,20.88314487,0.461401032,0.477785056,0.476030932,0.479272657,0.484524004,0.485132866,0.473646131,0.489316627,0.462699669,0.459319265,0.466994765,0.475355059,0.479579084,0.476332693,0.473286326,290.7185793,286.4754797,153.6835801,88.08426383,55.20587796,26.8208113,288.6231671,289.1103485,432.4972082,604.9056953,795.6876706,992.1611719,1299.175263,1783.70019,218.9269919,26.025,1.425,36.5
"69","LCOR-092",185.26474378724,222.325043655802,0.649465014951909,1.20003967895329,32.24802424,31.83752788,13.34859617,3.62917046,-1.264718308,-5.446898536,28.62551495,31.7279025,40.63431615,45.04251021,44.94683805,47.38051085,35.66492911,40.38721987,22.72072696,0.577865051,0.550084581,0.541293142,0.58143193,0.582674334,0.613880796,0.558962851,0.546039088,0.562057463,0.574966356,0.555001787,0.556252665,0.582376137,0.602547815,0.553949525,303.2774907,291.3666758,153.5422312,88.14603301,54.29486809,25.31460377,299.3783258,290.2388119,460.8051903,645.8128468,836.8191153,1023.413946,1363.654801,1840.168803,223.3024223,23,0.92,37.4
"70","LCOR-322",160.896936244435,221.442381887418,1.14377773976236,1.37629955582872,29.30672264,28.29094401,12.08430263,3.047002809,-1.38485823,-5.002183691,25.82912505,27.90424075,36.77262421,41.54947278,43.39385761,44.58874496,46.5848933,30.75907898,20.11432327,0.527935892,0.582931559,0.506268156,0.566201454,0.560581318,0.566559468,0.543285347,0.580116021,0.57717442,0.539662322,0.578455687,0.536180229,0.562194319,0.580819711,0.517421608,305.2664103,307.0823425,154.8772279,90.01055393,54.73333777,25.29295422,305.9665088,307.6062403,475.6276528,648.0866968,845.6209307,1027.244442,1317.622128,1864.53232,227.0449706,26.025,1.425,36
