"","row","column","ID","Leaf1_cm2","leaf2_cm2","leaf3_cm2","average_LA","X","Leaf.1","Leaf.2","Leaf.3","avg_mass","SLA","LMA"
"64",5,16,"LCOR-528","78.255","67.945","80.394",75.53133333,"",0.66,0.559,"0.485",0.568,132.977699524648,0.00752005790124717
"65",6,16,"LCOR-072","58.104","39.691","34.436",44.077,"",0.325,0.411,"0.219",0.318333333,138.461780249698,0.00722220961045443
"66",7,16,"LCOR-610","119.784","131.693","120.902",124.1263333,"",1.053,1.129,"1.177",1.119666667,110.860077341215,0.00902037977947746
"67",8,16,"LCOR-516","80.032","81.135","79.177",80.11466667,"",0.501,0.583,"0.599",0.561,142.806892459893,0.00700246313588014
"68",9,16,"LCOR-280","124.886","134.023","133.634",130.8476667,"",0.958,1.011,"0.942",0.970333333,134.848162224269,0.00741574807921279
"69",10,16,"LCOR-033","141.948","104.079","125.795",123.9406667,"",0.91,1.134,"0.75",0.931333333,133.078740240901,0.00751434825870595
"70",11,16,"LCOR-331","137.3","158.244","167.633",154.3923333,"",1.376,1.421,"0.994",1.263666667,122.178053225487,0.00818477601827914
"71",12,16,"LCOR-372","169.49","203.821","132.516",168.609,"",1.01,1.356,"1.672",1.346,125.266716196137,0.00798296650831213
"72",13,16,"LCOR-105","79.383","88.391","95.645",87.80633333,"",0.848,0.776,"0.664",0.762666667,115.130681763492,0.00868578197125818
"73",14,16,"LCOR-352","162.688","147.397","150.019",153.368,"",1.325,1.262,"1.44",1.342333333,114.254780261797,0.00875236902743728
"74",15,16,"LCOR-614","141.167","129.308","145.013",138.496,"",1.31,1.195,"1.086",1.197,115.702589807853,0.0086428488909427
"75",1,17,"LCOR-376","149.47","137.737","148.464",145.2236667,"",1.402,1.17,"1.255",1.275666667,113.841390119195,0.00878415134383878
"76",3,17,"LCOR-132","144.285","124.392","128.705",132.4606667,"",1.033,0.948,"1.168",1.049666667,126.193077159037,0.0079243649692426
"77",6,17,"LCOR-458","138.818","161.081","149.876",149.925,"",0.939,1.162,"1.188",1.096333333,136.751292227653,0.00731254515924629
"78",7,17,"LCOR-411","113.49","94.262","129.044",112.2653333,"",1.148,0.719,"0.917",0.928,120.975574676724,0.00826613142919338
"79",8,17,"LCOR-394","146.221","185.752","160.876",164.283,"",1.343,1.528,"1.118",1.329666667,123.552018018663,0.00809375691337509
"80",9,17,"LCOR-275","115.039","117.507","123.193",118.5796667,"",0.986,0.912,"0.894",0.930666667,127.413681938605,0.00784845069057695
"81",10,17,"LCOR-601","90.33","93.719","102.477",95.50866667,"",0.771,0.741,"0.735",0.749,127.514908771696,0.00784222025198962
"82",11,17,"LCOR-252","142.699","119.291","130.338",130.776,"",1.044,0.871,"1.157",1.024,127.7109375,0.00783018290817887
"83",13,17,"LCOR-502","169.608","172.733","145.794",162.7116667,"",1.062,1.298,"1.253",1.204333333,135.105175819293,0.00740164093592927
"84",14,17,"LCOR-481","163.92","148.46","160.057",157.479,"",1.267,1.008,"1.175",1.15,136.938260869565,0.00730256097638415
"85",15,17,"LCOR-271","171.174","163.133","172.523",168.9433333,"",1.335,1.114,"1.284",1.244333333,135.770158059408,0.00736538878862052
"86",1,18,"LCOR-377","118.588","137.997","139.152",131.9123333,"",1.318,1.205,"0.971",1.164666667,113.261877443256,0.00882909609635417
"87",3,18,"LCOR-052","106.653","96.728","106.187",103.1893333,"",0.906,0.743,"0.911",0.853333333,120.925000008174,0.00826958858740877
"88",4,18,"LCOR-475","127.851","126.235","112.744",122.2766667,"",0.877,0.977,"1.09",0.981333333,124.602581598031,0.00802551590163686
"89",5,18,"LCOR-085","145.681","158.212","141.034",148.309,"",1.116,1.322,"1.136",1.191333333,124.48992728721,0.00803277840859287
"90",6,18,"LCOR-351","141.788","110.38","126.207",126.125,"",1.163,0.917,"1.288",1.122666667,112.344121106786,0.00890122233498514
"91",10,18,"LCOR-306","116.098","99.427","118.741",111.422,"",1.03,0.871,"1.031",0.977333333,114.006139193044,0.00877145745902964
"92",11,18,"LCOR-392","128.972","138.757","123.175",130.3013333,"",1.084,1.176,"1.063",1.107666667,117.635871135228,0.00850080838735362
"93",12,18,"LCOR-243","181.226","141.354","180.851",167.8103333,"",1.527,1.266,"1.552",1.448333333,115.864441890878,0.00863077561743929
"94",13,18,"LCOR-572","155.57","163.325","166.814",161.903,"",1.276,1.418,"1.49",1.394666667,116.087237065945,0.00861421139200633
"95",14,18,"LCOR-463","159.878","168.398","129.525",152.6003333,"",1.223,1.627,"1.564",1.471333333,103.715677390964,0.00964174390174809
"96",15,18,"LCOR-260","177.29","187.212","196.701",187.0676667,"",1.802,1.704,"1.532",1.679333333,111.394005599721,0.00897714373961345
"97",1,19,"LCOR-548","61.515","80.605","92.2",78.10666667,"",0.714,0.577,"0.797",0.696,112.222222227011,0.00891089108872862
"98",3,19,"LCOR-406","90.442","74.971","104.088",89.83366667,"",0.728,0.839,"1.014",0.860333333,104.417280168314,0.00957695889404577
"99",4,19,"LCOR-089","116.467","114.347","129.884",120.2326667,"",1.353,1.212,"1.118",1.227666667,97.9359218034385,0.0102107580302051
"100",5,19,"LCOR-491","96.322","89.665","84.877",90.288,"",0.747,0.857,"0.961",0.855,105.6,0.00946969696969697
"101",6,19,"LCOR-121","130.089","105.617","122.533",119.413,"",1.055,0.858,"1.219",1.044,114.380268199234,0.008742766700443
"102",7,19,"LCOR-585","53.769","47.542","44.907",48.73933333,"",0.368,0.44,"0.361",0.389666667,125.079555059812,0.00799491171456284
"103",8,19,"LCOR-554","123.648","137.259","143.02",134.6423333,"",1.234,1.13,"0.957",1.107,121.628124028907,0.00822178265088043
"104",9,19,"LCOR-152","107.476","110.405","112.164",110.015,"",1.008,1.093,"0.948",1.016333333,108.246966253935,0.00923813419079216
"105",10,19,"LCOR-558","95.271","96.406","104.395",98.69066667,"",1.087,0.93,"0.921",0.979333333,100.773315218098,0.00992326190555259
"106",11,19,"LCOR-138","86.111","85.44","95.864",89.13833333,"",0.851,0.835,"1.047",0.911,97.8466886169045,0.0102200699291446
"107",12,19,"LCOR-383","41.923","43.091","52.393",45.80233333,"",0.452,0.457,"0.572",0.493666667,92.7798783911007,0.0107781990808895
"108",13,19,"LCOR-568","68.123","62.933","74.963",68.673,"",0.806,0.685,"0.754",0.748333333,91.7679287713888,0.0108970531795611
"109",14,19,"LCOR-080","97.419","100.241","86.125",94.595,"",0.766,0.908,"0.854",0.842666667,112.256724639139,0.00890815230191871
"110",15,19,"LCOR-391","152.209","148.792","143.521",148.174,"",1.25,1.287,"1.196",1.244333333,119.079024944838,0.00839778458434003
"111",1,20,"LCOR-553","121.733","127.036","106.708",118.4923333,"",0.854,1.224,"1.004",1.027333333,115.3397144761,0.00867004053670703
"112",2,20,"LCOR-162","127.667","135.529","144.096",135.764,"",1.074,1.297,"0.951",1.107333333,122.604455184408,0.00815631045785333
"113",3,20,"LCOR-242","120.986","129.672","142.505",131.0543333,"",1.052,1.307,"0.91",1.089666667,120.270113117079,0.00831461760600937
"114",4,20,"LCOR-330","89.575","112.7","114.887",105.7206667,"",777,0.937,"1.003",259.6466667,0.407171284128794,2.45596887349179
"115",5,20,"LCOR-166","106.269","115.726","124.545",115.5133333,"",0.817,0.89,"1.021",0.909333333,127.030791798765,0.0078721071154476
"116",6,20,"LCOR-512","96.253","107.012","88.379",97.21466667,"",0.778,0.92,"0.793",0.830333333,117.079084755953,0.00854123520084277
"117",7,20,"LCOR-059","166.642","152.576","181.191",166.803,"",1.252,1.705,"1.22",1.392333333,119.80105341628,0.00834717201129476
"118",8,20,"LCOR-101","127.006","131.581","142.453",133.68,"",1.29,1.104,"1.001",1.131666667,118.126656813512,0.00846548972920407
"119",9,20,"LCOR-067","140.201","129.747","160.909",143.619,"",1.257,1.097,"1.52",1.291333333,111.217604571817,0.00899138228925142
"120",11,20,"LCOR-103","134.606","125.92","119.572",126.6993333,"",1.183,1.033,"0.992",1.069333333,118.484413970849,0.0084399286495693
"121",12,20,"LCOR-230","150.179","132.396","159.043",147.206,"",1.471,1.063,"1.328",1.287333333,114.349559843177,0.0087451145537546
"122",13,20,"LCOR-534","143.914","173.616","145.75",154.4266667,"",1.407,1.785,"1.409",1.533666667,100.691154096785,0.00993135900536795
"123",14,20,"LCOR-261","102.884","148.607","140.048",130.513,"",1.316,1.36,"0.963",1.213,107.595218466612,0.00929409330871254
"124",15,20,"LCOR-493","111.886","96.943","101.282",103.3703333,"",1.047,0.939,"1.122",1.036,99.778313996139,0.0100222178542594
"125",11,22,"LCOR-063","152.593","150.316","115.591",139.5,"",1,1.31,"1.412",1.240666667,112.43954859956,0.00889366786379928
"126",12,22,"LCOR-483","no scan","110.319","108.653",109.486,"",1.118,1.192,"1.131",1.147,95.4542284219704,0.0104762252708109
"127",13,22,"LCOR-514","86.563","76.921","84.484",82.656,"",0.883,0.767,"1.022",0.890666667,92.8023951748494,0.0107755839503484
"128",14,22,"LCOR-266","113.804","129.162","131.827",124.931,"",1.102,1.218,"1.236",1.185333333,105.397356610067,0.00948790398700082
"129",15,22,"LCOR-122","135.006","127.538","113.064",125.2026667,"",1.347,1.223,"1.171",1.247,100.403100801925,0.00995985175769423
"130",1,23,"LCOR-485","160.726","139.724","128.254",142.9013333,"",1.53,1.325,"1.472",1.442333333,99.076496417628,0.0100932111667009
"131",2,23,"LCOR-398","76.963","98.144","115.023",96.71,"",1.141,0.887,"0.691",0.906333333,106.70467087411,0.00937166097611416
"132",3,23,"LCOR-171","86.441","85.366","88.867",86.89133333,"",0.82,0.605,"0.794",0.739666667,117.473636715875,0.0085125482444936
"133",4,23,"LCOR-422","130.232","113.844","125.025",123.0336667,"",1.104,1.302,"0.941",1.115666667,110.278159542791,0.00906797868359393
"134",5,23,"LCOR-319","131.718","116.64","111.397",119.9183333,"",1.103,0.905,"0.968",0.992,120.885416633065,0.00827229642625462
"135",6,23,"LCOR-106","114.995","119.129","85.879",106.6676667,"",0.63,0.69,"0.981",0.767,139.071273402868,0.00719055758627558
"136",8,23,"LCOR-401","148.951","135.604","140.665",141.74,"",1.007,1.145,"1.028",1.06,133.716981132075,0.00747848172710597
"137",9,23,"LCOR-291","137.724","128.633","123.943",130.1,"",0.987,1.25,"1.104",1.113666667,116.821310949769,0.00856008199077633
"138",10,23,"LCOR-207","121.189","117.33","136.453",124.9906667,"",1.045,1.156,"0.881",1.027333333,121.6651525703,0.00821928036807567
"139",11,23,"LCOR-090","170.819","164.407","162.722",165.9826667,"",1.294,1.417,"1.258",1.323,125.459309674981,0.00797071179963155
"140",12,23,"LCOR-015","128.513","132.208","123.915",128.212,"",1.12,0.988,"1.078",1.062,120.726930320151,0.00828315602283718
"141",13,23,"LCOR-202","111.393","118.652","128.616",119.5536667,"",1.188,1.091,"0.971",1.083333333,110.357230833956,0.00906148144931802
"142",14,23,"LCOR-290","181.794","171.345","141.639",164.926,"",1.351,1.124,"1.477",1.317333333,125.196862379857,0.00798742061894425
"143",15,23,"LCOR-333","121.84","117.578","122.558",120.6586667,"",1.009,1.049,"1.012",1.023333333,117.907491927657,0.00848122526949819
"144",1,24,"LCOR-489","115.277","107.483","110.935",111.2316667,"",1.026,0.977,"0.95",0.984333333,113.002031904166,0.00884939839708434
"145",2,24,"LCOR-178","143.796","147.226","135.006",142.0093333,"",1.27,1.225,"1.161",1.218666667,116.528446330271,0.00858159558023923
"146",3,24,"LCOR-367","112.685","111.935","111.051",111.8903333,"",0.927,1.022,"0.954",0.967666667,115.629004403848,0.00864834913312391
"147",4,24,"LCOR-608","138.06","132.878","132.761",134.5663333,"",1.127,1.111,"1.263",1.167,115.309625792631,0.0086723028812735
"148",5,24,"LCOR-229","157.385","126.92","151.13",145.145,"",0.838,1.106,"1.274",1.072666667,135.312305737939,0.00739031084088325
"149",6,24,"LCOR-503","no scan","114.087","123.006",118.5465,"",0.884,1.047,"0.922",0.951,124.654574132492,0.00802216851615189
"150",7,24,"LCOR-339","129.516","129.815","128.037",129.1226667,"",0.99,0.98,"0.95",0.973333333,132.660274052281,0.00753805166726781
"151",8,24,"LCOR-348","126.187","125.794","130.122",127.3676667,"",1.101,1.025,"1.034",1.053333333,120.918670955987,0.00827002142922981
"152",9,24,"LCOR-182","136.931","143.212","134.178",138.107,"",1.001,0.904,"1.07",0.991666667,139.267562978397,0.00718042291122101
"153",10,24,"LCOR-546","163","160.716","142.706",155.474,"",0.99,1.054,"1.22",1.088,142.898897058824,0.0069979546419337
"154",11,24,"LCOR-212","138.044","121.127","144.332",134.501,"",1.17,1.264,"1.014",1.149333333,117.025232052502,0.00854516570880514
"155",12,24,"LCOR-404","148.567","145.353","166.106",153.342,"",1.434,1.147,"1.378",1.319666667,116.197524598081,0.00860603531322143
"156",13,24,"LCOR-084","177.69","157.291","178.276",171.0856667,"",1.424,1.609,"1.378",1.470333333,116.358422175552,0.00859413509828524
"157",14,24,"LCOR-309","170.336","167.659","158.285",165.4266667,"",1.26,1.507,"1.073",1.28,129.239583359375,0.00773756750065738
"158",15,24,"LCOR-318","113.652","138.791","125.207",125.8833333,"",0.962,0.865,"1.082",0.969666667,129.821244334884,0.00770289951481607
"159",1,25,"LCOR-214","106.88","124.569","124.51",118.653,"",1.098,1.113,"0.9",1.037,114.419479267117,0.00873977059155689
"160",2,25,"LCOR-192","133.597","125.726","117.74",125.6876667,"",1.042,1.201,"1.147",1.13,111.228023628319,0.00899054003999582
"161",3,25,"LCOR-130","125.224","133.662","143.287",134.0576667,"",1.2,1.026,"0.93",1.052,127.431242110266,0.00784736916504903
"162",4,25,"LCOR-606","84.898","76.722","100.925",87.515,"",0.836,0.588,"0.686",0.703333333,124.428910011578,0.00803671751128378
"163",5,25,"LCOR-022","145.094","140.348","129.835",138.4256667,"",1.147,1.129,"1.158",1.144666667,120.930984268803,0.00826917936744169
"164",6,25,"LCOR-434","129.464","164.597","159.903",151.3213333,"",1.056,1.395,"1.48",1.310333333,115.483083188879,0.00865927694677536
"165",7,25,"LCOR-160","129.114","134.077","149.417",137.536,"",1.33,1.02,"0.985",1.111666667,123.720539693037,0.00808273228100279
"166",8,25,"LCOR-199","103.042","66.229","86.151",85.14066667,"",0.719,0.52,"0.863",0.700666667,121.513796331345,0.00822951821267434
"167",9,25,"LCOR-506","96.565","74.869","120.109",97.181,"",1.055,0.616,"0.826",0.832333333,116.757308817284,0.00856477431802513
"168",10,25,"LCOR-049","132.066","147.319","149.401",142.9286667,"",1.382,1.24,"1.107",1.243,114.986859774739,0.00869664587726823
"169",11,25,"LCOR-065","145.844","150.266","141.689",145.933,"",1.258,1.247,"1.193",1.232666667,118.38804756128,0.00844679864732446
"170",13,25,"LCOR-448","128.478","128.826","122.326",126.5433333,"",1.023,1.095,"1.15",1.089333333,116.165850678141,0.00860838184511455
"171",14,25,"LCOR-379","169.114","134.252","148.783",150.7163333,"",1.257,1.095,"1.565",1.305666667,115.432473777015,0.0086630734600017
"172",15,25,"LCOR-301","148.783","137.337","157.353",147.8243333,"",1.351,1.154,"1.271",1.258666667,117.44518002716,0.00851461081475414
"173",1,26,"LCOR-462","156.37","162.281","168.158",162.2696667,"",1.52,1.535,"1.593",1.549333333,104.735154949384,0.00954789249591772
"174",2,26,"LCOR-293","153.387","121.928","156",143.7716667,"",1.402,1.013,"1.345",1.253333333,114.711436227317,0.00871752662932717
"175",3,26,"LCOR-605","118.069","99.602","126.612",114.761,"",1.168,0.876,"1.089",1.044333333,109.889243571621,0.00910007174039961
"176",4,26,"LCOR-170","156.612","143.806","141.212",147.21,"",1.349,1.457,"1.535",1.447,101.734623358673,0.00982949527885334
"177",5,26,"LCOR-487","181.051","159.271","188.723",176.3483333,"",1.685,1.556,"1.367",1.536,114.810112825521,0.00871003411972706
"178",7,26,"LCOR-613","121.986","114.543","144.597",127.042,"",1.278,1.003,"0.943",1.074666667,118.215260509238,0.00845914474740637
"179",8,26,"LCOR-300","103.6","108.78","118.081",110.1536667,"",0.919,1.062,"0.958",0.979666667,112.439945555481,0.00889363646575734
"180",9,26,"LCOR-341","63.369","74.805","60.041",66.07166667,"",0.506,0.566,"0.484",0.518666667,127.387532058234,0.00785006180622808
"181",10,26,"LCOR-095","95.494","138.67","121.08",118.4146667,"",0.882,0.982,"1.143",1.002333333,118.139009051593,0.0084646046045916
"182",11,26,"LCOR-361","109.095","138.059","149.285",132.1463333,"",1.197,1.045,"0.8",1.014,130.321827712032,0.00767331165896224
"183",12,26,"LCOR-387","168.564","155.823","165.984",163.457,"",1.383,1.217,"1.387",1.329,122.992475545523,0.00813057868430229
"184",13,26,"LCOR-356","164.233","173.462","148.036",161.9103333,"",1.267,1.392,"1.327",1.328666667,121.859257345244,0.00820618820256607
"185",14,26,"LCOR-484","140.369","158.259","146.581",148.403,"",1.24,1.308,"1.02",1.189333333,124.778307209859,0.00801421354689595
"186",15,26,"LCOR-508","134.503","127.436","155.584",139.1743333,"",1.303,1.014,"0.94",1.085666667,128.192508373291,0.00780076786615366
