Douglas-fir Breeding Zone 7,,,,,,PS 2/2001,,,,,,,,,,,,,,,,,,,
Live Grafts & Progeny Testing,,,,,,rc 11/2023,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,cloneID,nf,rd,sz,el,BH_Ramets_Planned,BH_Ramets_2000,FH_subunit,FH_Ramets_Planned,FH_Ramets_2000,TestSet1,TestSet2,age(y),ht(ft),dbh(in),SPGR,lat(d/m),lon(d/m),lat(dd),lon(dd),asp,siteIndex,treeIndex,,
sampled,2933,11,53,525,22,4,3,Low,13,12,1,,67,112,23.5,0.400,39/25.3,121/09.6,39.4217,121.1600,8,130,140,,
unsampled,2940,3,56,526,39,4,3,High,12,11,,,78,121,23.2,0.407,38/42.4,120/33.2,38.7067,120.5533,8,130,140,,
sampled,2941,3,56,526,43,4,3,High,12,11,,,61,130,27.7,0.375,38/37.3,120/29.4,38.6217,120.4900,8,150,170,,
unsampled,2942,3,56,526,38,4,2,High,12,9,,,93,141,33.1,0.000,38/43.0,120/30.3,38.7167,120.5050,6,140,145,,
sampled,2943,3,55,526,46,4,2,High,12,11,,,52,87,21.4,0.476,38/49.8,120/30.5,38.8300,120.5083,5,125,125,,
sampled,2944,3,53,526,41,4,4,High,12,10,3,,60,94,24,0.488,38/54.8,120/41.9,38.9133,120.6983,6,110,125,,
sampled,2945,3,51,526,37,4,4,High,12,11,,,76,153,29,0.456,38/34.0,120/30.4,38.5667,120.5067,2,145,175,,
sampled,2946,3,55,526,45,4,3,High,12,7,,,64,112,22.1,0.426,38/49.9,120/32.2,38.8317,120.5367,1,140,145,,
sampled,2947,3,51,526,42,4,3,High,12,10,,,45,112,22,0.381,38/33.8,120/27.9,38.5633,120.4650,8,160,180,,
sampled,2948,3,56,526,42,4,3,High,12,11,,,60,125,25.8,0.397,38/38.7,120/30.5,38.6450,120.5083,7,155,170,,
sampled,2949,3,53,526,35,4,3,High,12,9,,,51,115,21.5,0.472,38/50.7,120/38.8,38.8450,120.6467,5,140,170,,
sampled,13551,0,,522,49,4,4,,,,4,,62,105,19.8,0.000,40/47.4,121/39.4,40.7900,121.6567,6,121,133,,
missing,14101,0,,525,39,,,High,13,10,1,,71,132,25.6,0.000,,,,,8,140,160,,
unsampled,14102,0,,525,34,4,4,High,12,11,2,,60,121,22.2,0.000,39/25.9,120/56.1,39.4317,120.9350,8,155,160,,
dead,14103,0,,525,32,4,3,Low,13,13,1,,98,143,27.8,0.000,39/21.6,120/54.9,39.3600,120.9150,8,140,140,,
sampled,14104,0,,525,44,4,3,High,12,9,2,,67,122,26.5,0.000,39/26.8,120/54.9,39.4467,120.9150,8,145,150,,
unsampled,14105,0,,525,34,4,3,Low,13,12,2,,85,136,28.1,0.000,39/20.7,120/53.8,39.3450,120.8967,8,140,145,,
unsampled,14106,0,,525,34,4,4,High,12,9,4,,85,134,28.5,0.000,39/20.7,120/53.8,39.3450,120.8967,7,140,140,,
unsampled,14107,0,,525,36,4,4,Low,13,13,3,,90,134,26.6,0.000,39/21.6,120/52.7,39.3600,120.8783,4,135,145,,
sampled,14108,0,,525,48,4,4,High,12,10,2,,82,111,24,0.000,39/24.2,120/47.1,39.4033,120.7850,4,120,120,,
sampled,14109,0,,525,44,4,4,High,12,11,2,,59,105,21.3,0.000,39/25.9,120/47.1,39.4317,120.7850,2,140,145,,
sampled,14110,0,,525,44,4,3,High,12,12,1,,56,118,26.8,0.000,39/25.9,120/47.1,39.4317,120.7850,7,160,160,,
sampled,14111,0,,525,44,4,4,High,12,12,4,,76,142,32.5,0.000,39/25.1,120/46.0,39.4183,120.7667,8,160,160,,
unsampled,14112,0,,525,31,4,4,Low,13,12,1,,57,112,30,0.000,39/25.1,121.01.6,39.4183,121.0267,1,145,150,,
sampled,14113,0,,524,40,4,4,High,12,9,3,,74,140,29.3,0.000,39/45.8,121/17.3,39.7633,121.2883,1,162,160,,
sampled,14114,0,,524,40,4,4,High,12,10,1,,88,144,39,0.000,39/46.7,121/17.3,39.7783,121.2883,,160,150,,
sampled,14115,0,,524,40,4,4,High,12,12,2,,84,139,33,0.000,39/45.8,121/17.3,39.7633,121.2883,1,150,150,,
unsampled,14116,0,,525,50,4,4,High,12,12,2,,80,138,29.7,0.000,39/32.0,120/46.0,39.5333,120.7667,7,155,160,,
unsampled,14117,0,,525,39,4,4,High,12,12,2,,50,108,29.9,0.000,39/26.8,120/57.2,39.4467,120.9533,6,150,160,,
unsampled,14118,0,,525,35,4,3,Low,13,12,3,,46,100,25,0.000,39/25.9,120/58.3,39.4317,120.9717,7,160,160,,
unsampled,14119,0,,525,40,4,4,High,12,11,1,,77,110,29.7,0.000,39/26.8,120/57.2,39.4467,120.9533,6,105,125,,
unsampled,14120,0,,525,36,4,4,,,,,,45,104,18.3,0.000,39/25.9,120/58.3,39.4317,120.9717,8,145,165,,
sampled,14121,0,,525,52,4,3,High,12,12,2,,56,112,31.9,0.000,39/19.9,120/41.6,39.3317,120.6933,8,125,160,,
sampled,14122,0,,525,50,4,4,High,12,12,1,,89,118,19.1,0.000,39/19.0,120/42.7,39.3167,120.7117,6,110,130,,
dead,14124,0,,525,34,4,3,Low,13,12,2,,41,104,21.3,0.000,39/12.9,120/50.5,39.2150,120.8417,2,175,180,,
sampled,14125,0,,525,44,4,4,High,12,11,2,,78,140,25.5,0.000,39/33.7,120.46.0,39.5617,120.7667,2,150,160,,
unsampled,14126,0,,525,45,4,4,High,12,7,1,,67,124,25.5,0.000,39/33.7,120.46.0,39.5617,120.7667,2,150,150,,
missing,14127,0,,525,35,,,Low,13,0,3,,106,146,27.5,0.000,39/25.9,120/47.1,39.4317,120.7850,8,135,160,,
sampled,14128,0,,525,44,4,3,High,12,8,1,,57,111,23.5,0.000,39/25.9,120/47.1,39.4317,120.7850,7,160,160,,
sampled,14250,0,,525,25,4,4,Low,13,11,2,,77,135,27.2,0.000,39/28.0,121/13.6,39.4667,121.2267,1,142,156,,
sampled,14251,0,,525,25,4,4,Low,13,8,4,,60,120,24.3,0.000,39/27.5,121/13.6,39.4583,121.2267,9,158,159,,
dead,14252,0,,525,27,4,3,Low,13,11,1,,84,147,32.5,0.000,39/27.2,121/12.5,39.4533,121.2083,5,160,160,,
unsampled,14253,0,,525,29,4,4,Low,13,12,2,,72,158,30.7,0.000,39/26.6,121/12.3,39.4433,121.2050,3,172,188,,
dead,14254,0,,525,29,4,3,,,,,,84,156,34.4,0.000,39/26.9,121/12.5,39.4483,121.2083,3,158,168,,
unsampled,14255,0,,525,31,4,4,Low,13,12,4,,67,124,28.3,0.000,39/28.5,121/11.8,39.4750,121.1967,3,144,156,,
unsampled,14256,0,,525,39,4,4,High,13,8,1,,77,111,23.3,0.000,39/33.3,121/08.9,39.5550,121.1483,2,112,128,,
unsampled,14257,0,,525,39,4,4,High,12,8,2,,81,135,34.7,0.000,39/33.5,121/09.2,39.5583,121.1533,2,150,150,,
unsampled,14258,0,,525,36,4,4,Low,13,12,4,,86,150,36,0.000,39/34.2,121/09.2,39.5700,121.1533,8,154,162,,
sampled,14259,0,,525,37,4,4,High,14,3,1,,41,104,26.4,0.000,39/35.1,121/07.8,39.5850,121.1300,3,182,182,,
unsampled,14260,0,,525,39,4,4,High,12,4,2,,66,128,31.5,0.000,39/35.8,121/08.5,39.5967,121.1417,9,138,160,,
dead,14261,0,,525,38,4,4,High,12,8,3,,75,125,31.1,0.000,39/35.1,121/08.9,39.5850,121.1483,9,128,146,,
unsampled,14262,0,,525,41,4,4,High,12,11,1,,36,86,23.9,0.000,39/36.5,121/07.8,39.6083,121.1300,9,140,168,,
unsampled,14263,0,,525,38,4,4,High,13,8,1,,86,146,29,0.000,39/36.5,121/05.1,39.6083,121.0850,4,152,156,,
unsampled,14264,0,,525,43,4,4,High,12,10,2,,80,153,41.7,0.000,39/38.4,121/03.9,39.6400,121.0650,4,158,172,,
unsampled,14265,0,,525,40,4,4,High,12,7,4,,65,133,23.6,0.000,39/34.9,121/04.8,39.5817,121.0800,4,141,163,,
unsampled,14266,0,,525,39,4,3,High,13,12,1,,82,146,33.6,0.000,39/34.2,121/02.9,39.5700,121.0483,9,154,162,,
unsampled,14267,0,,525,43,4,4,High,12,5,1,,91,146,33,0.000,39/36.0,121/01.9,39.6000,121.0317,6,146,154,,
sampled,14268,0,,525,37,4,3,,,,,,76,174,35.4,0.000,39/33.1,121/05.0,39.5517,121.0833,6,174,204,,
sampled,14269,0,,525,42,4,2,High,11,0,2,,76,153,34.8,0.000,39/35.8,121/01.9,39.5967,121.0317,6,148,176,,
unsampled,14270,0,,525,39,4,4,,,,,,61,128,28.8,0.000,39/34.0,121/02.8,39.5667,121.0467,9,176,168,,
unsampled,14271,0,,525,38,4,4,High,12,8,2,,89,155,33.4,0.000,39/36.7,121/05.0,39.6117,121.0833,8,158,164,,
missing,14272,0,,525,44,4,4,,,,3,,83,119,29.1,0.000,39/36.3,120/59.4,39.6050,120.9900,3,132,132,,
sampled,14273,0,,525,44,4,4,High,12,5,4,,82,130,32.5,0.000,39/36.1,120/59.3,39.6017,120.9883,4,139,144,,
sampled,14274,0,,525,47,4,4,High,12,12,1,,80,139,30.5,0.000,39/37.1,120/59.6,39.6183,120.9933,9,138,156,,
sampled,14461,0,,525,30,4,4,,,,,,63,113,24.8,0.000,39/35.5,121/15.0,39.5917,121.2500,5,142,145,,
unsampled,14462,0,,525,30,4,4,Low,13,8,1,,55,109,24,0.000,39/35.5,121/15.0,39.5917,121.2500,8,147,154,,
sampled,14463,0,,525,33,4,4,,,,,,37,104,17.9,0.000,39/35.5,121/15.0,39.5917,121.2500,7,170,198,,
sampled,14464,0,,525,32,4,3,Low,13,12,1,,68,170,33.8,0.000,39/36.3,121/12.8,39.6050,121.2133,4,184,208,,
sampled,14465,0,,525,31,4,4,,,,,,45,104,20,0.000,39/34.6,121/15.0,39.5767,121.2500,7,148,170,,
unsampled,14466,0,,525,29,4,4,Low,13,8,1,,63,137,29.2,0.000,39/34.6,121/12.8,39.5767,121.2133,5,140,178,,
sampled,14467,0,,525,31,4,4,Low,13,4,1,,38,92,15.3,0.000,39/35.5,121/13.9,39.5917,121.2317,9,162,170,,
sampled,14468,0,,525,34,4,4,Low,13,11,1,,67,130,27.5,0.000,39/39.8,121/12.8,39.6633,121.2133,3,150,160,,
