"","row","column","event_short","construct","construct2","ID","DS_1","DS_18","DS_32","DS_55","delta1","delta2","delta3"
"84",11,9,"4A","LC-102","transgenic","LCOR-231",0,0,0,0,0,0,0
"85",12,9,"13-15E","LC-102","transgenic","LCOR-075",1,1,1,1,0,0,0
"86",13,9,"CT3","Control","control","LCOR-504",1,2,2,2,1,0,0
"87",14,9,"16-20","Escape","control","LCOR-511",0,0,0,0,0,0,0
"88",15,9,"5C","LC-102","transgenic","LCOR-041",0,0,0,0,0,0,0
"89",3,10,"4B","LC-102","transgenic","LCOR-023",0,0,0,1,0,0,1
"90",4,10,"4B","LC-102","transgenic","LCOR-020",0,0,0,1,0,0,1
"91",5,10,"4A","LC-102","transgenic","LCOR-010",0,1,1,2,1,0,1
"92",6,10,"8-9D","Escape","control","LCOR-292",1,1,1,2,0,0,1
"93",7,10,"8-9D","Escape","control","LCOR-420",0,1,1,1,1,0,0
"94",8,10,"5A","LC-102","transgenic","LCOR-157",0,1,3,3,1,2,-1
"95",10,10,"4B","LC-102","transgenic","LCOR-263",1,2,2,2,1,0,0
"96",11,10,"4B","LC-102","transgenic","LCOR-018",0,2,2,2,2,0,-1
"97",12,10,"8-9D","Escape","control","LCOR-286",0,3,3,3,3,0,-2
"98",13,10,"5","LC-102","transgenic","LCOR-133",3,3,3,4,0,0,1
"99",14,10,"5C","LC-102","transgenic","LCOR-039",0,1,1,1,1,0,0
"100",15,10,"CT3","Control","control","LCOR-203",1,1,1,1,0,0,0
"101",2,11,"5A","LC-102","transgenic","LCOR-164",0,0,0,1,0,0,1
"102",3,11,"5","LC-102","transgenic","LCOR-529",1,1,1,1,0,0,0
"103",4,11,"7","LC-102","transgenic","LCOR-386",0,1,1,1,1,0,0
"104",5,11,"4B","LC-102","transgenic","LCOR-028",0,1,1,1,1,0,0
"105",6,11,"5","LC-102","transgenic","LCOR-527",0,1,1,2,1,0,1
"106",8,11,"7","LC-102","transgenic","LCOR-150",1,1,1,1,0,0,0
"107",9,11,"4A","LC-102","transgenic","LCOR-233",1,1,1,1,-1,-1,-1
"108",10,11,"5A","LC-102","transgenic","LCOR-161",1,1,1,1,0,0,-1
"109",11,11,"4B","LC-102","transgenic","LCOR-019",1,2,2,2,1,0,-1
"110",12,11,"1","LC-102","transgenic","LCOR-360",2,2,3,3,0,1,0
"111",13,11,"8-9D","Escape","control","LCOR-289",0,0,1,1,0,1,0
"112",14,11,"5C","LC-102","transgenic","LCOR-040",0,1,2,2,1,1,0
"113",2,12,"1C","LC-102","transgenic","LCOR-180",0,1,1,1,1,0,0
"114",3,12,"1C","LC-102","transgenic","LCOR-403",0,1,1,1,1,0,0
"115",4,12,"1","LC-102","transgenic","LCOR-364",0,1,1,2,1,0,1
"116",5,12,"5C","LC-102","transgenic","LCOR-277",0,0,0,1,0,0,1
"117",7,12,"16-20","Escape","control","LCOR-111",1,1,2,2,0,1,0
"118",8,12,"13-15E","LC-102","transgenic","LCOR-303",1,1,1,2,0,0,1
"119",9,12,"5A","LC-102","transgenic","LCOR-588",0,0,0,1,0,0,1
"120",10,12,"5C","LC-102","transgenic","LCOR-561",1,1,1,1,-1,-1,0
"121",11,12,"5C","LC-102","transgenic","LCOR-035",1,2,2,2,1,0,-1
"122",12,12,"5A","LC-102","transgenic","LCOR-241",0,0,0,1,0,0,1
"123",13,12,"2H","LC-102","transgenic","LCOR-218",1,3,3,3,2,0,-3
"124",14,12,"4A","LC-102","transgenic","LCOR-002",1,3,3,3,2,0,-3
"125",15,12,"4B","LC-102","transgenic","LCOR-026",2,3,3,3,1,0,0
"126",2,13,"2H","LC-102","transgenic","LCOR-066",0,1,1,1,1,0,0
"127",3,13,"4B","LC-102","transgenic","LCOR-423",0,0,1,1,0,1,0
"128",4,13,"CT3","Control","control","LCOR-200",0,1,1,1,1,0,0
"129",6,13,"5","LC-102","transgenic","LCOR-137",0,1,1,1,1,0,0
"130",7,13,"CT3","Control","control","LCOR-338",0,0,0,0,0,0,0
"131",8,13,"4A","LC-102","transgenic","LCOR-544",0,1,1,1,1,0,0
"132",9,13,"16-20","Escape","control","LCOR-320",0,3,3,3,3,0,-2
"133",10,13,"13-15E","LC-102","transgenic","LCOR-077",0,0,0,0,0,0,0
"134",12,13,"8-9D","Escape","control","LCOR-088",0,0,0,0,0,0,0
"135",13,13,"5C","LC-102","transgenic","LCOR-030",0,0,0,0,0,0,0
"136",14,13,"5A","LC-102","transgenic","LCOR-156",1,1,1,1,0,0,-1
"137",15,13,"1","LC-102","transgenic","LCOR-051",2,3,4,4,1,1,0
"138",2,14,"2H","LC-102","transgenic","LCOR-060",1,2,2,2,1,0,-1
"139",3,14,"13-15E","LC-102","transgenic","LCOR-604",0,0,1,1,0,1,0
"140",4,14,"5","LC-102","transgenic","LCOR-368",2,3,3,3,1,0,0
"141",5,14,"1","LC-102","transgenic","LCOR-046",0,0,0,1,0,0,1
"142",6,14,"5C","LC-102","transgenic","LCOR-031",0,1,1,1,1,0,0
"143",7,14,"CT3","Control","control","LCOR-347",0,2,2,2,2,0,0
"144",8,14,"1C","LC-102","transgenic","LCOR-176",0,1,1,1,1,0,0
"145",9,14,"5C","LC-102","transgenic","LCOR-269",0,1,1,1,1,0,0
"146",10,14,"7","LC-102","transgenic","LCOR-147",0,0,0,1,0,0,1
"147",11,14,"4B","LC-102","transgenic","LCOR-257",0,0,0,1,0,0,1
"148",12,14,"4B","LC-102","transgenic","LCOR-256",0,2,2,2,2,0,-1
"149",13,14,"4A","LC-102","transgenic","LCOR-014",0,0,0,0,0,0,0
"150",14,14,"8-9D","Escape","control","LCOR-091",1,3,3,3,2,0,0
"151",15,14,"4B","LC-102","transgenic","LCOR-264",3,3,4,4,0,1,0
"152",2,15,"1C","LC-102","transgenic","LCOR-486",0,2,2,2,2,0,0
"153",4,15,"1","LC-102","transgenic","LCOR-357",1,1,1,1,0,0,0
"154",5,15,"13-15B","LC-102","transgenic","LCOR-473",0,1,1,1,1,0,-1
"155",6,15,"5","LC-102","transgenic","LCOR-525",0,1,1,1,1,0,0
"156",7,15,"1","LC-102","transgenic","LCOR-437",0,0,0,1,0,0,1
"157",8,15,"7","LC-102","transgenic","LCOR-550",0,1,1,1,1,0,0
"158",9,15,"13-15E","LC-102","transgenic","LCOR-307",0,0,0,1,0,0,1
"159",10,15,"2H","LC-102","transgenic","LCOR-449",0,0,0,1,0,0,1
"160",11,15,"16-20","Escape","control","LCOR-507",1,2,3,3,1,1,-1
"161",12,15,"7","LC-102","transgenic","LCOR-154",1,1,1,1,0,0,0
"162",13,15,"5C","LC-102","transgenic","LCOR-562",2,3,3,3,1,0,0
"163",15,15,"1C","LC-102","transgenic","LCOR-393",1,1,1,1,0,0,0
"164",2,16,"5A","LC-102","transgenic","LCOR-247",1,1,1,1,0,0,0
"165",3,16,"13-15E","LC-102","transgenic","LCOR-611",1,1,1,1,0,0,0
"166",5,16,"5","LC-102","transgenic","LCOR-528",1,1,1,1,0,0,0
"167",6,16,"13-15E","LC-102","transgenic","LCOR-072",0,0,0,0,0,0,0
"168",7,16,"13-15E","LC-102","transgenic","LCOR-610",0,1,1,1,1,0,-1
"169",8,16,"16-20","Escape","control","LCOR-516",1,1,2,2,0,1,-1
"170",9,16,"5C","LC-102","transgenic","LCOR-280",0,1,1,1,1,0,0
"171",10,16,"5C","LC-102","transgenic","LCOR-033",1,1,1,1,0,0,0
"172",12,16,"5","LC-102","transgenic","LCOR-372",1,2,3,3,1,1,-1
"173",13,16,"16-20","Escape","control","LCOR-105",0,1,2,2,1,1,0
"174",14,16,"1","LC-102","transgenic","LCOR-352",0,2,2,2,2,0,-1
"175",15,16,"13-15E","LC-102","transgenic","LCOR-614",1,2,3,3,1,1,0
"176",2,17,"4B","LC-102","transgenic","LCOR-016",1,1,1,1,0,0,0
"177",3,17,"5","LC-102","transgenic","LCOR-132",1,1,1,2,0,0,1
"178",4,17,"5C","LC-102","transgenic","LCOR-574",1,2,3,3,1,1,0
"179",5,17,"13-15E","LC-102","transgenic","LCOR-079",1,1,3,3,0,2,0
"180",6,17,"2H","LC-102","transgenic","LCOR-458",0,1,1,1,1,0,0
"181",7,17,"8-9D","Escape","control","LCOR-411",0,0,0,1,0,0,1
"182",8,17,"1C","LC-102","transgenic","LCOR-394",0,0,0,1,0,0,1
"183",9,17,"5C","LC-102","transgenic","LCOR-275",0,1,1,2,1,0,1
"184",12,17,"5","LC-102","transgenic","LCOR-134",4,4,5,5,0,1,0
"185",13,17,"CT3","Control","control","LCOR-502",1,2,2,2,1,0,0
"186",14,17,"1C","LC-102","transgenic","LCOR-481",2,2,3,3,0,1,0
"187",15,17,"5C","LC-102","transgenic","LCOR-271",1,2,3,3,1,1,-1
"188",2,18,"2H","LC-102","transgenic","LCOR-058",1,2,2,3,1,0,1
"189",3,18,"1","LC-102","transgenic","LCOR-052",1,1,1,1,0,0,0
"190",4,18,"13-15B","LC-102","transgenic","LCOR-475",0,1,1,1,1,0,0
"191",5,18,"8-9D","Escape","control","LCOR-085",1,2,2,3,1,0,1
"192",6,18,"1","LC-102","transgenic","LCOR-351",2,2,3,3,0,1,0
"193",10,18,"13-15E","LC-102","transgenic","LCOR-306",0,0,0,1,0,0,1
"194",11,18,"7","LC-102","transgenic","LCOR-392",2,3,3,3,1,0,0
"195",12,18,"5A","LC-102","transgenic","LCOR-243",2,2,2,2,0,0,0
"196",13,18,"5C","LC-102","transgenic","LCOR-572",1,1,1,2,0,0,1
"197",14,18,"13-15B","LC-102","transgenic","LCOR-463",2,3,3,3,1,0,0
"198",15,18,"4B","LC-102","transgenic","LCOR-260",1,1,2,2,0,1,-1
"200",4,19,"8-9D","Escape","control","LCOR-089",4,4,4,4,0,0,0
"201",5,19,"CT3","Control","control","LCOR-491",1,1,1,1,0,0,0
"202",7,19,"5A","LC-102","transgenic","LCOR-585",2,2,4,4,0,2,-1
"203",8,19,"7","LC-102","transgenic","LCOR-554",2,2,3,3,0,1,0
"204",9,19,"7","LC-102","transgenic","LCOR-152",0,1,1,1,1,0,0
"205",10,19,"7","LC-102","transgenic","LCOR-558",1,1,2,2,0,1,0
"206",11,19,"5","LC-102","transgenic","LCOR-138",1,1,1,1,0,0,0
"207",12,19,"7","LC-102","transgenic","LCOR-383",1,1,1,2,0,0,1
"208",13,19,"5C","LC-102","transgenic","LCOR-568",2,2,2,3,0,0,1
"209",14,19,"13-15E","LC-102","transgenic","LCOR-080",1,1,1,1,0,0,0
"210",15,19,"7","LC-102","transgenic","LCOR-391",0,1,1,2,1,0,1
"211",2,20,"5A","LC-102","transgenic","LCOR-162",1,1,1,1,0,0,0
"212",3,20,"5A","LC-102","transgenic","LCOR-242",1,1,1,1,0,0,0
"213",5,20,"5A","LC-102","transgenic","LCOR-166",1,1,1,1,0,0,0
"214",7,20,"2H","LC-102","transgenic","LCOR-059",2,2,2,2,0,0,-1
"215",8,20,"16-20","Escape","control","LCOR-101",2,2,2,2,0,0,0
"216",9,20,"2H","LC-102","transgenic","LCOR-067",0,1,1,1,1,0,0
"217",11,20,"16-20","Escape","control","LCOR-103",1,1,1,2,0,0,1
"218",12,20,"4A","LC-102","transgenic","LCOR-230",2,2,2,3,0,0,1
"219",13,20,"4A","LC-102","transgenic","LCOR-534",0,1,1,2,1,0,1
"220",14,20,"4B","LC-102","transgenic","LCOR-261",1,1,1,1,0,0,0
"221",15,20,"CT3","Control","control","LCOR-493",1,1,1,1,0,0,0
"222",2,21,"8-9D","Escape","control","LCOR-098",0,0,0,1,0,0,1
"223",3,21,"1C","LC-102","transgenic","LCOR-482",1,1,1,1,0,0,0
"224",4,21,"CT3","Control","control","LCOR-350",0,1,1,1,1,0,0
"225",5,21,"5","LC-102","transgenic","LCOR-129",1,1,1,2,0,0,1
"226",6,21,"4A","LC-102","transgenic","LCOR-012",1,1,1,1,0,0,0
"227",7,21,"5A","LC-102","transgenic","LCOR-248",1,1,1,2,-1,-1,1
"228",8,21,"13-15B","LC-102","transgenic","LCOR-476",3,3,3,3,0,0,-1
"229",9,21,"5A","LC-102","transgenic","LCOR-584",1,1,1,1,0,0,0
"230",10,21,"16-20","Escape","control","LCOR-518",3,3,3,3,0,0,0
"231",11,21,"2H","LC-102","transgenic","LCOR-450",1,2,2,2,1,0,0
"232",12,21,"4B","LC-102","transgenic","LCOR-017",0,1,1,1,1,0,0
"233",13,21,"CT3","Control","control","LCOR-495",0,2,3,3,2,1,0
"234",14,21,"7","LC-102","transgenic","LCOR-144",1,2,3,3,1,1,0
"235",15,21,"CT3","Control","control","LCOR-204",1,1,1,1,0,0,0
"236",2,22,"13-15E","LC-102","transgenic","LCOR-616",1,1,1,1,-1,-1,0
"237",3,22,"5A","LC-102","transgenic","LCOR-245",5,5,5,5,0,0,0
"238",4,22,"5A","LC-102","transgenic","LCOR-165",1,1,2,3,0,1,1
"239",5,22,"CT3","Control","control","LCOR-209",1,1,2,3,0,1,1
"240",6,22,"CT3","Control","control","LCOR-340",1,1,1,1,0,0,0
"241",8,22,"7","LC-102","transgenic","LCOR-149",1,1,1,1,0,0,0
"242",10,22,"1C","LC-102","transgenic","LCOR-169",2,2,2,2,0,0,0
"243",11,22,"2H","LC-102","transgenic","LCOR-063",1,2,2,2,1,0,0
"244",12,22,"1C","LC-102","transgenic","LCOR-483",0,1,1,1,1,0,0
"245",13,22,"16-20","Escape","control","LCOR-514",1,2,2,2,1,0,0
"246",14,22,"4B","LC-102","transgenic","LCOR-266",4,4,4,4,0,0,0
"247",2,23,"1C","LC-102","transgenic","LCOR-398",1,2,2,2,1,0,-1
"248",3,23,"1C","LC-102","transgenic","LCOR-171",1,1,1,2,0,0,1
"249",4,23,"4B","LC-102","transgenic","LCOR-422",4,4,4,5,0,0,1
"250",5,23,"16-20","Escape","control","LCOR-319",1,1,1,1,0,0,0
"251",6,23,"16-20","Escape","control","LCOR-106",4,4,4,4,0,0,0
"252",7,23,"1","LC-102","transgenic","LCOR-445",1,1,1,1,0,0,0
"253",8,23,"1C","LC-102","transgenic","LCOR-401",1,1,1,1,0,0,0
"254",9,23,"8-9D","Escape","control","LCOR-291",1,1,1,1,0,0,0
"255",10,23,"CT3","Control","control","LCOR-207",2,2,2,2,0,0,0
"256",11,23,"8-9D","Escape","control","LCOR-090",0,0,0,1,0,0,1
"257",12,23,"4B","LC-102","transgenic","LCOR-015",1,1,1,1,0,0,0
"258",13,23,"CT3","Control","control","LCOR-202",0,1,1,1,1,0,0
"259",14,23,"8-9D","Escape","control","LCOR-290",0,0,0,1,0,0,1
"260",2,24,"1C","LC-102","transgenic","LCOR-178",1,2,2,2,1,0,0
"261",3,24,"5","LC-102","transgenic","LCOR-367",2,2,2,2,0,0,0
"262",4,24,"13-15E","LC-102","transgenic","LCOR-608",3,4,4,4,1,0,0
"263",5,24,"4A","LC-102","transgenic","LCOR-229",1,1,1,1,0,0,0
"264",6,24,"CT3","Control","control","LCOR-503",3,3,3,3,-1,0,0
"265",7,24,"CT3","Control","control","LCOR-339",1,1,1,1,0,0,0
"266",8,24,"CT3","Control","control","LCOR-348",1,1,1,1,0,0,0
"267",9,24,"1C","LC-102","transgenic","LCOR-182",3,3,3,3,-1,0,-1
"268",10,24,"4A","LC-102","transgenic","LCOR-546",1,1,1,1,-1,-1,0
"269",11,24,"2H","LC-102","transgenic","LCOR-212",2,2,2,2,0,0,-1
"270",12,24,"1C","LC-102","transgenic","LCOR-404",2,2,2,2,0,0,0
"271",13,24,"13-15E","LC-102","transgenic","LCOR-084",1,1,1,1,-1,-1,0
"272",14,24,"16-20","Escape","control","LCOR-309",2,2,3,3,0,1,0
"273",15,24,"16-20","Escape","control","LCOR-318",0,0,0,1,0,0,1
"274",2,25,"13-15B","LC-102","transgenic","LCOR-192",1,1,1,1,0,0,0
"275",3,25,"5","LC-102","transgenic","LCOR-130",2,2,2,2,-1,0,0
"276",4,25,"13-15E","LC-102","transgenic","LCOR-606",2,2,2,2,0,0,0
"277",5,25,"4B","LC-102","transgenic","LCOR-022",1,2,2,2,1,0,0
"278",6,25,"4B","LC-102","transgenic","LCOR-434",0,0,0,1,0,0,1
"279",7,25,"5A","LC-102","transgenic","LCOR-160",1,1,1,2,0,0,1
"280",8,25,"CT3","Control","control","LCOR-199",1,2,2,2,1,0,0
"281",9,25,"16-20","Escape","control","LCOR-506",0,1,1,2,1,0,1
"282",10,25,"1","LC-102","transgenic","LCOR-049",1,1,1,2,0,0,1
"283",11,25,"2H","LC-102","transgenic","LCOR-065",1,2,2,2,1,0,0
"284",12,25,"1","LC-102","transgenic","LCOR-055",0,0,0,1,0,0,1
"285",13,25,"1","LC-102","transgenic","LCOR-448",1,2,2,2,1,0,0
"286",14,25,"7","LC-102","transgenic","LCOR-379",0,0,0,1,0,0,1
"287",15,25,"13-15E","LC-102","transgenic","LCOR-301",1,1,2,2,0,1,0
"288",2,26,"8-9D","Escape","control","LCOR-293",0,0,0,1,0,0,1
"289",3,26,"13-15E","LC-102","transgenic","LCOR-605",1,1,2,2,0,1,0
"290",4,26,"1C","LC-102","transgenic","LCOR-170",0,1,1,2,1,0,1
"291",5,26,"1C","LC-102","transgenic","LCOR-487",2,2,3,3,0,1,0
"292",6,26,"5C","LC-102","transgenic","LCOR-278",2,3,3,3,1,0,0
"293",7,26,"13-15E","LC-102","transgenic","LCOR-613",0,0,0,1,0,0,1
"294",8,26,"13-15E","LC-102","transgenic","LCOR-300",1,1,1,2,0,0,1
"295",9,26,"CT3","Control","control","LCOR-341",2,2,2,3,0,0,1
"296",10,26,"8-9D","Escape","control","LCOR-095",2,2,2,3,0,0,1
"297",11,26,"1","LC-102","transgenic","LCOR-361",1,1,2,2,0,1,0
"298",12,26,"7","LC-102","transgenic","LCOR-387",3,3,4,4,0,1,0
"299",13,26,"1","LC-102","transgenic","LCOR-356",1,1,1,1,0,0,0
"300",14,26,"1C","LC-102","transgenic","LCOR-484",0,0,0,1,0,0,1
"301",15,26,"16-20","Escape","control","LCOR-508",1,2,3,3,1,1,0
"302",2,27,"1","LC-102","transgenic","LCOR-441",0,0,0,1,0,0,1
"303",4,27,"1C","LC-102","transgenic","LCOR-399",0,0,0,1,0,0,1
"304",7,27,"CT3","Control","control","LCOR-197",2,3,3,3,1,0,0
"305",8,27,"5","LC-102","transgenic","LCOR-373",3,3,3,3,0,0,0
"307",10,27,"16-20","Escape","control","LCOR-322",1,1,2,3,0,1,1
"308",11,27,"1","LC-102","transgenic","LCOR-048",4,4,4,4,-1,-1,-1
"309",12,27,"1C","LC-102","transgenic","LCOR-175",1,1,1,2,-1,-1,1
"310",13,27,"13-15E","LC-102","transgenic","LCOR-295",1,1,1,1,-1,-1,0
"311",14,27,"7","LC-102","transgenic","LCOR-388",1,1,1,2,0,0,1
"312",15,27,"4B","LC-102","transgenic","LCOR-429",0,1,1,2,1,0,1
"313",2,28,"5C","LC-102","transgenic","LCOR-276",1,1,1,1,0,0,0
"314",3,28,"8-9D","Escape","control","LCOR-086",2,2,2,3,-1,0,1
"315",4,28,"4B","LC-102","transgenic","LCOR-425",1,1,1,2,-1,0,1
"316",6,28,"4A","LC-102","transgenic","LCOR-227",1,1,1,2,0,0,1
"317",8,28,"5","LC-102","transgenic","LCOR-128",4,4,4,4,-1,-1,0
"318",9,28,"7","LC-102","transgenic","LCOR-551",1,1,1,2,0,0,1
"319",10,28,"CT3","Control","control","LCOR-337",2,2,2,2,-1,0,0
"320",11,28,"8-9D","Escape","control","LCOR-096",2,2,2,3,0,0,1
"321",12,28,"1C","LC-102","transgenic","LCOR-405",1,1,2,2,0,1,0
"322",13,28,"7","LC-102","transgenic","LCOR-559",2,2,2,2,0,0,0
"323",15,28,"13-15E","LC-102","transgenic","LCOR-083",3,3,3,3,-1,-1,0
"324",2,29,"7","LC-102","transgenic","LCOR-557",1,1,1,2,0,0,1
"325",3,29,"13-15E","LC-102","transgenic","LCOR-297",2,2,3,3,0,1,0
"326",4,29,"7","LC-102","transgenic","LCOR-381",1,1,2,2,0,1,0
"327",5,29,"7","LC-102","transgenic","LCOR-382",1,1,1,1,0,0,0
"328",6,29,"13-15B","LC-102","transgenic","LCOR-185",2,2,3,3,0,1,0
"329",7,29,"1","LC-102","transgenic","LCOR-044",3,3,3,3,0,0,0
"330",9,29,"5","LC-102","transgenic","LCOR-127",1,2,2,2,1,0,0
"331",3,45,"16-20","Escape","control","LCOR-316",2,3,3,3,1,0,-2
"332",4,45,"16-20","Escape","control","LCOR-100",2,3,3,3,1,0,-2
"333",5,45,"13-15E","LC-102","transgenic","LCOR-304",2,2,3,3,0,1,0
"334",6,45,"CT3","Control","control","LCOR-494",1,1,1,2,0,0,1
"335",7,45,"1","LC-102","transgenic","LCOR-439",1,1,1,1,0,0,0
"336",8,45,"5","LC-102","transgenic","LCOR-378",0,1,1,1,1,0,0
