row,column,ID,event,event_short,construct,construct2,block,H32,H144,D144,V144,R144,H298,D298,V298,R298,H334,D334,V334,R334,H356,D356,V356,R356,H384,D384,V384,R384,H419,D419,V419,R419,Aug_SPAD
14,4,LCOR-201,CT717 3,CT3,Control,control,large,1498.6,1555.5,12,223992,129.625,1682.496,12,242279.424,140.208,1987.296,15.2,459144.8678,130.7431579,2377.44,19,858255.84,125.1284211,2956.56,22,1430975.04,134.3890909,3688.08,25,2305050,147.5232,37.9
15,4,LCOR-211,LC-102 2H,2H,LC-102,transgenic,large,1409.7,1586,11,191906,144.1818182,1624.584,11,196574.664,147.6894545,1950.72,14.9,433079.3472,130.9208054,2346.96,18,760415.04,130.3866667,2773.68,20,1109472,138.684,3459.48,24,1992660.48,144.145,40.16666667
1,5,LCOR-082,LC-102 13-15E,13-15E,LC-102,transgenic,large,1117.6,1189.5,8,76128,148.6875,1207.008,8,77248.512,150.876,1524,10.1,155463.24,150.8910891,1905,14.5,400526.25,131.3793103,2346.96,16,600821.76,146.685,3169.92,21.5,1465295.52,147.4381395,42.56666667
2,5,LCOR-344,CT717 3,CT3,Control,control,large,1117.6,1220,10,122000,122,1264.92,9,102458.52,140.5466667,1584.96,13,267858.24,121.92,2011.68,15,452628,134.112,2545.08,18,824605.92,141.3933333,3322.32,23,1757507.28,144.4486957,36.36666667
3,5,LCOR-070,LC-102 2H,2H,LC-102,transgenic,large,1435.1,1433.5,10,143350,143.35,1453.896,10,145389.6,145.3896,1539.24,12.2,229100.4816,126.1672131,2042.16,15,459486,136.144,2499.36,12,359907.84,208.28,3230.88,20.5,1357777.32,157.6039024,44.36666667
4,5,LCOR-282,LC-102 8-9D,8-9D,Escape,control,large,1409.7,1494.5,10,149450,149.45,1539.24,11,186248.04,139.9309091,1889.76,14.9,419545.6176,126.8295302,2316.48,19,836249.28,121.92,2834.64,20,1133856,141.732,3550.92,24,2045329.92,147.955,35.86666667
5,5,LCOR-027,LC-102 4B,4B,LC-102,transgenic,large,1320.8,1342,9,108702,149.1111111,1399.032,10,139903.2,139.9032,1706.88,13.1,292917.6768,130.2961832,2164.08,17,625419.12,127.2988235,2697.48,20,1078992,134.874,3566.16,24,2054108.16,148.59,35.5
6,5,LCOR-573,LC-102 5C,5C,LC-102,transgenic,large,1219.2,1403,11,169763,127.5454545,1463.04,10,146304,146.304,1798.32,13.1,308609.6952,137.2763359,2225.04,17.5,681418.5,127.1451429,2682.24,19,968288.64,141.1705263,3596.64,24,2071664.64,149.86,39.93333333
7,5,LCOR-068,LC-102 2H,2H,LC-102,transgenic,large,1295.4,1418.25,10,141825,141.825,1508.76,10,150876,150.876,1859.28,14,364418.88,132.8057143,2316.48,18,750539.52,128.6933333,2895.6,21,1276959.6,137.8857143,3611.88,24,2080442.88,150.495,38.6
8,5,LCOR-575,LC-102 5A,5A,LC-102,transgenic,large,1612.9,2196,16,562176,137.25,2279.904,17,658892.256,134.112,2667,23,1410843,115.9565217,3230.88,30,2907792,107.696,3947.16,35,4835271,112.776,5044.44,40,8071104,126.111,32.03333333
9,5,LCOR-346,CT717 3,CT3,Control,control,large,1155.7,1342,12,193248,111.8333333,1392.936,11,168545.256,126.6305455,1828.8,15.9,462338.928,115.0188679,2255.52,19,814242.72,118.7115789,2834.64,22,1371965.76,128.8472727,3688.08,26,2493142.08,141.8492308,39.23333333
10,5,LCOR-092,LC-102 8-9D,8-9D,Escape,control,large,1346.2,1311.5,9,106231.5,145.7222222,1341.12,9,108630.72,149.0133333,1645.92,12,237012.48,137.16,2011.68,15.5,483306.12,129.7858065,2849.88,18,923361.12,158.3266667,3291.84,23,1741383.36,143.1234783,37.36666667
11,5,LCOR-142,LC-102 7,7,LC-102,transgenic,large,965.2000001,1037,7,50813,148.1428571,1030.224,7,50480.976,147.1748571,1310.64,10.9,155717.1384,120.2422018,1676.4,12.5,261937.5,134.112,2057.4,15,462915,137.16,2910.84,19,1050813.24,153.2021053,44.1
12,5,LCOR-563,LC-102 5C,5C,LC-102,transgenic,large,1231.9,1250.5,7,61274.5,178.6428571,1286.256,8,82320.384,160.782,1554.48,12.1,227591.4168,128.4694215,2011.68,14,394289.28,143.6914286,2529.84,17,731123.76,148.8141176,3413.76,21,1505468.16,162.56,39.93333333
14,5,LCOR-314,LC-102 16-20,16-20,Escape,control,large,1333.5,1433.5,10,143350,143.35,1490.472,10,149047.2,149.0472,1798.32,14.1,357523.9992,127.5404255,2240.28,17.5,686085.75,128.016,2788.92,21,1229913.72,132.8057143,3596.64,25,2247900,143.8656,34.56666667
15,5,LCOR-042,LC-102 5C,5C,LC-102,transgenic,large,1320.8,1433.5,10,143350,143.35,1487.424,10,148742.4,148.7424,1822.704,15,410108.4,121.5136,2225.04,18,720912.96,123.6133333,2773.68,19,1001298.48,145.9831579,3474.72,23,1838126.88,151.0747826,34.9
2,6,LCOR-577,LC-102 5A,5A,LC-102,transgenic,large,736.6000001,762.5,5,19062.5,152.5,798.576,6,28748.736,133.096,1103.376,9.5,99579.684,116.1448421,1584.96,11,191780.16,144.0872727,2103.12,14,412211.52,150.2228571,3017.52,20,1207008,150.876,34.9
3,6,LCOR-069,LC-102 2H,2H,LC-102,transgenic,large,1498.6,1555.5,11,188215.5,141.4090909,1594.104,10,159410.4,159.4104,1950.72,14,382341.12,139.3371429,2316.48,18,750539.52,128.6933333,2773.68,21,1223192.88,132.08,3566.16,24,2054108.16,148.59,41.5
4,6,LCOR-043,LC-102 1,1,LC-102,transgenic,large,1409.7,1464,10,146400,146.4,1539.24,10,153924,153.924,1889.76,15.9,477750.2256,118.8528302,2316.48,17,669462.72,136.2635294,2819.4,19,1017803.4,148.3894737,3383.28,21,1492026.48,161.1085714,37.03333333
5,6,LCOR-062,LC-102 2H,2H,LC-102,transgenic,large,990.6,1067.5,10,106750,106.75,1088.136,9,88139.016,120.904,1432.56,12,206288.64,119.38,1767.84,14,346496.64,126.2742857,2255.52,16,577413.12,140.97,3078.48,20,1231392,153.924,35.33333333
6,6,LCOR-135,LC-102 5,5,LC-102,transgenic,large,1168.4,1372.5,11,166072.5,124.7727273,1429.512,11,172970.952,129.9556364,1706.88,13.2,297406.7712,129.3090909,2133.6,16,546201.6,133.35,2727.96,19,984793.56,143.5768421,3657.6,24.5,2195474.4,149.2897959,30.73333333
7,6,LCOR-003,LC-102 4A,4A,LC-102,transgenic,large,1295.4,1494.5,11,180834.5,135.8636364,1557.528,11,188460.888,141.5934545,1920.24,15,432054,128.016,2316.48,18.5,792815.28,125.2151351,2865.12,21,1263517.92,136.4342857,3779.52,26,2554955.52,145.3661538,38.43333333
8,6,LCOR-191,LC-102 13-15B,13-15B,LC-102,transgenic,large,939.7999999,960.75,6,34587,160.125,1005.84,6,36210.24,167.64,1341.12,10.3,142279.4208,130.2058252,1767.84,12,254568.96,147.32,2179.32,14,427146.72,155.6657143,2926.08,18.5,1001450.88,158.1664865,42.4
9,6,LCOR-310,LC-102 16-20,16-20,Escape,control,large,1092.2,1159,12,166896,96.58333333,1194.816,12,172053.504,99.568,1493.52,14,292729.92,106.68,1767.84,15,397764,117.856,2194.56,16,561807.36,137.16,2880.36,19,1039809.96,151.5978947,40.53333333
10,6,LCOR-251,LC-102 5A,5A,LC-102,transgenic,large,1676.4,2135,16,546560,133.4375,2215.896,16,567269.376,138.4935,2529.84,19,913272.24,133.1494737,2926.08,22,1416222.72,133.0036364,3459.48,24,1992660.48,144.145,4328.16,29.5,3766581.24,146.7172881,33.8
11,6,LCOR-358,LC-102 1,1,LC-102,transgenic,large,1447.8,1647,12,237168,137.25,1752.6,12,252374.4,146.05,2072.64,16.1,537249.0144,128.7354037,2651.76,22,1283451.84,120.5345455,3429,26,2318004,131.8846154,4434.84,33,4829540.76,134.3890909,31.93333333
12,6,LCOR-363,LC-102 1,1,LC-102,transgenic,large,1206.5,1128.5,9,91408.5,125.3888889,1136.904,8,72761.856,142.113,1158.24,7.9,72285.7584,146.6126582,1356.36,9,109865.16,150.7066667,1615.44,9,130850.64,179.4933333,2225.04,14.5,467814.66,153.4510345,48.43333333
13,6,LCOR-355,LC-102 1,1,LC-102,transgenic,large,1155.7,1220,9,98820,135.5555556,1313.688,9,106408.728,145.9653333,1645.92,13,278160.48,126.6092308,2072.64,19,748223.04,109.0863158,2560.32,17,739932.48,150.6070588,3307.08,20,1322832,165.354,41.33333333
14,6,LCOR-472,LC-102 13-15B,13-15B,LC-102,transgenic,large,1689.1,1921.5,14,376614,137.25,1990.344,13,336368.136,153.1033846,2261.616,17,653607.024,133.0362353,2682.24,20,1072896,134.112,3185.16,22,1541617.44,144.78,3794.76,24,2185781.76,158.115,36.83333333
15,6,LCOR-421,LC-102 4B,4B,LC-102,transgenic,large,1016,1250.5,10,125050,125.05,1338.072,10,133807.2,133.8072,1709.928,14,335145.888,122.1377143,2164.08,18,701161.92,120.2266667,2651.76,20,1060704,132.588,3276.6,21.5,1514608.35,152.4,38.86666667
2,7,LCOR-177,LC-102 1C,1C,LC-102,transgenic,large,1409.7,1616.5,11,195596.5,146.9545455,1697.736,11,205426.056,154.3396364,2066.544,14.5,434490.876,142.5202759,2987.04,21,1317284.64,142.24,3215.64,24,1852208.64,133.985,4236.72,31,4071487.92,136.6683871,33.43333333
3,7,LCOR-073,LC-102 13-15E,13-15E,LC-102,transgenic,large,1524,1555.5,11,188215.5,141.4090909,1609.344,11,194730.624,146.304,1956.816,15,440283.6,130.4544,3459.48,19,1248872.28,182.0778947,2971.8,22,1438351.2,135.0818182,3535.68,24,2036551.68,147.32,37.76666667
4,7,LCOR-510,LC-102 16-20,16-20,Escape,control,large,1003.3,1067.5,8,68320,133.4375,1106.424,7,54214.776,158.0605714,1435.608,10.6,161304.9149,135.434717,2865.12,13,484205.28,220.3938462,2346.96,16,600821.76,146.685,3108.96,19,1122334.56,163.6294737,39.66666667
5,7,LCOR-474,LC-102 13-15B,13-15B,LC-102,transgenic,large,939.7999999,976,9,79056,108.4444444,990.6,8,63398.4,123.825,1341.12,11,162275.52,121.92,2179.32,14,427146.72,155.6657143,2225.04,16,569610.24,139.065,3078.48,21,1357609.68,146.5942857,37.2
6,7,LCOR-181,LC-102 1C,1C,LC-102,transgenic,large,1422.4,1586,10,158600,158.6,1633.728,10,163372.8,163.3728,1920.24,13,324520.56,147.7107692,2926.08,15.5,702990.72,188.7793548,2712.72,19,979291.92,142.7747368,3596.64,24,2071664.64,149.86,41.66666667
7,7,LCOR-148,LC-102 7,7,LC-102,transgenic,large,1346.2,1433.5,10,143350,143.35,1499.616,9,121468.896,166.624,1767.84,13,298764.96,135.9876923,2575.56,16,659343.36,160.9725,2773.68,19,1001298.48,145.9831579,3749.04,25,2343150,149.9616,32.83333333
8,7,LCOR-400,LC-102 1C,1C,LC-102,transgenic,large,1600.2,1814.75,12,261324,151.2291667,1877.568,13,317308.992,144.4283077,2206.752,17.5,675817.8,126.1001143,2407.92,21,1061892.72,114.6628571,3261.36,25,2038350,130.4544,4023.36,26.5,2825404.56,151.8249057,32.2
9,7,LCOR-530,LC-102 5,5,LC-102,transgenic,large,1422.4,1494.5,11,180834.5,135.8636364,1563.624,12,225161.856,130.302,1932.432,16,494702.592,120.777,3078.48,19,1111331.28,162.0252632,3032.76,22,1467855.84,137.8527273,4023.36,28,3154314.24,143.6914286,36.6
12,7,LCOR-094,LC-102 8-9D,8-9D,Escape,control,large,1346.2,1464,10,146400,146.4,1481.328,10,148132.8,148.1328,1828.8,13.9,353342.448,131.5683453,2316.48,16,593018.88,144.78,2651.76,19,957285.36,139.5663158,3489.96,23,1846188.84,151.7373913,40.7
13,7,LCOR-296,LC-102 13-15E,13-15E,LC-102,transgenic,large,1701.8,1860.5,14,364658,132.8928571,1905,14,373380,136.0714286,1828.8,18.5,625906.8,98.85405405,1600.2,22.5,810101.25,71.12,3169.92,25,1981200,126.7968,3855.72,28,3022884.48,137.7042857,33.9
14,7,LCOR-265,LC-102 4B,4B,LC-102,transgenic,large,1270,1311.5,9,106231.5,145.7222222,1414.272,10,141427.2,141.4272,1716.024,13.5,312745.374,127.1128889,2468.88,17,713506.32,145.2282353,2682.24,20,1072896,134.112,3505.2,23,1854250.8,152.4,37
15,7,LCOR-198,CT717 3,CT3,Control,control,large,1028.7,1098,8,70272,137.25,1130.808,9,91595.448,125.6453333,1411.224,11,170758.104,128.2930909,1874.52,13.5,341631.27,138.8533333,2179.32,15,490347,145.288,2773.68,17,801593.52,163.1576471,31.9
2,8,LCOR-179,LC-102 1C,1C,LC-102,transgenic,large,1473.2,1860.5,14,364658,132.8928571,1984.248,15,446455.8,132.2832,2410.968,20.5,1013209.302,117.6081951,2987.04,25,1866900,119.4816,3718.56,31,3573536.16,119.9535484,4632.96,35,5675376,132.3702857,31.73333333
3,8,LCOR-036,LC-102 5C,5C,LC-102,transgenic,large,1752.6,2424.75,18,785619,134.7083333,2514.6,19,907770.6,132.3473684,2895.6,24,1667865.6,120.65,3459.48,33,3767373.72,104.8327273,4160.52,37,5695751.88,112.4464865,4968.24,40,7949184,124.206,30.43333333
4,8,LCOR-279,LC-102 5C,5C,LC-102,transgenic,large,1549.4,2013,14,394548,143.7857143,2084.832,16,533716.992,130.302,2423.16,20,969264,121.158,2865.12,27,2088672.48,106.1155556,3566.16,31,3427079.76,115.0374194,4358.64,34,5038587.84,128.1952941,35.76666667
5,8,LCOR-078,LC-102 13-15E,13-15E,LC-102,transgenic,large,1346.2,1433.5,10,143350,143.35,1469.136,10,146913.6,146.9136,1737.36,14,340522.56,124.0971429,2179.32,17,629823.48,128.1952941,2712.72,19,979291.92,142.7747368,3535.68,23.5,1952579.28,150.4544681,37.1
6,8,LCOR-582,LC-102 5A,5A,LC-102,transgenic,large,1511.3,1921.5,13,324733.5,147.8076923,1984.248,14,388912.608,141.732,2392.68,19.1,872873.5908,125.2712042,2926.08,24,1685422.08,121.92,3642.36,28,2855610.24,130.0842857,4572,32.5,4829175,140.6769231,31.93333333
7,8,LCOR-385,LC-102 7,7,LC-102,transgenic,large,1447.8,1677.5,11,202977.5,152.5,1773.936,12,255446.784,147.828,2100.072,16.9,599801.5639,124.2646154,2575.56,22,1246571.04,117.0709091,3185.16,25,1990725,127.4064,4023.36,29,3383645.76,138.7365517,35.66666667
8,8,LCOR-250,LC-102 5A,5A,LC-102,transgenic,large,1168.4,1555.5,11,188215.5,141.4090909,1615.44,12,232623.36,134.62,2392.68,19.1,872873.5908,125.2712042,2407.92,21,1061892.72,114.6628571,3032.76,24,1746869.76,126.365,4008.12,29,3370828.92,138.2110345,35.26666667
9,8,LCOR-034,LC-102 5C,5C,LC-102,transgenic,large,1663.7,2226.5,16,569984,139.15625,2273.808,16,582094.848,142.113,2606.04,21.5,1204641.99,121.2111628,3078.48,28,2413528.32,109.9457143,3535.68,30,3182112,117.856,4312.92,34,4985735.52,126.8505882,41
10,8,LCOR-255,LC-102 4B,4B,LC-102,transgenic,large,1473.2,1708,12,245952,142.3333333,1819.656,13,307521.864,139.9735385,2209.8,18,715975.2,122.7666667,2773.68,24,1597639.68,115.57,3398.52,27,2477521.08,125.8711111,4069.08,29,3422096.28,140.3131034,32.13333333
11,8,LCOR-238,LC-102 4A,4A,LC-102,transgenic,large,1295.4,1494.5,12,215208,124.5416667,1551.432,13,262192.008,119.3409231,1920.24,15.5,461337.66,123.8864516,2392.68,19,863757.48,125.9305263,2926.08,22,1416222.72,133.0036364,3566.16,25,2228850,142.6464,37.76666667
12,8,LCOR-254,LC-102 4B,4B,LC-102,transgenic,large,1549.4,1616.5,11,195596.5,146.9545455,1652.016,11,199893.936,150.1832727,1956.816,15,440283.6,130.4544,2316.48,18,750539.52,128.6933333,2819.4,21,1243355.4,134.2571429,3550.92,25,2219325,142.0368,38.03333333
13,8,LCOR-469,LC-102 13-15B,13-15B,LC-102,transgenic,large,1130.3,1067.5,7,52307.5,152.5,1109.472,8,71006.208,138.684,1316.736,9.1,109038.9082,144.6962637,1600.2,11,193624.2,145.4727273,1950.72,12,280903.68,162.56,2712.72,17,783976.08,159.5717647,49.3
14,8,LCOR-167,LC-102 5A,5A,LC-102,transgenic,large,1168.4,1433.5,11,173453.5,130.3181818,1563.624,12,225161.856,130.302,1990.344,16.2,522345.8794,122.8607407,2468.88,21,1088776.08,117.5657143,3017.52,23,1596268.08,131.1965217,3627.12,25,2266950,145.0848,33.43333333
15,8,LCOR-274,LC-102 5C,5C,LC-102,transgenic,large,1168.4,1128.5,7,55296.5,161.2142857,1203.96,8,77053.44,150.495,1508.76,11,182559.96,137.16,1874.52,13,316793.88,144.1938462,2407.92,16,616427.52,150.495,3078.48,20,1231392,153.924,36.7
2,9,LCOR-581,LC-102 5A,5A,LC-102,transgenic,large,1168.4,1433.5,10,143350,143.35,1542.288,11,186616.848,140.208,1895.856,15,426567.6,126.3904,2407.92,27.5,1820989.5,87.56072727,3246.12,28,2544958.08,115.9328571,4419.6,37.5,6215062.5,117.856,33.1
3,9,LCOR-001,LC-102 4A,4A,LC-102,transgenic,large,1752.6,2165.5,15,487237.5,144.3666667,2279.904,15,512978.4,151.9936,2590.8,21,1142542.8,123.3714286,3154.68,30,2839212,105.156,3779.52,34,4369125.12,111.1623529,4754.88,38,6866046.72,125.1284211,29.76666667
4,9,LCOR-342,CT717 3,CT3,Control,control,large,1422.4,1586,11,191906,144.1818182,1645.92,13,278160.48,126.6092308,1981.2,18.5,678065.7,107.0918919,2468.88,23,1306037.52,107.3426087,3093.72,24,1781982.72,128.905,3931.92,29,3306744.72,135.5834483,31.83333333
5,9,LCOR-471,LC-102 13-15B,13-15B,LC-102,transgenic,large,1562.1,1906.25,14,373625,136.1607143,1975.104,14,387120.384,141.0788571,2383.536,20,953414.4,119.1768,2834.64,25,1771650,113.3856,3550.92,29,2986323.72,122.4455172,4450.08,33.5,4994102.28,132.838209,32.56666667
6,9,LCOR-380,LC-102 7,7,LC-102,transgenic,large,1625.6,2043.5,15,459787.5,136.2333333,2130.552,16,545421.312,133.1595,2484.12,20,993648,124.206,2987.04,24,1720535.04,124.46,3642.36,27,2655280.44,134.9022222,4419.6,31,4247235.6,142.5677419,34.9
7,9,LCOR-076,LC-102 13-15E,13-15E,LC-102,transgenic,large,1041.4,1387.75,10,138775,138.775,1472.184,11,178134.264,133.8349091,1780.032,15.2,411258.5933,117.1073684,2255.52,20,902208,112.776,2895.6,22,1401470.4,131.6181818,3810,27.5,2881312.5,138.5454545,34.13333333
8,9,LCOR-163,LC-102 5A,5A,LC-102,transgenic,large,1524,1982.5,14,388570,141.6071429,2048.256,15,460857.6,136.5504,2423.16,19.1,883992.9996,126.8670157,2895.6,26,1957425.6,111.3692308,3535.68,29,2973506.88,121.92,4480.56,33,4879329.84,135.7745455,31.16666667
10,9,LCOR-217,LC-102 2H,2H,LC-102,transgenic,large,1422.4,1738.5,12,250344,144.875,1789.176,13,302370.744,137.6289231,2054.352,16.5,559297.332,124.5061818,2590.8,20,1036320,129.54,2956.56,23,1564020.24,128.546087,3825.24,28,2998988.16,136.6157143,40.23333333
11,9,LCOR-231,LC-102 4A,4A,LC-102,transgenic,large,1320.8,1631.75,11,197441.75,148.3409091,1691.64,13,285887.16,130.1261538,1990.344,16,509528.064,124.3965,2407.92,20,963168,120.396,2926.08,22,1416222.72,133.0036364,3779.52,27.5,2858262,137.4370909,36.86666667
12,9,LCOR-075,LC-102 13-15E,13-15E,LC-102,transgenic,large,571.5,518.5,5,12962.5,103.7,591.312,5,14782.8,118.2624,975.36,8,62423.04,121.92,1188.72,8,76078.08,148.59,1524,9,123444,169.3333333,2255.52,14,442081.92,161.1085714,43.1
13,9,LCOR-504,CT717 3,CT3,Control,control,large,876.3,884.5,6,31842,147.4166667,923.544,7,45253.656,131.9348571,1280.16,9,103692.96,142.24,1615.44,11.5,213641.94,140.4730435,2011.68,14,394289.28,143.6914286,2773.68,18,898672.32,154.0933333,44.1
14,9,LCOR-511,LC-102 16-20,16-20,Escape,control,large,1358.9,1342,9,108702,149.1111111,1395.984,10,139598.4,139.5984,1716.024,12.1,251243.0738,141.8201653,2103.12,16,538398.72,131.445,2651.76,18,859170.24,147.32,3352.8,23,1773631.2,145.773913,37.73333333
15,9,LCOR-041,LC-102 5C,5C,LC-102,transgenic,large,1244.6,1555.5,10,155550,155.55,1603.248,11,193993.008,145.7498182,1926.336,15.9,486997.0042,121.1532075,2407.92,21,1061892.72,114.6628571,3063.24,22,1482608.16,139.2381818,3733.8,26,2524048.8,143.6076923,29.4
3,10,LCOR-023,LC-102 4B,4B,LC-102,transgenic,large,1295.4,1677.5,12,241560,139.7916667,1746.504,12,251496.576,145.542,2109.216,17,609563.424,124.0715294,2560.32,23,1354409.28,111.3182609,3124.2,25,1952625,124.968,3810,29.5,3315652.5,129.1525424,40.5
4,10,LCOR-020,LC-102 4B,4B,LC-102,transgenic,large,787.3999999,960.75,6,34587,160.125,1008.888,8,64568.832,126.111,1322.832,9.9,129650.7643,133.6193939,1737.36,14,340522.56,124.0971429,2148.84,15,483489,143.256,2987.04,25,1866900,119.4816,43.6
